"COUNTRY_CODE","ISO_YEAR","Population","Air_passenger","GDP_percapita","Temperature_variation","Temperature","medium","N_medium","time_medium","rate_medium","high","N_high","time_high","rate_high","veryhigh","N_veryhigh","time_veryhigh","rate_veryhigh"
"Congo",2018,5350964,333899,7372.7705,0.3377255,25.722696,1,7,39,1.04,1,3,41,1.1,1,2,47,1.13
"Congo",2019,5483090,508978.94,7029.3364,0.3574656,25.6261563333333,1,6,6,1.04,1,3,6,1.1,1,2,6,1.13
"Congo",2022,5892137,157784,6263.2114,0.5659445,25.7654513333333,0,0,52,1.04,0,0,52,1.1,0,0,52,1.13
"Ethiopia",2012,93149926,4440917.5,1492.5339,-0.026545843,23.975323,1,1,24,0.65,0,0,52,0.68,0,0,52,0.68
"Ethiopia",2013,95798722,5001122,1576.7687,0.17089891,24.0752706666667,1,4,42,0.65,1,1,51,0.68,1,1,51,0.68
"Ethiopia",2014,98438710,5671501,1696.8651,-0.038605053,24.313946,1,8,3,0.65,1,5,3,0.68,1,5,3,0.68
"Ethiopia",2015,101115562,6274582,1821.3915,0.16627581,24.0077293333333,0,0,52,0.65,0,0,52,0.68,0,0,52,0.69
"Ethiopia",2016,103867085,7074779,1957.4144,0.58727074,24.0814886666667,0,0,52,0.61,0,0,52,0.71,0,0,52,0.73
"Ethiopia",2017,106718119,8242114,2084.8403,0.71390295,25.2990243333333,0,0,52,0.28,0,0,52,0.52,0,0,52,0.52
"Ethiopia",2018,109666428,9566378,2222.8281,0.51043683,24.3924683333333,1,11,26,0.15,1,6,35,0.21,1,6,35,0.23
"Ethiopia",2019,112664117,11501244,2311.165,0.043035507,23.775775,1,12,1,0.17,1,5,1,0.28,1,5,1,0.29
"Ethiopia",2022,122138537,7065954,2588.413,0.3727193,23.9435043333333,0,0,52,0.29,0,0,52,0.3,0,0,52,0.35
"Ethiopia",2023,125384244,NA,2655.578,0.5849311,24.4561633333333,0,0,52,0.21,0,0,52,0.24,0,0,52,0.28
"Morocco",2010,32466965,7144446,7210.6367,0.7229974,13.5191416666667,1,7,1,8.24,1,6,1,10.23,1,5,1,10.65
"Morocco",2011,32466965,7144446,7210.6367,0.7229974,13.5191416666667,1,3,4,8.24,1,1,4,10.23,0,0,52,10.65
"Morocco",2012,32912540,7502696.5,7503.793,0.11861674,11.794046,1,15,1,8.24,1,11,1,10.23,1,11,1,10.65
"Morocco",2013,33355201,6563646.5,7628.644,0.15164821,11.034845,0,0,52,9.74,0,0,52,11.61,0,0,52,12.29
"Morocco",2014,33787523,6507408,7839.032,0.014418364,12.289791,1,1,52,7.88,0,0,52,11.95,0,0,52,12.61
"Morocco",2015,34204741,6976810,7951.7983,0.29475823,12.23956,1,8,1,6.83,1,7,1,7.26,1,7,1,7.63
"Morocco",2016,34607538,7043971,8198.809,0.2973937,11.1904626666667,1,5,10,7.24,1,2,48,7.84,1,1,52,8.17
"Morocco",2017,35023413,7738637,8141.9404,0.5457318,12.7923483333333,1,6,2,7.59,1,6,2,8.15,1,4,2,8.64
"Morocco",2018,35446348,8667392,8450.009,1.1338575,12.194098,1,7,1,7.77,1,5,1,8.41,1,2,1,8.81
"Morocco",2019,35839708,8132917,8611.75,-0.5108149,11.5327253333333,1,5,5,8.25,1,5,5,8.65,1,4,5,8.91
"Morocco",2020,36210859,9380951,8768.176,0.45614567,12.4790856666667,0,0,52,8.05,0,0,52,8.63,0,0,52,9.33
"Morocco",2021,36584160,3012310,8054.563,1.0639627,13.3087693333333,0,0,52,7.09,0,0,52,7.94,0,0,52,8.51
"Morocco",2022,36954394,4740714,8623.266,0.713444,12.6644226666667,1,2,51,4.47,0,0,52,6.32,0,0,52,6.58
"Sierra Leone",2011,6222667,0,2393.2441,0.08998855,27.5767663333333,1,9,37,1.17,1,6,37,1.25,1,5,37,1.34
"Sierra Leone",2012,6387207,48789,2471.7185,-0.16481829,27.0676933333333,1,1,25,1.17,0,0,52,1.25,0,0,52,1.34
"Sierra Leone",2013,6551025,50193,2776.2537,-0.224384,27.2471806666667,0,0,52,1.17,0,0,52,1.25,0,0,52,1.34
"Sierra Leone",2014,6714007,NA,3279.8674,0.052682083,27.5020986666667,0,0,52,0.68,0,0,52,0.92,0,0,52,1.18
"Sierra Leone",2016,7037607,NA,2601.3052,0.04141887,26.961884,1,10,6,0.27,1,8,6,0.42,1,5,10,0.45
"Sierra Leone",2017,7205291,NA,2702.0269,0.39813837,27.6333393333333,1,10,10,0.28,1,7,10,0.41,1,4,10,0.44
"Sierra Leone",2018,7379254,NA,2737.3628,0.5354519,27.8632753333333,0,0,52,0.45,0,0,52,0.59,0,0,52,0.61
"Ghana",2017,29356688,359516,5666.078,0.6498127,29.4358086666667,1,7,2,0.96,1,3,5,1,1,1,8,1.09
"Ghana",2018,30008310,681691,5993.631,0.55673903,29.532569,1,29,1,0.96,1,26,1,1,1,16,1,1.09
"Ghana",2019,30637543,467624,6234.512,0.30898413,29.0349826666667,1,18,2,0.96,1,17,2,1,1,14,2,1.09
"Ghana",2020,31258887,597343,6508.2466,0.64045095,29.6007583333333,0,0,52,1.51,0,0,52,3.54,0,0,52,6.93
"Ghana",2021,31887755,321437,6412.6855,0.5852895,29.4900656666667,1,12,5,0.56,1,3,23,0.73,1,3,23,0.82
