"rate","season","week"
0.03,2016,18
0.02,2016,38
0,2016,27
0.01,2016,29
0.01,2016,11
0.02,2016,16
0.02,2016,28
0.01,2016,37
0.01,2016,17
0.02,2016,5
0.01,2016,43
0.01,2016,41
0.02,2016,10
0.01,2016,40
0.03,2016,34
0.02,2016,36
0,2016,22
0.01,2016,15
0.01,2016,20
0.02,2016,42
0.01,2016,45
0.01,2016,12
0.01,2016,21
0.01,2016,49
0.01,2016,23
0.01,2016,52
0.02,2016,1
0.01,2016,35
0.03,2016,30
0.01,2016,39
0,2016,33
0.02,2016,9
0.02,2016,14
0.03,2016,32
0.01,2016,47
0.01,2016,50
0.01,2016,31
0.01,2016,8
0.01,2016,26
0.01,2016,6
0.02,2016,44
0.01,2016,24
0.01,2016,4
0.01,2016,51
0,2016,13
0,2016,48
0.02,2016,3
0.02,2016,46
0.02,2016,7
0.01,2016,25
0.01,2016,2
0.01,2017,33
0.02,2017,32
0.02,2017,23
0.02,2017,29
0,2017,20
0.01,2017,21
0.02,2017,28
0.02,2017,18
0.02,2017,14
0,2017,35
0.03,2017,27
0.02,2017,6
0.02,2017,19
0.01,2017,4
0.01,2017,34
0.02,2017,31
0.02,2017,16
0.02,2017,3
0.01,2017,13
0.01,2017,2
0.02,2017,10
0.02,2017,36
0.02,2017,5
0.01,2017,1
0.01,2017,11
0,2017,39
0,2017,26
0.01,2017,15
0.01,2017,24
0.01,2017,25
0.01,2017,38
0,2017,9
0.01,2017,30
0.01,2017,12
0.01,2017,37
0.01,2017,8
0.02,2017,7
0.02,2017,22
0.01,2020,14
0,2020,20
0.01,2020,15
0.02,2020,32
0.02,2020,30
0.03,2020,39
0.01,2020,13
0.02,2020,33
0.03,2020,11
0.01,2020,29
0.03,2020,5
0.02,2020,12
0.03,2020,34
0.01,2020,31
0,2020,16
0.03,2020,40
0,2020,19
0.03,2020,4
0.03,2020,41
0.03,2020,37
0.03,2020,36
0.02,2020,44
0.03,2020,42
0.03,2020,35
0,2020,18
0.03,2020,53
0.03,2020,52
0.03,2020,38
0.03,2020,51
0.03,2020,8
0.01,2020,23
0,2020,21
0.03,2020,45
0.01,2020,27
0.02,2020,28
0.03,2020,47
0,2020,24
0.02,2020,49
0.03,2020,7
0.03,2020,50
0.01,2020,26
0.03,2020,46
0,2020,17
0.03,2020,48
0.03,2020,6
0.03,2020,3
0.03,2020,10
0,2020,22
0.03,2020,9
0.02,2020,1
0.03,2020,2
0.03,2020,43
0.01,2020,25
0.06,2021,47
0,2021,29
0.04,2021,4
0.04,2021,3
0.03,2021,2
0.03,2021,1
0.06,2021,44
0.05,2021,51
0.05,2021,40
0.05,2021,46
0.06,2021,52
0.03,2021,5
0.03,2021,11
0.05,2021,38
0.01,2021,28
0.02,2021,18
0.05,2021,45
0.05,2021,41
0.03,2021,6
0.04,2021,10
0.05,2021,42
0.01,2021,16
0.03,2021,9
0.04,2021,50
0.03,2021,24
0.05,2021,48
0.03,2021,32
0.04,2021,12
0.05,2021,43
0.03,2021,37
0.03,2021,7
0.04,2021,35
0.05,2021,49
0.03,2021,39
0.01,2021,15
0.04,2021,8
0,2021,19
0.03,2021,21
0.01,2021,17
0.02,2021,13
0.03,2021,22
0.03,2021,34
0.01,2021,27
0.01,2021,31
0.04,2021,36
0.02,2021,14
0.04,2021,23
0.03,2021,33
0.01,2021,25
0.01,2021,20
0.01,2021,26
0.01,2021,30
0.08,2022,41
0.06,2022,10
0.05,2022,33
0.05,2022,2
0.06,2022,35
0.06,2022,34
0.05,2022,42
0.07,2022,32
0.05,2022,15
0.05,2022,1
0.08,2022,31
0.07,2022,7
0.12,2022,52
0.06,2022,14
0.07,2022,30
0.1,2022,50
0.05,2022,12
0.05,2022,11
0.07,2022,46
0.05,2022,3
0.09,2022,49
0.04,2022,40
0.08,2022,51
0.06,2022,38
0.07,2022,13
0.06,2022,16
0.07,2022,39
0.06,2022,36
0.05,2022,6
0.03,2022,27
0.06,2022,9
0.05,2022,8
0.07,2022,47
0.06,2022,21
0.07,2022,26
0.06,2022,43
0.07,2022,45
0.06,2022,5
0.05,2022,23
0.05,2022,4
0.07,2022,28
0.03,2022,17
0.06,2022,44
0.07,2022,48
0.06,2022,25
0.06,2022,37
0.05,2022,22
0.06,2022,24
0.07,2022,29
0.03,2022,18
0.07,2022,20
0.05,2022,19
0.1,2023,13
0.13,2023,31
0.04,2023,26
0.13,2023,32
0.1,2023,9
0.1,2023,15
0.09,2023,30
0.09,2023,10
0.12,2023,27
0.09,2023,14
0.1,2023,7
0.11,2023,29
0.07,2023,40
0.08,2023,47
0.08,2023,12
0.1,2023,25
0.1,2023,28
0.1,2023,36
0.12,2023,35
0.07,2023,41
0.1,2023,24
0.07,2023,42
0.08,2023,48
0.06,2023,45
0.06,2023,44
0.09,2023,3
0.09,2023,1
0.08,2023,8
0.09,2023,21
0.07,2023,50
0.05,2023,43
0.11,2023,37
0.06,2023,46
0.09,2023,11
0.09,2023,23
0.07,2023,39
0.1,2023,20
0.09,2023,49
0.1,2023,19
0.11,2023,33
0.1,2023,52
0.08,2023,5
0.1,2023,4
0.11,2023,34
0.11,2023,38
0.1,2023,22
0.1,2023,51
0.1,2023,2
0.09,2023,6
0.08,2023,18
0.02,2023,16
0.1,2023,17
