"rate","season","week"
5.06,2015,3
5.1,2015,4
5.07,2015,5
6.14,2015,6
6.93,2015,7
7.26,2015,8
10.49,2015,19
11.51,2015,20
8.99,2015,10
9.63,2015,11
9.8,2015,12
9,2015,27
8.84,2015,28
8.5,2015,29
8.46,2015,30
8.87,2015,31
9.17,2015,32
6.06,2015,45
7.79,2015,39
7.38,2015,40
7.36,2015,9
7.48,2015,42
7.33,2015,43
6.18,2015,44
9.19,2015,13
10.24,2015,14
8.45,2015,37
8.36,2015,38
6.63,2015,1
5.71,2015,2
9.52,2015,24
5.96,2015,46
5.73,2015,47
7.3,2015,41
9.53,2015,18
9.44,2015,25
11.1,2015,21
11.2,2015,23
8.63,2015,33
8.7,2015,34
10.07,2015,26
9.34,2015,16
10.07,2015,17
10.07,2015,15
8.11,2015,36
10.45,2015,22
8.96,2015,35
4.14,2016,52
9.07,2016,38
7.51,2016,44
7.71,2016,45
9.67,2016,39
9.32,2016,32
9.2,2016,40
6.72,2016,49
7.15,2016,46
5.39,2016,51
11.54,2016,13
12.07,2016,14
8.66,2016,31
12.32,2016,15
12.55,2016,16
9.86,2016,33
6.48,2016,50
8.38,2016,41
5,2016,5
7.12,2016,48
8.58,2016,42
7.9,2016,43
12.03,2016,18
9.86,2016,12
7.64,2016,47
10.53,2016,22
10.32,2016,23
9.3,2016,36
10.95,2016,17
9.62,2016,34
11.56,2016,24
12.52,2016,25
12.5,2016,26
10.41,2016,27
10.75,2016,28
9.44,2016,29
12.91,2016,19
9.2,2016,37
12.11,2016,20
8.75,2016,30
8.38,2016,10
4.92,2016,4
5.59,2016,1
4.87,2016,2
4.96,2016,3
5.86,2016,7
9.36,2016,35
6.85,2016,8
5.09,2016,6
7.87,2016,9
9.53,2016,11
11.43,2016,21
11,2017,37
7.15,2017,1
10.75,2017,40
6.73,2017,5
7.61,2017,48
9.7,2017,44
6.5,2017,50
11.03,2017,36
4.06,2017,52
6.89,2017,49
11.07,2017,39
12.81,2017,24
6.15,2017,2
11.06,2017,38
6.7,2017,3
6.62,2017,4
9.8,2017,45
9.24,2017,46
7.99,2017,47
12.81,2017,22
5.42,2017,51
9.51,2017,30
12.24,2017,17
10.38,2017,32
10.35,2017,33
10.39,2017,41
11.74,2017,35
10.56,2017,42
10.52,2017,43
9.71,2017,29
9.28,2017,7
10.93,2017,8
11.22,2017,9
12.46,2017,23
11.76,2017,15
9.08,2017,31
12.14,2017,26
11.53,2017,27
10.81,2017,34
12.52,2017,25
12.43,2017,12
13.48,2017,13
10.97,2017,28
11.94,2017,18
12.64,2017,16
12.56,2017,19
12.12,2017,14
11.58,2017,10
7.57,2017,6
11.99,2017,11
14.2,2017,20
13.52,2017,21
98.76,2018,2
98.35,2018,3
117.73,2018,12
113,2018,13
100.5,2018,36
98.35,2018,1
106.8,2018,37
105.41,2018,38
103.83,2018,44
99.15,2018,30
119.17,2018,18
100.87,2018,45
102.86,2018,46
121.99,2018,14
132.72,2018,15
118.81,2018,16
124.44,2018,17
104.8,2018,39
113.63,2018,24
113.53,2018,25
117.46,2018,26
102.69,2018,42
102.74,2018,43
104.23,2018,29
96.86,2018,6
97.8,2018,7
103.7,2018,8
95.07,2018,47
97.12,2018,4
92.08,2018,31
94.41,2018,32
103.62,2018,33
100.32,2018,40
96.89,2018,41
118.27,2018,11
109.05,2018,27
105.27,2018,28
97.19,2018,5
92.75,2018,48
120.46,2018,19
81.67,2018,50
109.06,2018,22
19.94,2018,52
90.22,2018,49
115.31,2018,10
60.08,2018,51
120.95,2018,20
104.64,2018,35
117.7,2018,21
108.59,2018,9
107.84,2018,23
106.63,2018,34
8.92,2019,40
9.78,2019,27
8.45,2019,38
8.62,2019,39
8.44,2019,41
8.11,2019,10
7.17,2019,46
6.58,2019,48
8.23,2019,44
7.66,2019,45
4.54,2019,3
4.39,2019,4
5.23,2019,1
11.99,2019,25
11.34,2019,26
9.19,2019,28
12.27,2019,24
8.69,2019,42
8.87,2019,29
10.52,2019,18
6.95,2019,47
12.87,2019,22
9,2019,37
8.22,2019,31
8.74,2019,32
9.05,2019,33
9.62,2019,34
9.84,2019,35
8.34,2019,9
3.8,2019,50
0.54,2019,51
8.75,2019,43
11.03,2019,14
7.98,2019,11
8.83,2019,12
5.08,2019,2
5.32,2019,49
9.75,2019,15
10.87,2019,16
11.07,2019,17
8.75,2019,13
7.75,2019,8
10.17,2019,19
11.67,2019,20
4.79,2019,6
8.74,2019,30
11.62,2019,23
4.47,2019,5
6.07,2019,7
8.61,2019,36
11.83,2019,21
NA,2020,24
NA,2020,22
NA,2020,33
NA,2020,21
NA,2020,23
NA,2020,32
NA,2020,34
NA,2020,38
NA,2020,31
NA,2020,40
NA,2020,37
NA,2020,50
NA,2020,39
NA,2020,52
NA,2020,53
NA,2020,46
NA,2020,47
NA,2020,20
NA,2020,36
NA,2020,1
NA,2020,2
NA,2020,3
NA,2020,4
NA,2020,41
NA,2020,10
NA,2020,42
NA,2020,51
NA,2020,44
NA,2020,45
NA,2020,11
NA,2020,30
NA,2020,6
NA,2020,12
NA,2020,13
NA,2020,5
NA,2020,27
NA,2020,48
NA,2020,49
NA,2020,26
NA,2020,19
NA,2020,28
NA,2020,29
NA,2020,18
NA,2020,14
NA,2020,15
NA,2020,7
NA,2020,25
NA,2020,9
NA,2020,8
NA,2020,43
NA,2020,17
NA,2020,16
NA,2020,35
NA,2021,21
NA,2021,19
NA,2021,7
NA,2021,6
