"rate","season","week"
1.08,2015,48
1.25,2015,50
1.15,2015,45
0.72,2015,51
1.47,2015,44
1.55,2015,43
1.38,2015,49
1.45,2015,46
0.78,2015,52
1.13,2015,47
0.79,2016,10
0.9,2016,4
1.06,2016,9
0.98,2016,6
1.47,2016,29
0.9,2016,3
0.9,2016,8
1.12,2016,7
1.12,2016,27
1.04,2016,11
0.9,2016,2
1.61,2016,43
1.58,2016,28
0.82,2016,5
1.93,2016,33
0.97,2016,1
1.56,2016,42
1.67,2016,35
1.17,2016,24
1.74,2016,32
1.94,2016,41
1.08,2016,51
0.94,2016,19
0.9,2016,18
0.95,2016,17
1.15,2016,26
1.42,2016,44
1.29,2016,48
0.93,2016,14
1.56,2016,31
0.78,2016,52
1.54,2016,47
1.14,2016,49
0.86,2016,46
1.03,2016,13
1.68,2016,36
1.58,2016,37
1.67,2016,30
0.78,2016,22
1.23,2016,40
0.93,2016,12
1.24,2016,45
1.41,2016,38
0.99,2016,25
0.93,2016,23
0.6,2016,16
0.73,2016,20
1.36,2016,39
0.9,2016,50
1.45,2016,34
0.53,2016,21
1.07,2016,15
0.72,2017,26
0.8,2017,11
0.87,2017,25
0.64,2017,24
0.76,2017,17
0.7,2017,3
0.83,2017,20
0.79,2017,16
0.62,2017,15
0.85,2017,1
0.77,2017,10
2.26,2017,45
0.55,2017,19
0.7,2017,6
0.83,2017,12
0.88,2017,27
0.8,2017,5
0.75,2017,7
0.78,2017,28
4.64,2017,29
3.02,2017,44
6.23,2017,33
4.72,2017,42
7.26,2017,38
3.92,2017,48
0.67,2017,4
0.82,2017,2
0.85,2017,9
2.89,2017,46
6.03,2017,37
5.31,2017,31
0.62,2017,21
0.73,2017,22
0.64,2017,51
0.58,2017,49
6.56,2017,36
0.62,2017,18
5.71,2017,34
0.72,2017,23
0.66,2017,14
3.53,2017,47
0.75,2017,13
4.41,2017,30
7.8,2017,39
0.68,2017,52
7.03,2017,41
0.83,2017,8
7.45,2017,35
5.27,2017,32
5.35,2017,43
0.69,2017,50
5.97,2017,40
0.43,2018,15
0.63,2018,14
0.81,2018,12
1.01,2018,6
0.71,2018,11
0.7,2018,21
0.58,2018,13
0.54,2018,17
0.72,2018,27
1.2,2018,33
1.11,2018,34
0.68,2018,41
0.8,2018,2
0.55,2018,50
0.53,2018,40
0.94,2018,32
0.6,2018,10
0.78,2018,20
0.68,2018,26
0.92,2018,39
0.68,2018,22
0.66,2018,48
0.68,2018,9
0.7,2018,16
0.67,2018,52
0.66,2018,45
0.63,2018,1
0.37,2018,5
0.63,2018,28
0.82,2018,8
0.6,2018,24
0.94,2018,4
0.82,2018,38
1.02,2018,37
0.79,2018,43
0.72,2018,46
0.76,2018,7
0.67,2018,19
0.59,2018,51
0.64,2018,49
0.5,2018,25
1.02,2018,36
1.08,2018,31
0.63,2018,18
0.64,2018,30
0.82,2018,42
0.77,2018,23
0.43,2018,47
1,2018,35
0.94,2018,29
0.98,2018,3
0.61,2018,44
0.78,2019,38
0.96,2019,50
0.83,2019,41
0.75,2019,13
0.75,2019,4
0.86,2019,51
0.87,2019,52
0.74,2019,12
0.72,2019,3
0.77,2019,16
0.82,2019,6
0.75,2019,47
1.06,2019,37
1.3,2019,27
0.77,2019,48
0.59,2019,49
1.6,2019,25
1.06,2019,36
0.79,2019,2
1.64,2019,26
0.9,2019,46
0.83,2019,19
0.91,2019,39
1.11,2019,42
0.8,2019,17
0.66,2019,15
0.75,2019,5
1.34,2019,28
1.35,2019,24
0.72,2019,11
1.27,2019,23
0.89,2019,43
0.61,2019,9
0.72,2019,7
0.67,2019,1
1.14,2019,32
1.07,2019,40
1.24,2019,29
0.84,2019,18
0.66,2019,45
0.76,2019,10
1.13,2019,22
0.76,2019,8
0.69,2019,14
0.76,2019,44
0.92,2019,35
1.14,2019,33
0.79,2019,20
0.87,2019,21
1.29,2019,34
0.96,2019,31
1.03,2019,30
0.75,2020,7
0.79,2020,2
0.83,2020,6
0.94,2020,3
0.81,2020,1
0.71,2020,10
0.68,2020,9
0.78,2020,5
0.74,2020,8
0.87,2020,4
0.47,2021,52
0.49,2021,46
0.47,2021,48
0.67,2021,49
0.5,2021,51
0.01,2021,2
0.58,2021,45
0.62,2021,44
0.57,2021,50
0.46,2021,47
0.01,2021,1
0.45,2022,3
0.52,2022,15
0.42,2022,5
0.72,2022,41
0.44,2022,1
0.73,2022,42
0.53,2022,22
0.72,2022,40
0.59,2022,34
0.53,2022,4
0.55,2022,33
0.44,2022,2
0.63,2022,30
0.7,2022,37
0.66,2022,39
0.65,2022,46
0.78,2022,52
0.29,2022,21
0.9,2022,16
0.69,2022,32
0.69,2022,48
0.6,2022,35
0.64,2022,31
0.66,2022,47
0.49,2022,10
0.34,2022,19
0.4,2022,20
0.55,2022,38
0.56,2022,9
0.72,2022,43
0.6,2022,29
0.53,2022,8
0.32,2022,7
0.5,2022,45
0.43,2022,18
0.55,2022,27
0.6,2022,11
0.65,2022,44
0.76,2022,51
0.52,2022,13
0.66,2022,28
0.74,2022,50
0.58,2022,14
0.53,2022,25
0.63,2022,36
0.63,2022,26
0.72,2022,49
0.56,2022,12
0.55,2022,24
0.68,2022,17
0.38,2022,6
0.61,2022,23
1.1,2023,47
0.89,2023,48
1.01,2023,36
0.98,2023,35
0.75,2023,16
0.91,2023,6
0.92,2023,51
0.92,2023,29
0.56,2023,15
1.02,2023,49
0.77,2023,3
1.16,2023,28
1,2023,44
0.91,2023,4
1.12,2023,46
0.76,2023,2
0.87,2023,19
0.92,2023,45
1,2023,25
1.15,2023,37
1.09,2023,27
1.08,2023,50
0.87,2023,7
1,2023,24
0.92,2023,5
0.82,2023,18
0.95,2023,26
1.25,2023,42
0.75,2023,13
0.73,2023,14
0.94,2023,1
1.16,2023,23
0.87,2023,8
1.05,2023,32
1.01,2023,22
1.03,2023,38
0.93,2023,34
0.97,2023,43
0.83,2023,10
0.98,2023,21
0.87,2023,41
0.71,2023,12
0.88,2023,20
1.01,2023,11
0.94,2023,40
0.96,2023,39
0.83,2023,17
1.06,2023,52
0.95,2023,9
1.12,2023,31
1.02,2023,30
0.95,2023,33
