"rate","season","week"
0.27,2017,40
0.5,2017,47
0.37,2017,46
0.38,2017,44
0.08,2017,36
0.4,2017,45
0.24,2017,39
0.56,2017,50
0.43,2017,49
0.43,2017,52
0.63,2017,51
0.16,2017,37
0.67,2017,48
0.38,2017,43
0.16,2017,38
0.3,2017,41
0.07,2017,35
0.26,2017,42
0.28,2018,51
0.36,2018,12
0.11,2018,27
0.32,2018,13
0.12,2018,26
0.83,2018,6
0.36,2018,45
0.29,2018,39
0.13,2018,23
0.27,2018,11
0.1,2018,28
0.1,2018,25
0.06,2018,32
0.26,2018,41
0.38,2018,50
0.14,2018,29
0.2,2018,22
0.74,2018,2
0.08,2018,38
0.17,2018,24
1,2018,5
0.73,2018,3
0.49,2018,49
0.28,2018,52
0.14,2018,40
0.12,2018,31
0.35,2018,42
0.8,2018,7
0.3,2018,44
0.18,2018,20
0.11,2018,37
0.09,2018,36
0.14,2018,21
0.77,2018,4
0.46,2018,48
0.39,2018,10
0.19,2018,14
0.06,2018,30
0.89,2018,1
0.31,2018,43
0.32,2018,46
0.32,2018,47
0.29,2018,15
0.1,2018,35
0.27,2018,16
0.66,2018,9
0.57,2018,8
0.11,2018,34
0.23,2018,18
0.25,2018,19
0.1,2018,33
0.32,2018,17
0.38,2019,3
0.21,2019,40
0.2,2019,44
0.2,2019,43
0.53,2019,1
0.15,2019,24
0.22,2019,42
0.24,2019,14
0.09,2019,27
0.2,2019,41
0.16,2019,22
0.25,2019,6
0.53,2019,2
0.39,2019,4
0.11,2019,25
0.12,2019,26
0.1,2019,21
0.14,2019,28
0.28,2019,13
0.03,2019,30
0.16,2019,11
0.06,2019,32
0.05,2019,29
0.14,2019,45
0.11,2019,17
0.14,2019,23
0.3,2019,10
0.38,2019,5
0.06,2019,31
0.14,2019,18
0.19,2019,8
0.15,2019,37
0.24,2019,15
0.28,2019,12
0.16,2019,39
0.13,2019,19
0.13,2019,20
0.2,2019,7
0.13,2019,33
0.08,2019,34
0.18,2019,16
0.22,2019,38
0.11,2019,35
0.27,2019,9
0.07,2019,36
0.06,2020,1
0.03,2020,36
0.08,2020,51
0.06,2020,38
0.04,2020,40
0.09,2020,46
0.07,2020,48
0.04,2020,52
0.05,2020,53
0.02,2020,35
0.06,2020,39
0.08,2020,49
0.05,2020,47
0.07,2020,45
0.04,2020,44
0.06,2020,43
0.06,2020,37
0.07,2020,42
0.06,2020,41
0.06,2020,50
0.09,2021,46
0.07,2021,44
0.07,2021,5
0.05,2021,52
0.03,2021,24
0.04,2021,20
0.04,2021,35
0.06,2021,1
0.03,2021,4
0.04,2021,34
0.09,2021,38
0.09,2021,39
0.02,2021,23
0.05,2021,3
0.03,2021,7
0.04,2021,21
0.03,2021,22
0.05,2021,14
0.04,2021,15
0.07,2021,16
0.08,2021,47
0.07,2021,37
0.04,2021,2
0.09,2021,49
0.1,2021,50
0.04,2021,6
0.1,2021,40
0.03,2021,26
0.06,2021,12
0.1,2021,51
0.03,2021,10
0.05,2021,11
0.1,2021,43
0.09,2021,45
0.07,2021,19
0.1,2021,48
0.03,2021,8
0.05,2021,33
0.03,2021,9
0.03,2021,32
0.14,2021,42
0.1,2021,36
0.02,2021,29
0.08,2021,41
0.05,2021,18
0.02,2021,30
0.02,2021,31
0.08,2021,17
0.01,2021,27
0.03,2021,25
0.02,2021,13
0.03,2021,28
0.06,2022,38
0.15,2022,44
0.12,2022,15
0.06,2022,37
0.06,2022,36
0.06,2022,33
0.15,2022,43
0.16,2022,16
0.08,2022,34
0.14,2022,42
0.34,2022,47
0.16,2022,2
0.15,2022,17
0.19,2022,45
0.09,2022,12
0.12,2022,13
0.31,2022,48
0.19,2022,20
0.26,2022,46
0.06,2022,31
0.14,2022,24
0.11,2022,25
0.12,2022,21
0.09,2022,4
0.1,2022,5
0.07,2022,39
0.04,2022,35
0.14,2022,41
0.12,2022,51
0.11,2022,52
0.3,2022,49
0.2,2022,1
0.05,2022,40
0.15,2022,3
0.09,2022,22
0.07,2022,6
0.23,2022,18
0.2,2022,19
0.08,2022,30
0.12,2022,23
0.11,2022,14
0.22,2022,50
0.06,2022,9
0.1,2022,10
0.07,2022,11
0.08,2022,29
0.07,2022,32
0.07,2022,7
0.06,2022,8
0.09,2022,28
0.14,2022,27
0.07,2022,26
0.04,2023,21
0.05,2023,22
0.03,2023,23
0.07,2023,17
0.03,2023,24
0.1,2023,13
0.04,2023,14
0.03,2023,15
0.07,2023,18
0.02,2023,19
0.08,2023,9
0.07,2023,16
0.02,2023,20
0.05,2023,8
0.17,2023,3
0.09,2023,4
0.06,2023,7
0.05,2023,26
0.05,2023,25
0.07,2023,11
0.1,2023,5
0.07,2023,10
0.12,2023,2
0.01,2023,29
0.08,2023,6
0.09,2023,1
0.06,2023,27
0.05,2023,28
0.06,2023,12
