"season","week","rate"
2017,1,0.27
2017,8,0.5
2017,7,0.37
2017,5,0.38
2016,49,0.08
2017,6,0.4
2016,52,0.24
2017,11,0.56
2017,10,0.43
2017,13,0.43
2017,12,0.63
2016,50,0.16
2017,9,0.67
2017,4,0.38
2016,51,0.16
2017,2,0.3
2016,48,0.07
2017,3,0.26
2018,12,0.28
2017,25,0.36
2017,40,0.11
2017,26,0.32
2017,39,0.12
2017,19,0.83
2018,6,0.36
2017,52,0.29
2017,36,0.13
2017,24,0.27
2017,41,0.1
2017,38,0.1
2017,45,0.06
2018,2,0.26
2018,11,0.38
2017,42,0.14
2017,35,0.2
2017,15,0.74
2017,51,0.08
2017,37,0.17
2017,18,1
2017,16,0.73
2018,10,0.49
2018,13,0.28
2018,1,0.14
2017,44,0.12
2018,3,0.35
2017,20,0.8
2018,5,0.3
2017,33,0.18
2017,50,0.11
2017,49,0.09
2017,34,0.14
2017,17,0.77
2018,9,0.46
2017,23,0.39
2017,27,0.19
2017,43,0.06
2017,14,0.89
2018,4,0.31
2018,7,0.32
2018,8,0.32
2017,28,0.29
2017,48,0.1
2017,29,0.27
2017,22,0.66
2017,21,0.57
2017,47,0.11
2017,31,0.23
2017,32,0.25
2017,46,0.1
2017,30,0.32
2018,16,0.38
2019,1,0.21
2019,5,0.2
2019,4,0.2
2018,14,0.53
2018,37,0.15
2019,3,0.22
2018,27,0.24
2018,40,0.09
2019,2,0.2
2018,35,0.16
2018,19,0.25
2018,15,0.53
2018,17,0.39
2018,38,0.11
2018,39,0.12
2018,34,0.1
2018,41,0.14
2018,26,0.28
2018,43,0.03
2018,24,0.16
2018,45,0.06
2018,42,0.05
2019,6,0.14
2018,30,0.11
2018,36,0.14
2018,23,0.3
2018,18,0.38
2018,44,0.06
2018,31,0.14
2018,21,0.19
2018,50,0.15
2018,28,0.24
2018,25,0.28
2018,52,0.16
2018,32,0.13
2018,33,0.13
2018,20,0.2
2018,46,0.13
2018,47,0.08
2018,29,0.18
2018,51,0.22
2018,48,0.11
2018,22,0.27
2018,49,0.07
2019,14,0.06
2019,49,0.03
2019,51,0.06
2019,48,0.02
2019,52,0.06
2019,50,0.06
2021,7,0.09
2021,5,0.07
2021,13,0.05
2021,8,0.08
2021,10,0.09
2021,11,0.1
2021,1,0.1
2021,12,0.1
2021,4,0.1
2021,6,0.09
2021,9,0.1
2021,3,0.14
2021,2,0.08
2021,51,0.06
2022,5,0.15
2021,28,0.12
2021,50,0.06
2021,49,0.06
2021,46,0.06
2022,4,0.15
2021,29,0.16
2021,47,0.08
2022,3,0.14
2022,8,0.34
2021,15,0.16
2021,30,0.15
2022,6,0.19
2021,25,0.09
2021,26,0.12
2022,9,0.31
2021,33,0.19
2022,7,0.26
2021,44,0.06
2021,37,0.14
2021,38,0.11
2021,34,0.12
2021,17,0.09
2021,18,0.1
2021,52,0.07
2021,48,0.04
2022,2,0.14
2022,12,0.12
2022,13,0.11
2022,10,0.3
2021,14,0.2
2022,1,0.05
2021,16,0.15
2021,35,0.09
2021,19,0.07
2021,31,0.23
2021,32,0.2
2021,43,0.08
2021,36,0.12
2021,27,0.11
2022,11,0.22
2021,22,0.06
2021,23,0.1
2021,24,0.07
2021,42,0.08
2021,45,0.07
2021,20,0.07
2021,21,0.06
2021,41,0.09
2021,40,0.14
2021,39,0.07
2022,34,0.04
2022,35,0.05
2022,36,0.03
2022,30,0.07
2022,37,0.03
2022,26,0.1
2022,27,0.04
2022,28,0.03
2022,31,0.07
2022,32,0.02
2022,22,0.08
2022,29,0.07
2022,33,0.02
2022,21,0.05
2022,16,0.17
2022,17,0.09
2022,20,0.06
2022,39,0.05
2022,38,0.05
2022,24,0.07
2022,18,0.1
2022,23,0.07
2022,15,0.12
2022,42,0.01
2022,19,0.08
2022,14,0.09
2022,40,0.06
2022,41,0.05
2022,25,0.06
