"rate","season","week"
3,2013,30
2.72,2013,31
2.85,2013,32
2.8,2013,33
2.17,2013,34
2.78,2013,35
2.92,2013,50
2.15,2013,51
5.64,2013,18
6.72,2013,19
3.79,2013,42
3.3,2013,43
3.18,2013,44
3.27,2013,1
3.13,2013,2
4.36,2013,3
2.88,2013,4
2.76,2013,5
3.45,2013,49
5.7,2013,20
6.09,2013,21
5.69,2013,12
4.25,2013,13
3.61,2013,39
3.95,2013,40
7.18,2013,22
5.92,2013,23
2.8,2013,52
4.92,2013,24
3.01,2013,41
3.16,2013,48
3.55,2013,27
3.04,2013,28
4.36,2013,25
3.2,2013,26
4.73,2013,8
5.36,2013,9
2.25,2013,29
3.59,2013,47
3.14,2013,38
4.72,2013,15
3,2013,6
3.2,2013,7
5.53,2013,14
3.22,2013,37
3.12,2013,45
3.84,2013,46
5.26,2013,11
2.82,2013,36
5.95,2013,16
5.37,2013,10
5.75,2013,17
3.43,2014,31
3.66,2014,39
2.55,2014,32
3.3,2014,30
4.5,2014,23
3.63,2014,27
3.24,2014,28
4.06,2014,22
3.33,2014,26
3.21,2014,42
2.94,2014,43
4.62,2014,21
2.77,2014,33
3.74,2014,40
2.7,2014,41
2.73,2014,29
4.01,2014,25
2.76,2014,50
3.11,2014,51
2.67,2014,44
3.67,2014,45
6.69,2014,11
3.72,2014,38
1.94,2014,52
3.99,2014,24
3.26,2014,35
3.08,2014,3
3.12,2014,46
4.64,2014,10
2.85,2014,49
5.87,2014,14
4.96,2014,15
2.38,2014,34
3.82,2014,17
3.28,2014,37
3.17,2014,47
4.46,2014,16
2.55,2014,1
3.3,2014,2
2.9,2014,6
3.61,2014,7
4.77,2014,12
6.03,2014,13
3.22,2014,36
2.86,2014,48
3.85,2014,8
4.34,2014,9
2.73,2014,5
3.64,2014,18
2.94,2014,4
4.52,2014,20
4.47,2014,19
NA,2015,9
NA,2015,44
NA,2015,45
NA,2015,8
NA,2015,14
NA,2015,12
NA,2015,46
NA,2015,10
NA,2015,1
2.53,2015,53
NA,2015,38
NA,2015,39
NA,2015,40
NA,2015,11
NA,2015,42
NA,2015,15
NA,2015,16
NA,2015,17
NA,2015,18
NA,2015,19
NA,2015,31
NA,2015,3
NA,2015,41
NA,2015,32
NA,2015,2
NA,2015,50
NA,2015,51
NA,2015,47
NA,2015,43
NA,2015,48
NA,2015,49
NA,2015,52
NA,2015,25
NA,2015,24
NA,2015,6
NA,2015,4
NA,2015,26
NA,2015,5
NA,2015,30
NA,2015,13
NA,2015,23
NA,2015,29
NA,2015,34
NA,2015,7
NA,2015,33
NA,2015,28
NA,2015,21
NA,2015,35
NA,2015,22
NA,2015,36
NA,2015,37
NA,2015,20
NA,2015,27
NA,2016,2
NA,2016,3
NA,2016,38
NA,2016,39
NA,2016,1
NA,2016,28
NA,2016,44
