"rate","season","week"
1.06,2018,42
0.75,2018,43
1,2018,44
0.91,2018,45
0.78,2018,46
1.17,2018,47
0.6,2018,20
0.4,2018,5
0.27,2018,6
0.69,2018,7
0.73,2018,8
0.62,2018,9
0.62,2018,10
0.44,2018,37
0.62,2018,38
1.06,2018,39
0.97,2018,40
1.11,2018,41
0.47,2018,23
0.47,2018,24
0.53,2018,25
0.69,2018,26
0.73,2018,27
0.49,2018,28
0.49,2018,29
0.51,2018,36
0.46,2018,1
0.51,2018,2
0.51,2018,3
0.46,2018,4
0.57,2018,17
0.46,2018,18
0.51,2018,30
0.38,2018,31
0.47,2018,32
0.51,2018,33
0.51,2018,34
0.44,2018,35
0.64,2018,15
0.51,2018,16
1.04,2018,48
0.71,2018,19
1.13,2018,51
0.62,2018,21
0.53,2018,22
0.55,2018,13
0.44,2018,14
0.88,2018,50
0.55,2018,11
0.62,2018,12
1.04,2018,49
0.71,2018,52
1.07,2019,9
1.14,2019,6
1.76,2019,7
0.43,2019,30
0.84,2019,5
0.73,2019,21
0.93,2019,8
0.85,2019,26
0.57,2019,27
0.5,2019,29
0.85,2019,22
0.89,2019,46
0.8,2019,47
0.71,2019,20
0.77,2019,45
0.93,2019,25
0.36,2019,33
0.48,2019,34
0.89,2019,24
0.98,2019,10
0.46,2019,37
0.55,2019,38
0.5,2019,28
0.66,2019,40
0.73,2019,41
0.66,2019,18
0.66,2019,19
0.32,2019,31
0.2,2019,32
1.01,2019,12
1.09,2019,13
0.87,2019,14
0.34,2019,36
0.69,2019,16
0.68,2019,42
0.68,2019,39
0.61,2019,44
0.64,2019,17
0.68,2019,2
0.41,2019,3
0.64,2019,48
0,2019,49
0.68,2019,1
1.09,2019,15
1.1,2019,11
0.61,2019,43
0.43,2019,35
0.89,2019,23
0.73,2019,4
0.36,2022,14
0.45,2022,15
0,2022,39
0.43,2022,23
0.38,2022,4
0.07,2022,5
0.28,2022,12
0.45,2022,35
0.28,2022,36
0.35,2022,13
0.51,2022,38
0.43,2022,28
0.35,2022,29
0.45,2022,22
0.43,2022,25
0.58,2022,26
0.35,2022,27
0.35,2022,24
0.5,2022,6
0.28,2022,7
0.51,2022,8
0.3,2022,9
0.66,2022,37
0.15,2022,1
0.17,2022,2
0.2,2022,3
0.4,2022,30
0.3,2022,31
0.48,2022,32
0.25,2022,33
0.22,2022,34
0.48,2022,10
0.35,2022,11
0.35,2022,16
0.4,2022,17
0.45,2022,18
0.2,2022,19
0.35,2022,20
0.46,2022,21
