"rate","season","week"
0,2010,48
0,2010,49
0.58,2010,51
0,2010,47
0,2010,41
14.6,2010,1
4.51,2010,52
9.6,2010,4
11.04,2010,3
0,2010,44
0,2010,42
0.02,2010,46
0.14,2010,50
0,2010,45
0,2010,40
13.35,2010,2
0,2010,43
0,2011,51
0,2011,41
0,2011,50
0,2011,48
0,2011,49
0,2011,44
10.11,2011,1
0,2011,40
149.46,2011,4
103.34,2011,3
0,2011,42
0,2011,46
0,2011,47
0,2011,45
57.68,2011,2
0,2011,43
0.02,2011,52
0.02,2012,51
0.05,2012,50
0,2012,42
0,2012,41
0,2012,40
0.02,2012,24
0,2012,46
0,2012,47
0.31,2012,52
0,2012,49
0.07,2012,3
0,2012,45
0,2012,48
0.02,2012,1
0.23,2012,2
1.34,2012,4
0,2013,43
0,2013,41
0.28,2013,52
0,2013,36
0,2013,28
0,2013,46
0,2013,38
0,2013,48
10.61,2013,4
0.4,2013,51
0,2013,47
0.02,2013,50
0,2013,45
0,2013,40
0,2013,49
3.28,2013,3
0,2013,42
0.57,2013,1
0,2013,44
0.38,2013,2
0,2014,40
2.65,2014,2
0,2014,41
0,2014,42
0,2014,46
5.19,2014,4
0,2014,45
0,2014,43
0.26,2014,23
0.69,2014,1
0,2014,44
0,2014,47
1.3,2014,52
1.11,2014,51
0,2014,24
4.5,2014,3
0.64,2014,49
0.43,2014,48
1.59,2014,50
54.97,2015,13
242.56,2015,8
203.29,2015,10
81.84,2015,12
232.16,2015,9
2.7,2015,1
0,2015,21
139.99,2015,11
0.07,2015,20
0.05,2016,41
31.6,2016,4
0.02,2016,44
46.63,2016,6
63.63,2016,7
0.15,2016,42
39.36,2016,5
0.02,2016,45
64.64,2016,9
8.22,2016,15
18.62,2016,14
0,2016,43
0,2016,20
66.14,2016,8
0.94,2016,19
0.1,2016,46
2.61,2016,16
22.24,2016,13
1.06,2016,18
2.27,2016,17
28.53,2016,12
40.06,2016,11
44.89,2016,10
0.07,2017,46
0.1,2017,45
62.81,2017,7
3.43,2017,11
0.05,2017,43
1.37,2017,12
186.92,2017,5
0,2017,44
34.05,2017,8
0.02,2017,42
115.76,2017,6
1.47,2017,16
10.3,2017,10
202.54,2017,4
1.03,2017,13
0.29,2017,17
0.83,2017,15
0.12,2017,18
19.66,2017,9
0.29,2017,14
0,2017,41
0.02,2017,21
0.27,2017,20
0.1,2018,20
120.08,2018,9
5.81,2018,15
0.7,2018,18
11.6,2018,14
188.45,2018,4
0,2018,41
173.7,2018,7
0.22,2018,19
23.38,2018,12
146.41,2018,8
201.52,2018,6
2.09,2018,16
9.81,2018,13
0,2018,43
220.36,2018,5
0.57,2018,17
0.07,2018,42
0.02,2018,46
40.45,2018,11
85.89,2018,10
0.02,2018,21
0.02,2018,44
0.1,2018,45
75.28,2019,8
0.1,2019,19
204.85,2019,6
0,2019,44
282.21,2019,5
0,2019,43
278.9,2019,4
5.27,2019,13
3.31,2019,14
0.03,2019,42
0,2019,41
54.24,2019,9
133.03,2019,7
1.58,2019,15
0.03,2019,46
30.91,2019,10
9.58,2019,12
0,2019,40
1.03,2019,16
12.92,2019,11
0.08,2019,45
1.1,2019,17
1.15,2019,18
246.21,2020,7
0,2020,18
0.68,2020,16
0,2020,42
226.76,2020,6
2.4,2020,15
230.68,2020,8
127.26,2020,5
78.15,2020,11
193.25,2020,9
0,2020,53
0.25,2020,20
55.82,2020,4
0,2020,40
0,2020,43
0.1,2020,17
0,2020,41
0,2020,45
162.77,2020,10
19.25,2020,12
0,2020,44
5.97,2020,13
0,2020,19
2.86,2020,14
19.89,2022,14
6.35,2022,9
0.03,2022,26
31.48,2022,13
15.66,2022,11
12.85,2022,12
6.73,2022,10
0.13,2022,35
0.03,2022,30
0.59,2023,26
0.1,2023,30
56.83,2023,9
12.53,2023,13
31.8,2023,10
0.39,2023,35
9.19,2023,14
23.9,2023,11
19.58,2023,12
