"season","week","rate"
2010,9,0
2010,10,0
2010,12,0.58
2010,8,0
2010,2,0
2009,14,14.6
2010,13,4.51
2009,17,9.6
2009,16,11.04
2010,5,0
2010,3,0
2010,7,0.02
2010,11,0.14
2010,6,0
2010,1,0
2009,15,13.35
2010,4,0
2011,12,0
2011,2,0
2011,11,0
2011,9,0
2011,10,0
2011,5,0
2010,14,10.11
2011,1,0
2010,17,149.46
2010,16,103.34
2011,3,0
2011,7,0
2011,8,0
2011,6,0
2010,15,57.68
2011,4,0
2011,13,0.02
2012,12,0.02
2012,11,0.05
2012,3,0
2012,2,0
2012,1,0
2011,37,0.02
2012,7,0
2012,8,0
2012,13,0.31
2012,10,0
2011,16,0.07
2012,6,0
2012,9,0
2011,14,0.02
2011,15,0.23
2011,17,1.34
2013,4,0
2013,2,0
2013,13,0.28
2012,49,0
2012,41,0
2013,7,0
2012,51,0
2013,9,0
2012,17,10.61
2013,12,0.4
2013,8,0
2013,11,0.02
2013,6,0
2013,1,0
2013,10,0
2012,16,3.28
2013,3,0
2012,14,0.57
2013,5,0
2012,15,0.38
2014,1,0
2013,15,2.65
2014,2,0
2014,3,0
2014,7,0
2013,17,5.19
2014,6,0
2014,4,0
2013,36,0.26
2013,14,0.69
2014,5,0
2014,8,0
2014,13,1.3
2014,12,1.11
2013,37,0
2013,16,4.5
2014,10,0.64
2014,9,0.43
2014,11,1.59
2014,26,54.97
2014,21,242.56
2014,23,203.29
2014,25,81.84
2014,22,232.16
2014,14,2.7
2014,34,0
2014,24,139.99
2014,33,0.07
2016,2,0.05
2015,17,31.6
2016,5,0.02
2015,19,46.63
2015,20,63.63
2016,3,0.15
2015,18,39.36
2016,6,0.02
2015,22,64.64
2015,28,8.22
2015,27,18.62
2016,4,0
2015,33,0
2015,21,66.14
2015,32,0.94
2016,7,0.1
2015,29,2.61
2015,26,22.24
2015,31,1.06
2015,30,2.27
2015,25,28.53
2015,24,40.06
2015,23,44.89
2017,7,0.07
2017,6,0.1
2016,20,62.81
2016,24,3.43
2017,4,0.05
2016,25,1.37
2016,18,186.92
2017,5,0
2016,21,34.05
2017,3,0.02
2016,19,115.76
2016,29,1.47
2016,23,10.3
2016,17,202.54
2016,26,1.03
2016,30,0.29
2016,28,0.83
2016,31,0.12
2016,22,19.66
2016,27,0.29
2017,2,0
2016,34,0.02
2016,33,0.27
2017,33,0.1
2017,22,120.08
2017,28,5.81
2017,31,0.7
2017,27,11.6
2017,17,188.45
2018,2,0
2017,20,173.7
2017,32,0.22
2017,25,23.38
2017,21,146.41
2017,19,201.52
2017,29,2.09
2017,26,9.81
2018,4,0
2017,18,220.36
2017,30,0.57
2018,3,0.07
2018,7,0.02
2017,24,40.45
2017,23,85.89
2017,34,0.02
2018,5,0.02
2018,6,0.1
2018,21,75.28
2018,32,0.1
2018,19,204.85
2019,5,0
2018,18,282.21
2019,4,0
2018,17,278.9
2018,26,5.27
2018,27,3.31
2019,3,0.03
2019,2,0
2018,22,54.24
2018,20,133.03
2018,28,1.58
2019,7,0.03
2018,23,30.91
2018,25,9.58
2019,1,0
2018,29,1.03
2018,24,12.92
2019,6,0.08
2018,30,1.1
2018,31,1.15
2019,20,246.21
2019,31,0
2019,29,0.68
2020,3,0
2019,19,226.76
2019,28,2.4
2019,21,230.68
2019,18,127.26
2019,24,78.15
2019,22,193.25
2020,13,0
2019,33,0.25
2019,17,55.82
2020,1,0
2020,4,0
2019,30,0.1
2020,2,0
2020,6,0
2019,23,162.77
2019,25,19.25
2020,5,0
2019,26,5.97
2019,32,0
2019,27,2.86
2021,27,19.89
2021,22,6.35
2021,39,0.03
2021,26,31.48
2021,24,15.66
2021,25,12.85
2021,23,6.73
2021,48,0.13
2021,43,0.03
2022,39,0.59
2022,43,0.1
2022,22,56.83
2022,26,12.53
2022,23,31.8
2022,48,0.39
2022,27,9.19
2022,24,23.9
2022,25,19.58
