"rate","season","week"
8.43,2010,40
6.1,2010,20
21.87,2010,3
12.68,2010,47
22.52,2010,2
4.23,2010,25
11.98,2010,11
2.28,2010,31
4.58,2010,24
9.33,2010,41
8.09,2010,39
13.62,2010,48
28.61,2010,1
4.55,2010,23
2.87,2010,26
8.55,2010,44
6.36,2010,22
5.71,2010,37
5.55,2010,21
16.23,2010,49
2.21,2010,29
11.26,2010,51
8.51,2010,52
9.7,2010,42
7.1,2010,18
6.3,2010,19
9.47,2010,12
16.97,2010,50
7.69,2010,16
10.01,2010,45
6.73,2010,17
8.14,2010,46
19.3,2010,4
9.79,2010,13
8.29,2010,15
7.18,2010,43
8,2010,14
11.3,2011,45
10.91,2011,46
11.05,2011,52
14.61,2011,47
9.69,2011,43
17.17,2011,49
16.23,2011,51
8.14,2011,40
36.94,2011,3
10.88,2011,44
9.62,2011,42
15.82,2011,48
8.55,2011,41
19.9,2011,2
14.56,2011,1
8.71,2011,16
13.21,2011,15
71.34,2011,4
56.03,2011,11
16.22,2011,14
23.51,2011,13
36.62,2011,12
6.06,2011,20
18.92,2011,50
6.15,2011,19
4.98,2011,21
4.42,2011,23
4.15,2011,24
7.71,2011,17
4.84,2011,22
6.77,2011,18
6.63,2012,20
3.1,2012,30
39.32,2012,12
7.79,2012,19
2.11,2012,35
2.87,2012,31
11.46,2012,46
23.34,2012,14
16.9,2012,4
2.07,2012,32
2.27,2012,34
17,2012,1
20.43,2012,50
3.39,2012,28
12.88,2012,47
21.56,2012,15
37.79,2012,11
4.13,2012,25
10.44,2012,45
32.52,2012,13
10.05,2012,44
20.92,2012,52
3.05,2012,29
6.08,2012,22
25.87,2012,51
4.27,2012,26
4.92,2012,23
14.87,2012,3
5.82,2012,21
1.87,2012,33
17.07,2012,49
9.36,2012,43
9.32,2012,18
13.27,2012,17
9.32,2012,42
1.96,2012,27
15.24,2012,2
4.83,2012,24
15.15,2012,48
15.77,2012,16
7.91,2013,22
3.62,2013,28
35.34,2013,13
10.96,2013,46
59.79,2013,9
12.07,2013,47
33.32,2013,14
7.35,2013,21
79.81,2013,3
40.79,2013,11
3.85,2013,27
8.74,2013,45
8.97,2013,44
80.55,2013,8
6.02,2013,52
57.9,2013,2
6.8,2013,20
48.25,2013,10
27.66,2013,15
6.95,2013,19
9.15,2013,18
100.24,2013,7
101.8,2013,4
3.26,2013,30
2.7,2013,33
3.02,2013,32
28.01,2013,1
136.7,2013,5
19.9,2013,16
10.51,2013,43
7.34,2013,23
