"season","week","rate"
2010,1,8.43
2009,33,6.1
2009,16,21.87
2010,8,12.68
2009,15,22.52
2009,38,4.23
2009,24,11.98
2009,44,2.28
2009,37,4.58
2010,2,9.33
2009,52,8.09
2010,9,13.62
2009,14,28.61
2009,36,4.55
2009,39,2.87
2010,5,8.55
2009,35,6.36
2009,50,5.71
2009,34,5.55
2010,10,16.23
2009,42,2.21
2010,12,11.26
2010,13,8.51
2010,3,9.7
2009,31,7.1
2009,32,6.3
2009,25,9.47
2010,11,16.97
2009,29,7.69
2010,6,10.01
2009,30,6.73
2010,7,8.14
2009,17,19.3
2009,26,9.79
2009,28,8.29
2010,4,7.18
2009,27,8
2011,6,11.3
2011,7,10.91
2011,13,11.05
2011,8,14.61
2011,4,9.69
2011,10,17.17
2011,12,16.23
2011,1,8.14
2010,16,36.94
2011,5,10.88
2011,3,9.62
2011,9,15.82
2011,2,8.55
2010,15,19.9
2010,14,14.56
2010,29,8.71
2010,28,13.21
2010,17,71.34
2010,24,56.03
2010,27,16.22
2010,26,23.51
2010,25,36.62
2010,33,6.06
2011,11,18.92
2010,32,6.15
2010,34,4.98
2010,36,4.42
2010,37,4.15
2010,30,7.71
2010,35,4.84
2010,31,6.77
2011,33,6.63
2011,43,3.1
2011,25,39.32
2011,32,7.79
2011,48,2.11
2011,44,2.87
2012,7,11.46
2011,27,23.34
2011,17,16.9
2011,45,2.07
2011,47,2.27
2011,14,17
2012,11,20.43
2011,41,3.39
2012,8,12.88
2011,28,21.56
2011,24,37.79
2011,38,4.13
2012,6,10.44
2011,26,32.52
2012,5,10.05
2012,13,20.92
2011,42,3.05
2011,35,6.08
2012,12,25.87
2011,39,4.27
2011,36,4.92
2011,16,14.87
2011,34,5.82
2011,46,1.87
2012,10,17.07
2012,4,9.36
2011,31,9.32
2011,30,13.27
2012,3,9.32
2011,40,1.96
2011,15,15.24
2011,37,4.83
2012,9,15.15
2011,29,15.77
2012,35,7.91
2012,41,3.62
2012,26,35.34
2013,7,10.96
2012,22,59.79
2013,8,12.07
2012,27,33.32
2012,34,7.35
2012,16,79.81
2012,24,40.79
2012,40,3.85
2013,6,8.74
2013,5,8.97
2012,21,80.55
2013,13,6.02
2012,15,57.9
2012,33,6.8
2012,23,48.25
2012,28,27.66
2012,32,6.95
2012,31,9.15
2012,20,100.24
2012,17,101.8
2012,43,3.26
2012,46,2.7
2012,45,3.02
2012,14,28.01
2012,18,136.7
2012,29,19.9
2013,4,10.51
2012,36,7.34
2012,25,38.61
2012,30,12.62
2012,19,137.78
2012,44,2.44
2013,9,12.76
2012,39,5.8
2012,37,6.49
2013,11,13.11
2013,3,10.14
2013,12,13.2
2012,47,2.43
2012,42,2.97
2013,10,11.49
2012,38,5.2
2013,29,7.96
2013,18,14.54
2013,21,15.89
2013,16,11.76
2014,11,15.45
2013,28,8.27
2013,20,15.87
2013,26,10.44
2013,25,11.57
2014,10,13.41
2013,19,14.95
2013,22,13.83
2013,30,6.96
2013,27,8.99
2014,13,9.53
2013,24,12.47
2013,23,12.93
2013,31,5.65
2013,15,11.76
2013,33,5.5
2014,12,16.12
2013,17,13.36
2013,14,8.49
2013,32,5.16
2014,9,11.52
2014,3,9
2014,8,10.58
2014,7,9.45
2014,2,8
2014,6,9.18
2014,5,9.18
2014,4,9.86
2014,15,15.63
2014,48,2
2014,43,1.98
2014,16,20.72
2014,49,2.64
2014,50,3.54
2014,17,41.48
2014,22,87.9
2014,20,146.6
2014,42,1.77
2014,45,1.86
2014,32,7.35
2014,47,1.68
2014,46,1.44
2014,21,116.21
2014,52,7.03
2014,44,1.88
2014,14,8.4
2014,31,7.27
2014,40,2.96
2014,41,2.49
2014,18,85.73
2014,27,19.12
2014,30,9.31
2014,28,15.82
2014,29,11.09
2014,25,30.56
2014,51,5.73
2014,39,3.49
2014,24,42.16
2014,23,56.89
2014,19,140.96
2014,26,26.75
2016,4,6.55
2016,7,7.24
2016,6,8.34
2016,11,15.53
2016,5,8.43
2016,2,6.43
2016,3,8.18
2016,10,11.95
2016,12,23.58
2016,9,10.65
2016,8,9.87
2016,1,6.62
2016,13,29.8
2017,12,10.13
2016,42,1.44
2016,32,5.01
2016,46,1.12
2016,50,2.96
2017,8,9.14
2016,29,6.09
2016,28,5.83
2016,48,1.56
2016,43,1.34
2017,13,5.98
2017,10,11.56
2016,41,1.54
2016,27,7.69
2016,47,1.29
2017,11,13.21
2016,52,4.94
2016,25,10.48
2017,7,6.74
2017,9,10.61
2016,15,73.2
2016,44,1.27
2016,26,7.88
2016,16,93.32
2016,36,3.04
2016,30,5.43
2016,31,5.08
2016,33,4.63
2016,34,3.94
2017,6,7.7
2016,40,1.06
2016,37,3.38
2016,45,1.51
2017,4,6.56
2017,1,7.04
2016,24,13.28
2016,35,3.39
2017,3,7.18
2016,49,2.15
2016,51,5.6
2017,5,7.41
2016,14,61.64
2016,39,2.18
2017,2,7.86
2016,38,2.62
2016,23,17.45
2017,25,55.55
2017,15,13.8
2017,28,10.75
2017,27,18.79
2017,14,10.23
2018,13,4.14
2017,36,2.9
2017,37,2.79
2017,23,118.53
2017,45,1.69
2017,42,1.38
2017,30,5.14
2017,24,94.5
2018,6,7.76
2017,16,22.2
2018,4,6.6
2017,48,1.67
2017,44,0.87
2017,43,1.1
2017,41,1.64
2018,8,8.66
2017,29,6.84
2017,26,28.55
2017,31,4.37
2018,3,6.21
2017,32,3.78
2018,12,10.92
2018,5,6.77
2017,49,2.41
2018,2,5.52
2018,11,11.03
2018,10,9.47
2018,9,9.89
2017,46,1.67
2018,7,7.62
2017,34,3.08
2017,51,3.25
2017,35,2.64
2017,33,3.33
2017,52,3.67
2017,40,1.15
2017,50,3.04
2018,1,6.14
2017,39,2.44
2017,47,1.66
2017,38,2.59
2018,45,1.17
2019,3,5.75
2018,40,2.32
2018,32,2.76
2018,25,11.94
2018,31,3.05
2018,16,16.42
2018,52,5.74
2018,30,3.82
2019,5,6.37
2018,46,1.11
2018,51,4.36
2018,43,1.18
2019,6,6.47
2018,39,2.11
2018,24,16.72
2018,50,3
2018,47,1.49
2019,2,6.15
2018,44,1.66
2018,41,1.58
2018,49,1.55
2018,48,1.46
2018,38,2.53
2018,27,6.49
2018,23,27.37
2019,1,5.95
2018,42,1.67
2018,37,3.17
2019,4,6.75
2018,26,8.51
2019,9,8.56
2018,15,13.14
2018,29,3.9
2018,36,3.2
2019,8,7.18
2018,14,7.97
2018,28,5.49
2019,7,7.18
2018,34,2.62
2019,12,14.03
2019,11,12.16
2019,10,9.11
2018,35,2.54
2018,33,3.17
2020,2,3.09
2020,4,5.93
2019,46,0.41
2019,44,0.47
2019,45,0.54
2020,3,4.48
2020,1,4.19
2020,8,3.87
2019,28,2.39
2019,41,0.54
2019,27,4.28
2019,48,0.85
2019,51,3.19
2019,37,0.99
2019,35,1.36
2019,47,0.74
2019,25,12.08
2020,9,4.64
2019,36,1.27
2019,50,2.25
2020,12,4.61
2019,24,22.92
2019,42,0.75
2019,43,0.55
2019,40,0.49
2020,7,5.18
2019,38,0.57
2020,5,5.14
2019,34,0.85
2019,52,3.54
2019,49,1.15
2019,39,0.95
2020,10,5.21
2019,23,32.31
2019,16,17.51
2019,14,6.63
2019,32,1.09
2020,6,6.37
2019,30,2.28
2020,11,5.15
2019,33,1.11
2019,26,6.37
2019,15,11.37
2019,31,1.47
2019,29,2.54
2020,42,1.08
2020,48,1.21
2021,8,7.2
2020,41,1.17
2020,30,1.64
2021,7,8.17
2020,14,5.19
2020,21,3.24
2021,1,6.09
2020,49,3.07
2020,47,1.5
2021,5,9
2020,15,3.19
2020,16,3.54
2021,6,6.33
2020,52,4.96
2020,40,0.91
2021,10,7.72
2020,43,0.78
2020,46,1.1
2020,33,1.51
2021,9,7.44
2021,13,3.39
2020,17,3.66
2020,19,3.41
2021,12,4.51
2021,4,8.31
2020,51,4.89
2021,2,7.32
2020,32,1.43
2020,50,3.69
2020,27,1.76
2020,20,3.63
2021,11,6.48
2020,28,1.91
2020,18,3.57
2021,3,10.12
2020,25,2.22
2020,23,3.04
2020,45,0.85
2020,31,1.96
2020,26,1.3
2020,22,3.24
2020,29,1.63
2020,24,2.31
2020,44,0.81
2021,48,1.35
2021,52,4.93
2022,7,5.41
2021,49,1.95
2021,24,4.8
2021,50,3.34
2022,5,6.08
2021,47,1.22
2021,46,0.98
2021,14,4.81
2021,23,4.92
2022,6,5.08
2021,33,3.26
2022,1,6.54
2021,26,6.76
2021,45,1.14
2021,22,4.16
2021,15,4.9
2021,42,1.56
2022,10,17.04
