"rate","season","week"
1.87,2010,3
1.41,2010,7
2.27,2010,8
2.79,2010,45
3.33,2010,47
1.15,2010,16
3.37,2010,46
0.47,2010,17
0.74,2010,15
5.25,2010,51
0.32,2010,20
1.78,2010,5
1.77,2010,2
4.2,2010,48
0.99,2010,19
5.97,2010,52
1.6,2010,4
1.05,2010,18
0.78,2010,14
1.03,2010,13
1.28,2010,6
2.13,2010,11
4.45,2010,49
6.02,2010,50
2,2010,9
1.55,2010,12
2.27,2010,10
2.76,2011,48
2.82,2011,50
1.29,2011,14
0.39,2011,16
3.2,2011,47
2.75,2011,46
0.52,2011,17
0.52,2011,19
2.6,2011,45
0.29,2011,20
12.8,2011,2
1.02,2011,15
15.31,2011,3
1.62,2011,13
4.36,2011,9
0.45,2011,18
3.25,2011,49
12.13,2011,1
6.61,2011,8
1.97,2011,52
2.32,2011,51
3.72,2011,10
8.19,2011,7
13.43,2011,6
16.78,2011,5
16.91,2011,4
2.78,2011,11
3.18,2011,12
2.15,2012,4
0.29,2012,20
2.86,2012,10
0.84,2012,16
0.55,2012,17
2.13,2012,11
2.22,2012,48
2.52,2012,9
2.38,2012,1
0.48,2012,14
1.68,2012,45
0.8,2012,15
0.36,2012,18
3.34,2012,50
0.57,2012,19
1.73,2012,13
2.18,2012,49
1.29,2012,46
3.76,2012,2
2.31,2012,7
2.15,2012,5
1.2,2012,47
4.74,2012,52
2.34,2012,12
2.58,2012,3
2.11,2012,6
4.52,2012,51
2.7,2012,8
3.44,2013,12
1.26,2013,47
0.46,2013,52
0.12,2013,20
1.23,2013,48
5.54,2013,9
7.85,2013,8
0.78,2013,17
7.66,2013,3
0.52,2013,18
1.58,2013,15
1.05,2013,46
5.82,2013,11
6.98,2013,10
0.69,2013,42
0.59,2013,40
0.2,2013,19
1.02,2013,16
0.71,2013,41
1.26,2013,49
1.48,2013,13
1.71,2013,50
0.91,2013,44
10.47,2013,1
1.07,2013,45
9.39,2013,7
8.46,2013,2
1,2013,43
11.2,2013,6
9.58,2013,4
11.49,2013,5
1.92,2013,14
1.81,2014,50
1.81,2014,49
0.97,2014,1
1.24,2014,52
1.13,2014,51
0.64,2014,41
4.68,2014,7
1.68,2014,3
1.19,2014,44
0.53,2014,40
1.4,2014,46
1.63,2014,5
1.7,2014,4
1.29,2014,45
1.7,2014,2
3.31,2014,8
1.45,2014,47
2.27,2014,12
1.03,2014,42
3.19,2014,9
1.52,2014,48
1.05,2014,43
1.95,2014,6
1.38,2014,13
3.7,2014,10
3.21,2014,11
0.92,2014,14
4.19,2015,12
0.12,2015,40
3.34,2015,13
0.33,2015,20
0.53,2015,18
0,2015,21
0.72,2015,1
0.93,2015,43
5.16,2015,11
0.56,2015,41
0.99,2015,46
0.86,2015,16
1.6,2015,45
0.62,2015,19
1.32,2015,47
1.46,2015,15
0.84,2015,44
1.48,2015,14
0.3,2015,42
0.6,2015,17
1.52,2016,14
0.75,2016,44
0.94,2016,52
1.17,2016,50
0.59,2016,47
0.19,2016,20
1.2,2016,51
4.96,2016,5
0.56,2016,17
0.35,2016,18
0.28,2016,19
0.61,2016,46
0.7,2016,16
1.62,2016,1
7.52,2016,8
5.83,2016,6
1.06,2016,15
0.54,2016,45
2.93,2016,4
1.85,2016,2
1.03,2016,49
1.4,2016,13
0.59,2016,48
7.54,2016,9
2.41,2016,12
5.59,2016,10
2.44,2016,3
5.27,2016,11
4.45,2016,7
3.5,2017,4
2.1,2017,1
3.16,2017,3
0.16,2017,15
0.21,2017,16
0.07,2017,20
1.25,2017,52
0.78,2017,12
2.2,2017,2
0.36,2017,48
4.01,2017,5
0.26,2017,17
0.54,2017,13
0.78,2017,49
0.88,2017,47
3.89,2017,6
0.16,2017,19
1.32,2017,50
0.24,2017,18
0.23,2017,14
2.9,2017,8
0.75,2017,51
0.8,2017,45
0.49,2017,44
0.78,2017,46
1.27,2017,10
4.61,2017,7
2.05,2017,9
0.95,2017,11
0.86,2018,14
0.67,2018,15
3.87,2018,12
1.05,2018,16
0.21,2018,18
0.17,2018,17
0.6,2018,46
2.61,2018,13
7.77,2018,8
0.79,2018,45
0.02,2018,20
0.22,2018,19
5.82,2018,10
0.03,2018,51
0.83,2018,47
7.06,2018,11
0.66,2018,44
5.44,2018,6
0.97,2018,50
5.16,2018,5
2.02,2018,4
1.66,2018,1
4.8,2018,9
0.07,2018,52
0.88,2018,48
2.12,2018,3
1.38,2018,2
1.36,2018,49
6.94,2018,7
4.52,2019,7
1.96,2019,10
1.55,2019,12
0.09,2019,18
0.46,2019,14
2.17,2019,3
0.84,2019,13
0.19,2019,16
0.12,2019,17
0.05,2019,20
0.71,2019,49
1.19,2019,1
1.1,2019,11
0.28,2019,15
2.96,2019,9
0.17,2019,19
0.43,2019,45
0.45,2019,46
0.62,2019,47
0.62,2019,48
0.6,2019,50
1.5,2019,2
0.19,2019,52
5.21,2019,5
5.4,2019,6
3.28,2019,4
0.31,2019,44
0.52,2019,51
3.89,2019,8
11.61,2020,15
2.38,2020,30
2.73,2020,29
10.08,2020,16
4.51,2020,24
17.08,2020,17
0.45,2020,53
1.41,2020,6
12.55,2020,18
2.38,2020,31
6.62,2020,20
7.08,2020,19
2.9,2020,28
1.46,2020,12
1.61,2020,5
21.11,2020,14
10.68,2020,13
3.21,2020,51
0.86,2020,2
2.07,2020,44
1.17,2020,4
2.09,2020,23
2.85,2020,50
2.61,2020,27
0.45,2020,1
1.42,2020,8
2.33,2020,45
0.87,2020,52
1.39,2020,49
1.13,2020,11
2.09,2020,10
0.99,2020,7
1.35,2020,47
2.35,2020,46
1.27,2020,48
0.82,2020,3
3.46,2020,26
5.85,2020,25
1.73,2020,9
6.13,2021,48
0.07,2021,36
4.9,2021,47
0.24,2021,37
0.02,2021,34
5.04,2021,46
3.11,2021,44
2.75,2021,43
0.27,2021,38
3.62,2021,45
0.1,2021,20
1.66,2021,40
1.74,2021,42
0.24,2021,14
2.08,2021,41
0.19,2021,12
0.24,2021,13
0.12,2021,19
0.41,2021,16
0.19,2021,18
0.2,2021,15
0.22,2021,17
0.7,2021,39
4.88,2022,43
1.56,2022,31
3,2022,35
1.3,2022,33
2.78,2022,34
3.34,2022,17
2.24,2022,36
4.17,2022,16
7.03,2022,44
3.44,2022,32
7.3,2022,48
1.64,2022,30
3.08,2022,24
2.44,2022,37
8.35,2022,12
2.98,2022,39
3.22,2022,26
2.34,2022,28
1.47,2022,29
2.95,2022,38
3.27,2022,25
3.13,2022,15
5.79,2022,14
3.86,2022,22
2.96,2022,23
4.24,2022,20
3.07,2022,27
5.18,2022,41
6.54,2022,13
3.05,2022,19
7.2,2022,47
6.64,2022,46
4.85,2022,42
2.41,2022,18
3.25,2022,21
4.12,2022,40
5.73,2022,45
1.28,2023,28
1.21,2023,32
3.08,2023,37
1.18,2023,31
1.75,2023,23
1.97,2023,34
1.21,2023,30
2.25,2023,14
2.56,2023,35
1.43,2023,26
2.44,2023,38
8.12,2023,48
5.6,2023,44
4.32,2023,17
3.18,2023,19
1.88,2023,33
2.94,2023,21
2.93,2023,36
2.32,2023,22
1.29,2023,29
4.56,2023,15
3.87,2023,16
1.77,2023,25
5.23,2023,43
2.76,2023,39
5.6,2023,45
3.45,2023,40
5.21,2023,13
2.64,2023,20
8.29,2023,47
2.71,2023,42
1.58,2023,24
7.78,2023,12
1.63,2023,27
3.48,2023,41
2.67,2023,18
5.67,2023,46
