"season","week","rate"
2009,16,1.87
2009,20,1.41
2009,21,2.27
2010,6,2.79
2010,8,3.33
2009,29,1.15
2010,7,3.37
2009,30,0.47
2009,28,0.74
2010,12,5.25
2009,33,0.32
2009,18,1.78
2009,15,1.77
2010,9,4.2
2009,32,0.99
2010,13,5.97
2009,17,1.6
2009,31,1.05
2009,27,0.78
2009,26,1.03
2009,19,1.28
2009,24,2.13
2010,10,4.45
2010,11,6.02
2009,22,2
2009,25,1.55
2009,23,2.27
2011,9,2.76
2011,11,2.82
2010,27,1.29
2010,29,0.39
2011,8,3.2
2011,7,2.75
2010,30,0.52
2010,32,0.52
2011,6,2.6
2010,33,0.29
2010,15,12.8
2010,28,1.02
2010,16,15.31
2010,26,1.62
2010,22,4.36
2010,31,0.45
2011,10,3.25
2010,14,12.13
2010,21,6.61
2011,13,1.97
2011,12,2.32
2010,23,3.72
2010,20,8.19
2010,19,13.43
2010,18,16.78
2010,17,16.91
2010,24,2.78
2010,25,3.18
2011,17,2.15
2011,33,0.29
2011,23,2.86
2011,29,0.84
2011,30,0.55
2011,24,2.13
2012,9,2.22
2011,22,2.52
2011,14,2.38
2011,27,0.48
2012,6,1.68
2011,28,0.8
2011,31,0.36
2012,11,3.34
2011,32,0.57
2011,26,1.73
2012,10,2.18
2012,7,1.29
2011,15,3.76
2011,20,2.31
2011,18,2.15
2012,8,1.2
2012,13,4.74
2011,25,2.34
2011,16,2.58
2011,19,2.11
2012,12,4.52
2011,21,2.7
2012,25,3.44
2013,8,1.26
2013,13,0.46
2012,33,0.12
2013,9,1.23
2012,22,5.54
2012,21,7.85
2012,30,0.78
2012,16,7.66
2012,31,0.52
2012,28,1.58
2013,7,1.05
2012,24,5.82
2012,23,6.98
2013,3,0.69
2013,1,0.59
2012,32,0.2
2012,29,1.02
2013,2,0.71
2013,10,1.26
2012,26,1.48
2013,11,1.71
2013,5,0.91
2012,14,10.47
2013,6,1.07
2012,20,9.39
2012,15,8.46
2013,4,1
2012,19,11.2
2012,17,9.58
2012,18,11.49
2012,27,1.92
2014,11,1.81
2014,10,1.81
2013,14,0.97
2014,13,1.24
2014,12,1.13
2014,2,0.64
2013,20,4.68
2013,16,1.68
2014,5,1.19
2014,1,0.53
2014,7,1.4
2013,18,1.63
2013,17,1.7
2014,6,1.29
2013,15,1.7
2013,21,3.31
2014,8,1.45
2013,25,2.27
2014,3,1.03
2013,22,3.19
2014,9,1.52
2014,4,1.05
2013,19,1.95
2013,26,1.38
2013,23,3.7
2013,24,3.21
2013,27,0.92
2014,25,4.19
2015,1,0.12
2014,26,3.34
2014,33,0.33
2014,31,0.53
2014,34,0
2014,14,0.72
2015,4,0.93
2014,24,5.16
2015,2,0.56
2015,7,0.99
2014,29,0.86
2015,6,1.6
2014,32,0.62
2015,8,1.32
2014,28,1.46
2015,5,0.84
2014,27,1.48
2015,3,0.3
2014,30,0.6
2015,27,1.52
2016,5,0.75
2016,13,0.94
2016,11,1.17
2016,8,0.59
2015,33,0.19
2016,12,1.2
2015,18,4.96
2015,30,0.56
2015,31,0.35
2015,32,0.28
2016,7,0.61
2015,29,0.7
2015,14,1.62
2015,21,7.52
2015,19,5.83
2015,28,1.06
2016,6,0.54
2015,17,2.93
2015,15,1.85
2016,10,1.03
2015,26,1.4
2016,9,0.59
2015,22,7.54
2015,25,2.41
2015,23,5.59
2015,16,2.44
2015,24,5.27
2015,20,4.45
2016,17,3.5
2016,14,2.1
2016,16,3.16
2016,28,0.16
2016,29,0.21
2016,33,0.07
2017,13,1.25
2016,25,0.78
2016,15,2.2
2017,9,0.36
2016,18,4.01
2016,30,0.26
2016,26,0.54
2017,10,0.78
2017,8,0.88
2016,19,3.89
2016,32,0.16
2017,11,1.32
2016,31,0.24
2016,27,0.23
2016,21,2.9
2017,12,0.75
2017,6,0.8
2017,5,0.49
2017,7,0.78
2016,23,1.27
2016,20,4.61
2016,22,2.05
2016,24,0.95
2017,27,0.86
2017,28,0.67
2017,25,3.87
2017,29,1.05
2017,31,0.21
2017,30,0.17
2018,7,0.6
2017,26,2.61
2017,21,7.77
2018,6,0.79
2017,33,0.02
2017,32,0.22
2017,23,5.82
2018,12,0.03
2018,8,0.83
2017,24,7.06
2018,5,0.66
2017,19,5.44
2018,11,0.97
2017,18,5.16
2017,17,2.02
2017,14,1.66
2017,22,4.8
2018,13,0.07
2018,9,0.88
2017,16,2.12
2017,15,1.38
2018,10,1.36
2017,20,6.94
2018,20,4.52
2018,23,1.96
2018,25,1.55
2018,31,0.09
2018,27,0.46
2018,16,2.17
2018,26,0.84
2018,29,0.19
2018,30,0.12
2018,33,0.05
2019,10,0.71
2018,14,1.19
2018,24,1.1
2018,28,0.28
2018,22,2.96
2018,32,0.17
2019,6,0.43
2019,7,0.45
2019,8,0.62
2019,9,0.62
2019,11,0.6
2018,15,1.5
2019,13,0.19
2018,18,5.21
2018,19,5.4
2018,17,3.28
2019,5,0.31
2019,12,0.52
2018,21,3.89
2019,28,11.61
2019,43,2.38
2019,42,2.73
2019,29,10.08
2019,37,4.51
