"rate","season","week"
0.52,2012,34
0.47,2012,33
0.45,2012,7
0.53,2012,27
0.53,2012,29
0.33,2012,51
0.34,2012,35
0.39,2012,28
0.39,2012,44
0.32,2012,40
0.3,2012,41
0.41,2012,42
0.36,2012,39
0.47,2012,21
0.52,2012,22
0.51,2012,23
0.45,2012,43
0.2,2012,37
0.22,2012,38
0.53,2012,15
0.2,2012,36
0.62,2012,17
0.62,2012,18
0.48,2012,19
0.54,2012,20
0.28,2012,48
0.24,2012,49
0.41,2012,50
0.57,2012,8
0.45,2012,30
0.6,2012,31
0.49,2012,32
0.58,2012,25
0.52,2012,16
0.49,2012,9
0.36,2012,45
0.45,2012,46
0.27,2012,47
0.37,2012,12
0.62,2012,13
0.54,2012,14
0.39,2012,10
0.24,2012,52
0.64,2012,4
0.67,2012,24
0.62,2012,6
0.5,2012,26
0.55,2012,3
0.59,2012,5
0.58,2012,11
0.38,2012,2
0.48,2013,18
0.5,2013,46
0.21,2013,35
0.26,2013,27
0.27,2013,34
0.47,2013,19
0.52,2013,47
0.34,2013,39
0.39,2013,9
0.35,2013,28
0.29,2013,29
0.67,2013,48
0.48,2013,33
0.42,2013,15
0.48,2013,16
0.54,2013,17
0.35,2013,8
0.38,2013,1
0.39,2013,10
0.45,2013,20
0.39,2013,3
0.37,2013,4
0.42,2013,14
0.48,2013,22
0.4,2013,36
0.55,2013,37
0.47,2013,38
0.28,2013,32
0.4,2013,26
0.43,2013,11
0.43,2013,12
0.53,2013,45
0.28,2013,2
0.37,2013,7
0.68,2013,51
0.39,2013,5
0.36,2013,6
0.19,2013,21
0.48,2013,40
0.46,2013,52
0.39,2013,25
0.65,2013,42
0.39,2013,44
0.5,2013,41
0.37,2013,13
0.26,2013,24
0.38,2013,43
0.3,2013,30
0.31,2013,31
0.65,2013,50
0.56,2013,49
0.46,2013,23
0.6,2014,5
0.17,2014,35
0.29,2014,36
0.28,2014,28
0.7,2014,6
0.22,2014,34
0.57,2014,4
0.73,2014,14
0.27,2014,29
0.19,2014,37
0.76,2014,3
0.49,2014,17
0.49,2014,15
0.2,2014,33
0.23,2014,31
0.29,2014,20
0.62,2014,21
0.23,2014,30
0.2,2014,2
0.36,2014,24
0.3,2014,38
0.32,2014,22
0.15,2014,23
0.58,2014,16
0.69,2014,8
0.45,2014,52
0.33,2014,25
0.28,2014,41
0.38,2014,42
0.23,2014,43
0.36,2014,40
0.31,2014,49
0.29,2014,50
0.65,2014,7
0.25,2014,44
0.2,2014,39
0.27,2014,26
0.67,2014,19
0.69,2014,51
0.62,2014,12
0.38,2014,18
0.66,2014,9
0.23,2014,27
0.21,2014,32
0.54,2014,13
0.34,2014,48
0.62,2014,10
0.42,2014,11
0.28,2014,47
0.5,2014,1
0.29,2014,45
0.41,2014,46
0.35,2015,35
0.29,2015,3
0.22,2015,47
0.16,2015,18
0.23,2015,17
0.52,2015,53
0.23,2015,51
0.19,2015,19
0.22,2015,20
0.16,2015,49
0.15,2015,41
0.19,2015,42
0.26,2015,43
0.26,2015,14
0.18,2015,50
0.22,2015,46
0.24,2015,13
0.28,2015,1
0.28,2015,2
0.21,2015,23
0.25,2015,24
0.17,2015,25
0.21,2015,26
0.16,2015,27
0.17,2015,28
0.17,2015,32
0.2,2015,33
0.19,2015,36
0.18,2015,21
0.13,2015,22
0.16,2015,40
0.23,2015,39
0.28,2015,10
0.22,2015,11
0.29,2015,12
0.26,2015,48
0.29,2015,6
0.21,2015,7
0.19,2015,15
0.27,2015,5
0.36,2015,9
0.22,2015,44
0.22,2015,45
0.13,2015,16
0.26,2015,31
0.2,2015,38
0.13,2015,34
0.39,2015,4
0.2,2015,37
0.23,2015,29
0.3,2015,8
0.14,2015,30
0.2,2016,4
0.2,2016,3
0.1,2016,45
0.15,2016,5
0.09,2016,2
0.16,2016,33
0.14,2016,46
0.12,2016,47
0.15,2016,48
0.11,2016,37
0.13,2016,39
0.12,2016,40
0.01,2016,32
0.18,2016,42
0.16,2016,8
0.13,2016,34
0.12,2016,41
0.17,2016,7
0.11,2016,31
0.2,2016,1
0.16,2016,20
0.18,2016,21
0.07,2016,22
0.13,2016,23
0.21,2016,6
0.02,2016,50
0.01,2016,51
0.01,2016,52
0.14,2016,27
0.14,2016,28
0.1,2016,35
0.08,2016,36
0.13,2016,44
0.23,2016,12
0.2,2016,17
0.22,2016,18
0.1,2016,19
0.13,2016,49
0.2,2016,9
0.23,2016,24
0.07,2016,26
0.16,2016,38
0.17,2016,15
0.18,2016,29
0.03,2016,30
0.13,2016,25
0.17,2016,43
0.19,2016,16
0.16,2016,13
0.1,2016,10
0.19,2016,11
0.16,2016,14
0.21,2017,34
0.03,2017,1
0.01,2017,37
0.14,2017,31
0.12,2017,45
0.02,2017,35
0.02,2017,41
0.02,2017,2
0.09,2017,33
0.01,2017,28
0.05,2017,29
0.06,2017,32
0.06,2017,11
0.01,2017,39
0.06,2017,40
0.01,2017,10
0,2017,18
0.04,2017,19
0,2017,3
0.02,2017,17
0.01,2017,26
0.08,2017,27
0.08,2017,50
0.05,2017,51
0.06,2017,52
0.19,2017,36
0.21,2017,44
0.01,2017,12
0.18,2017,46
0.04,2017,47
0.15,2017,48
0.06,2017,49
0.01,2017,4
0.02,2017,5
0.01,2017,6
0.05,2017,7
0.11,2017,8
0.06,2017,9
0.01,2017,30
0.1,2017,38
0.12,2017,43
0.01,2017,16
0.01,2017,20
0.07,2017,42
0.02,2017,14
0.07,2017,23
0.01,2017,24
0.08,2017,25
0.08,2017,21
0.01,2017,22
0.08,2017,15
0.04,2017,13
0.09,2018,32
0.09,2018,48
0,2018,49
0.05,2018,28
0.08,2018,47
0.15,2018,26
0.3,2018,36
0.29,2018,37
0.06,2018,46
0.04,2018,19
0.03,2018,20
0.03,2018,21
0.05,2018,22
0.05,2018,23
0.05,2018,1
0.04,2018,27
0.04,2018,3
0.07,2018,33
0.08,2018,34
0.3,2018,35
0.06,2018,44
0.06,2018,45
0,2018,52
0.3,2018,40
0.15,2018,41
0.16,2018,42
0.15,2018,43
0.05,2018,9
0.04,2018,2
0.05,2018,7
0.04,2018,8
0.29,2018,39
0.03,2018,29
0.2,2018,30
0.07,2018,31
0.05,2018,18
0.03,2018,15
0.04,2018,16
0.06,2018,17
0.05,2018,25
0.04,2018,4
0.05,2018,10
0.06,2018,24
0.03,2018,12
0.04,2018,14
0,2018,51
0.04,2018,11
0.04,2018,6
0,2018,50
0.03,2018,5
0.05,2018,13
0.28,2018,38
0.05,2019,46
0.05,2019,30
0.07,2019,33
0.11,2019,45
0.14,2019,44
0.21,2019,12
0.06,2019,34
0.1,2019,35
0.09,2019,40
0.03,2019,41
0.4,2019,14
0.14,2019,6
0.17,2019,2
0.22,2019,3
0.05,2019,32
0.29,2019,1
0.08,2019,39
0.41,2019,15
0.23,2019,4
0.15,2019,5
0.15,2019,43
0.04,2019,21
0.39,2019,16
0.13,2019,42
0.07,2019,26
0.08,2019,27
0.03,2019,28
0.02,2019,25
0.11,2019,38
0.12,2019,36
0.1,2019,37
0.01,2019,29
0.05,2019,17
0,2019,18
0.05,2019,20
0.07,2019,31
0.15,2019,7
0.17,2019,8
0.19,2019,9
0.21,2019,10
0.13,2019,11
0.35,2019,13
0.05,2019,19
0.05,2019,22
0.08,2019,23
0.08,2019,24
0.03,2022,13
0.1,2022,22
0.05,2022,14
0.1,2022,20
0.07,2022,12
0.07,2022,34
0.06,2022,35
0.08,2022,36
0.14,2022,40
0.08,2022,24
0.04,2022,18
0.03,2022,19
0,2022,2
0.03,2022,21
0.05,2022,6
0.12,2022,5
NA,2022,49
NA,2022,50
NA,2022,51
NA,2022,52
0.03,2022,11
0.18,2022,39
0,2022,3
0.07,2022,41
0.01,2022,1
0.28,2022,43
0.05,2022,8
0.04,2022,4
0.09,2022,46
0.06,2022,7
0.07,2022,26
0.03,2022,9
0.08,2022,10
0.05,2022,38
0.09,2022,29
0.16,2022,44
0.11,2022,45
0.09,2022,25
0.09,2022,42
0.07,2022,32
0.06,2022,33
0.05,2022,28
0.05,2022,27
0.08,2022,15
0.06,2022,16
0.06,2022,37
0.08,2022,23
0.13,2022,30
0.04,2022,17
NA,2022,48
NA,2022,47
0.08,2022,31
0.05,2023,7
0.02,2023,6
0.06,2023,4
0.02,2023,33
0.05,2023,29
0.07,2023,8
0.07,2023,3
0.1,2023,13
0.05,2023,34
0.06,2023,35
0.08,2023,2
0.05,2023,17
0.09,2023,14
0.09,2023,15
0.08,2023,1
0.04,2023,36
0.03,2023,5
0.1,2023,49
0.08,2023,16
0.04,2023,12
0.14,2023,44
0.1,2023,45
0.05,2023,50
0.13,2023,47
0.11,2023,48
0.07,2023,9
0.06,2023,46
0.04,2023,11
0.08,2023,51
0.04,2023,52
0.05,2023,10
0.07,2023,24
0.1,2023,43
0.08,2023,26
0.06,2023,27
0.07,2023,28
0.07,2023,30
0.05,2023,31
0.04,2023,32
0.05,2023,37
0.05,2023,38
0.02,2023,39
0.03,2023,40
0.06,2023,41
0.12,2023,42
0.09,2023,25
0.04,2023,18
0.09,2023,19
0.08,2023,20
0.03,2023,21
0.08,2023,22
0.07,2023,23
