"COUNTRY_CODE","ISO_YEAR","Temperature_variation","GDP_percapita","International_Departure","Air_passenger","Population","medium","N_medium","time_medium","rate_medium","high","N_high","time_high","rate_high","veryhigh","N_veryhigh","time_veryhigh","rate_veryhigh"
"Croatia",2012,0.17036743,28762.904,672.7672,1812519,4280827,0,0,52,9.93,0,0,52,14.18,0,0,52,83.12
"Croatia",2013,0.4596655,28248.32,629.2211,1872799,4259234,1,2,3,0.96,0,0,52,63.67,0,0,52,115.64
"Croatia",2014,0.09081072,28389.107,689.939,1716702,4242404,1,9,1,0.41,1,4,2,1.54,0,0,52,7.3
"Croatia",2015,0.88713425,28448.125,654.8193,1756070,4219485,1,7,1,0.53,1,7,1,1.08,0,0,52,1.58
"Croatia",2016,0.6026329,29458.7,616.1962,1782666,4183732,1,14,4,1.66,0,0,52,78.05,0,0,52,143.25
"Croatia",2017,0.2505591,30811.209,390.43256,1875433,4136438,1,4,4,44.85,1,3,4,66.7,0,0,52,95.64
"Croatia",2018,0.3496748,32337.545,471.4162,2057804,4079198,1,9,4,19.07,1,7,4,46,0,0,52,63.08
"Croatia",2019,0.8879196,33715.938,511.3211,2093577,4024868,1,7,4,22.24,1,4,4,98.64,0,0,52,147.16
"Croatia",2020,1.032894,35107.934,565.68207,2108591,3986338,1,8,4,23.28,1,5,6,147.39,0,0,52,177.2
"Croatia",2021,0.6706128,32479.234,124.68522,608458,3953957,0,0,52,23.28,1,5,6,147.39,0,0,52,177.2
"Croatia",2022,0.29536873,36914.113,162.81885,767762,3924607,0,0,52,84.18,0,0,52,195.76,0,0,52,217.89
"Croatia",2023,1.1156484,39844.137,345.78687,NA,3907031,1,3,9,21.55,0,0,52,88.77,0,0,52,148.07
"Croatia",2024,1.4871944,41116.87,NA,NA,3896024,0,0,52,21.55,0,0,52,88.77,0,0,52,148.07
"Czechia",2012,0.204647,41535.613,502.97708,4902816,10495508,1,6,11,21.31,1,5,11,22.51,0,0,52,33.65
"Czechia",2013,0.054587945,41157.88,515.7348,3594882,10507338,1,16,1,18.85,1,15,1,24.9,0,0,52,34.5
"Czechia",2014,-0.32383025,41127.027,549.98663,5186676,10511164,0,0,52,35.48,0,0,52,64.28,0,0,52,86.76
"Czechia",2015,1.1923629,42006.17,537.3092,5009995,10517222,1,4,6,87.3,1,3,6,101.8,0,0,52,101.8
"Czechia",2016,1.114174,44002.566,556.4203,3378028,10524419,1,9,3,14.9,1,8,3,15.88,0,0,52,21.76
"Czechia",2017,0.38732612,45051.61,572.25885,4048658,10531947,1,3,1,35.64,1,2,2,69.29,0,0,52,103.55
"Czechia",2018,0.2635454,47256.684,642.70746,5450671,10541343,1,6,3,16.14,1,3,10,43.49,0,0,52,63.68
"Czechia",2019,1.3184013,48431.953,700.5447,8851291,10548935,1,7,2,9.79,0,0,52,84.76,0,0,52,100.04
"Czechia",2020,1.2861173,49961.797,695.982,5446163,10554871,1,5,2,8.82,0,0,52,86.97,0,0,52,118.53
"Czechia",2021,0.88734484,47196.45,227.39056,929888.2,10550130,0,0,52,11.36,0,0,52,30.6,0,0,52,32.31
"Czechia",2022,-0.217492,49995.703,110.24926,1418032,10530683,1,7,16,7.73,1,3,50,17.83,0,0,52,27.02
"Czechia",2023,0.9938993,50617.7,492.26025,NA,10673216,1,22,1,7.73,1,3,50,17.83,0,0,52,27.02
"Czechia",2024,1.4386808,49681.06,NA,NA,10809722,1,7,16,7.73,1,3,50,17.83,0,0,52,27.02
"Finland",2014,0.77974635,53677.812,1574.1697,10467321,5439058,1,11,3,1.03,1,11,3,1.35,0,0,52,1.88
"Finland",2015,0.96305823,53200.723,1598.5906,10992792,5461686,1,11,3,1.03,1,11,3,1.35,0,0,52,1.88
"Finland",2016,1.226262,53273.14,1624.9011,13035848,5479718,1,20,1,1.7,1,19,1,2.32,0,0,52,3.42
"Finland",2017,0.5036641,54486.46,1660.4589,13754228,5495469,1,14,1,1.19,1,6,1,3.56,0,0,52,11.03
"Finland",2018,-0.06948901,56154.418,1693.7771,12209646,5508399,1,11,3,8.23,1,5,6,16.22,0,0,52,18.11
"Finland",2019,0.6497147,56749.004,1713.2812,13364839,5515732,1,17,1,1.22,1,3,6,9.97,0,0,52,11.17
"Finland",2020,0.1909024,57451.63,1704.1683,14610547,5521755,0,0,52,10.3,0,0,52,11.61,0,0,52,11.99
"Finland",2021,1.7949756,55940.074,421.36734,3500299,5529617,0,0,52,6.5,0,0,52,7.67,0,0,52,8
"Finland",2022,-0.18699332,57350.87,326.65182,2805555,5541068,1,22,3,0.63,1,19,14,0.92,0,0,52,1.74
"Finland",2023,0.7206812,58024.477,1109.6549,NA,5569299,1,35,1,0.51,1,28,1,0.91,0,0,52,0.92
"Finland",2024,0.2502245,57063.523,NA,NA,5601185,1,35,1,0.51,1,28,1,0.91,0,0,52,0.92
"France",2016,0.55036587,52018.332,410.4976,65039504,64916336,1,23,1,31.5,1,20,1,51.12,0,0,52,116.3
"France",2017,0.16160758,52327.45,406.8871,65362744,65086852,1,7,1,213.05,1,6,1,298.72,0,0,52,384.44
"France",2018,0.32726297,53262.957,445.05017,68316470,65284775,1,2,1,287.13,1,1,1,312.59,0,0,52,365.74
"France",2019,0.77834684,53945.88,465.64737,70188030,65519539,1,8,2,94.09,1,4,4,271.57,0,0,52,306.98
"France",2020,0.6368962,54856.867,462.6084,71289280,65729460,1,3,7,204.63,0,0,52,421.55,0,0,52,487.24
"France",2021,1.060434,50610.633,181.1236,24956344,65905273,1,1,52,65.54,0,0,52,143.83,0,0,52,174.78
"France",2022,-0.085178696,53901.11,207.02582,32000528,66083547,1,27,1,55.48,1,16,3,92.16,0,0,52,222.01
"France",2023,1.3163683,55106.332,423.7492,NA,66277412,1,27,1,73.93,1,7,1,153.72,0,0,52,199.64
