"rate","season","week","medium","rate_medium","high","rate_high","very_high","rate_very_high"
0.59,2013,13,0,0,0,0,0,0
0.04,2013,20,0,0,0,0,0,0
1.58,2013,8,0,0,0,0,0,0
0.07,2013,38,0,0,0,0,0,0
0.37,2013,16,0,0,0,0,0,0
0.11,2013,21,0,0,0,0,0,0
0.06,2013,39,0,0,0,0,0,0
1.2,2013,12,0,0,0,0,0,0
1.18,2013,5,0,0,0,0,0,0
0.07,2013,37,0,0,0,0,0,0
2.41,2013,7,0,0,0,0,0,0
1.03,2013,6,0,0,0,0,0,0
0.09,2013,35,0,0,0,0,0,0
0.09,2013,19,0,0,0,0,0,0
1.89,2013,9,0,0,0,0,0,0
0.37,2013,15,0,0,0,0,0,0
0.04,2013,18,0,0,0,0,0,0
1.88,2013,10,0,0,0,0,0,0
0.13,2013,36,0,0,0,0,0,0
0.11,2013,34,0,0,0,0,0,0
0.17,2013,45,0,0,0,0,0,0
0.07,2013,33,0,0,0,0,0,0
0.59,2013,4,0,0,0,0,0,0
0.39,2013,14,0,0,0,0,0,0
1.36,2013,11,0,0,0,0,0,0
0.37,2013,17,0,0,0,0,0,0
0.04,2013,22,0,0,0,0,0,0
0.07,2013,31,0,0,0,0,0,0
0.04,2013,41,0,0,0,0,0,0
0,2013,25,0,0,0,0,0,0
0.11,2013,43,0,0,0,0,0,0
0.13,2013,40,0,0,0,0,0,0
0,2013,32,0,0,0,0,0,0
0.04,2013,23,0,0,0,0,0,0
0.02,2013,42,0,0,0,0,0,0
0,2013,30,0,0,0,0,0,0
0.09,2013,46,0,0,0,0,0,0
0.09,2013,44,0,0,0,0,0,0
0.06,2013,24,0,0,0,0,0,0
6.85,2014,10,0,0,0,0,0,0
0.15,2014,30,0,0,0,0,0,0
0.55,2014,38,0,0,0,0,0,0
0,2014,31,0,0,0,0,0,0
0.27,2014,46,0,0,0,0,0,0
0.13,2014,36,0,0,0,0,0,0
0,2014,33,0,0,0,0,0,0
0.09,2014,21,0,0,0,0,0,0
0,2014,29,0,0,0,0,0,0
0.6,2014,5,0,0,0,0,0,0
0.27,2014,15,0,0,0,0,0,0
0.04,2014,32,0,0,0,0,0,0
0.37,2014,41,0,0,0,0,0,0
0.27,2014,45,0,0,0,0,0,0
0.37,2014,42,0,0,0,0,0,0
3.3,2014,12,0,0,0,0,0,0
0.31,2014,4,0,0,0,0,0,0
0.55,2014,37,0,0,0,0,0,0
5.09,2014,11,0,0,0,0,0,0
0.09,2014,22,0,0,0,0,0,0
0.4,2014,14,0,0,0,0,0,0
0.22,2014,39,0,0,0,0,0,0
0.27,2014,44,0,0,0,0,0,0
0,2014,34,0,0,0,0,0,0
0.2,2014,43,0,0,0,0,0,0
2.25,2014,8,0,0,0,0,0,0
2.62,2014,13,0,0,0,0,0,0
0.18,2014,20,0,0,0,0,0,0
0.2,2014,19,0,0,0,0,0,0
0.24,2014,17,0,0,0,0,0,0
0.27,2014,16,0,0,0,0,0,0
0.37,2014,40,0,0,0,0,0,0
1.46,2014,9,0,0,0,0,0,0
1.14,2014,6,0,0,0,0,0,0
1.41,2014,7,0,0,0,0,0,0
1.75,2015,5,1,1.03,1,1.35,0,1.88
1.64,2015,51,1,1.03,1,1.35,0,1.88
0.27,2015,50,0,1.03,0,1.35,0,1.88
0,2015,27,0,1.03,0,1.35,0,1.88
1.7,2015,6,1,1.03,1,1.35,0,1.88
0.07,2015,43,0,1.03,0,1.35,0,1.88
