"season","week","rate"
2012,26,0.59
2012,33,0.04
2012,21,1.58
2012,51,0.07
2012,29,0.37
2012,34,0.11
2012,52,0.06
2012,25,1.2
2012,18,1.18
2012,50,0.07
2012,20,2.41
2012,19,1.03
2012,48,0.09
2012,32,0.09
2012,22,1.89
2012,28,0.37
2012,31,0.04
2012,23,1.88
2012,49,0.13
2012,47,0.11
2013,6,0.17
2012,46,0.07
2012,17,0.59
2012,27,0.39
2012,24,1.36
2012,30,0.37
2012,35,0.04
2012,44,0.07
2013,2,0.04
2012,38,0
2013,4,0.11
2013,1,0.13
2012,45,0
2012,36,0.04
2013,3,0.02
2012,43,0
2013,7,0.09
2013,5,0.09
2012,37,0.06
2013,23,6.85
2013,43,0.15
2013,51,0.55
2013,44,0
2014,7,0.27
2013,49,0.13
2013,46,0
2013,34,0.09
2013,42,0
2013,18,0.6
2013,28,0.27
2013,45,0.04
2014,2,0.37
2014,6,0.27
2014,3,0.37
2013,25,3.3
2013,17,0.31
2013,50,0.55
2013,24,5.09
2013,35,0.09
2013,27,0.4
2013,52,0.22
2014,5,0.27
2013,47,0
2014,4,0.2
2013,21,2.25
2013,26,2.62
2013,33,0.18
2013,32,0.2
2013,30,0.24
2013,29,0.27
2014,1,0.37
2013,22,1.46
2013,19,1.14
2013,20,1.41
2014,18,1.75
2014,40,0
2014,19,1.7
2014,22,2.1
2014,30,0.07
2014,16,1.37
2014,39,0
2014,35,0
2014,26,0.95
2014,20,1.72
2014,33,0
2014,41,0
2014,42,0
2014,23,1.48
2014,38,0
2014,32,0
2014,29,0.07
2014,27,0.73
2014,31,0.2
2014,21,2.26
2014,28,0.57
2014,24,0.97
2014,25,0.93
2014,17,1.37
2014,15,0.8
2016,5,0.45
2016,11,8.26
2016,10,4.26
2016,13,17.92
2016,6,0.75
2016,8,2.22
2016,4,0.27
2016,3,0.02
2016,9,2.71
2016,7,0.87
2016,2,0.2
2016,12,17.05
2016,1,0.16
2016,27,1
2016,26,0.82
2016,40,0.04
2016,24,0.76
2016,36,0.24
2016,41,0.22
2016,22,1.38
2016,47,0.07
2016,48,0.11
2017,12,2.52
2016,25,0.93
2016,23,1.23
2017,7,0.69
2016,20,2.6
2017,11,1.27
2016,49,0.16
2016,39,0.05
2016,15,9.95
2016,19,2.98
2017,10,1.33
2016,51,0.09
2016,42,0.13
2017,4,0.47
2016,16,8.15
2017,9,0.96
2017,13,3.98
2016,52,0.09
2016,14,13.92
2016,38,0.04
2017,6,0.47
2016,21,2.51
2016,50,0.09
2016,45,0.02
2017,8,0.69
2017,5,0.36
2016,44,0.02
2017,3,0.22
2016,37,0.04
2016,46,0.05
2016,18,4.36
2016,17,9.49
2016,43,0.13
2016,34,0.11
2017,2,0.25
2016,35,0.05
2017,1,0.24
2018,10,0.56
2018,7,0.51
2018,8,0.63
2017,50,0.07
2018,11,0.83
2017,51,0.15
2017,14,5.67
2017,21,21.7
2018,9,0.62
2017,15,6.4
2017,46,0.02
2018,4,0.15
2017,49,0.09
2018,5,0.36
2018,13,0.09
2017,19,18.82
2017,38,0.04
2017,48,0.07
2017,22,20.58
2017,20,11.57
2017,44,0.11
2017,39,0.04
2017,37,0.07
2017,35,0.2
2017,27,7.43
2017,52,0.11
2017,45,0.05
2017,26,10.61
2018,6,0.44
2018,12,1.52
2017,25,11.11
2017,18,12.02
2017,23,20.14
2017,43,0
2017,47,0.05
2017,24,18.26
2018,3,0.15
2018,2,0.27
2017,40,0.07
2017,17,9.48
2017,16,9.48
2017,34,0
2017,42,0.02
2017,36,0.09
2018,1,0.18
2017,41,0.11
2018,39,0.04
2019,10,1.25
2018,41,0.11
2018,38,0.07
2018,18,6.95
2018,37,0.14
2019,1,0
2018,48,0.02
2018,16,3.73
2018,51,0.14
2018,42,0.07
2018,43,0.05
2018,19,10.27
2018,34,0.4
2018,27,3.75
2019,9,1.18
2018,26,4.71
2019,3,0.13
2018,50,0.18
2019,11,2.28
2018,47,0.05
2018,21,4.62
2018,22,11.9
2019,6,0.43
2018,20,10.85
2018,36,0.25
2019,2,0.11
2019,13,2.23
2018,49,0.02
2018,40,0.09
2019,12,2.77
2018,52,0.05
2018,44,0.02
2018,45,0.07
2018,35,0.29
2018,25,5.94
2018,24,7.62
2018,23,9.62
2019,8,0.85
2019,7,0.47
2019,5,0.16
2018,14,2.95
2018,46,0.07
2019,4,0.11
2018,15,2.72
2019,19,6.02
2019,18,3.51
2019,24,4.47
2019,27,0.8
2019,23,6.24
2019,22,8.92
2019,17,3.44
2019,34,0.04
2019,26,1.19
2019,35,0
2019,20,7.92
2019,14,3
2019,25,3
2019,15,2.37
2019,16,3.44
2021,11,0.92
2021,2,0.27
2021,4,0.4
2021,12,0.9
2021,6,0.43
2021,9,0.36
