WHOREGION;FLUSEASON;HEMISPHERE;ITZ;COUNTRY_CODE;COUNTRY_AREA_TERRITORY;ISO_WEEKSTARTDATE;ISO_YEAR;ISO_WEEK;MMWR_WEEKSTARTDATE;MMWR_YEAR;MMWR_WEEK;ORIGIN_SOURCE;AGEGROUP_CODE;CASE_INFO;REPORTED_CASES
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;02/07/2012;2012;27;01/07/2012;2012;27;NOTDEFINED;All;ILI;30379
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;09/07/2012;2012;28;08/07/2012;2012;28;NOTDEFINED;All;ILI;30934
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;16/07/2012;2012;29;15/07/2012;2012;29;NOTDEFINED;All;ILI;30965
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;23/07/2012;2012;30;22/07/2012;2012;30;NOTDEFINED;All;ILI;30736
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;30/07/2012;2012;31;29/07/2012;2012;31;NOTDEFINED;All;ILI;30109
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;06/08/2012;2012;32;05/08/2012;2012;32;NOTDEFINED;All;ILI;30513
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;01/07/2013;2013;27;30/06/2013;2013;27;NOTDEFINED;All;ILI;50944
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;08/07/2013;2013;28;07/07/2013;2013;28;NOTDEFINED;All;ILI;44427
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;15/07/2013;2013;29;14/07/2013;2013;29;NOTDEFINED;All;ILI;40799
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;22/07/2013;2013;30;21/07/2013;2013;30;NOTDEFINED;All;ILI;38715
AMR;SH;SH;FLU_TEMP_SAMR;ARG;Argentina;29/07/2013;2013;31;28/07/2013;2013;31;NOTDEFINED;All;ILI;36461
