"rate","season","week"
51.84,2014,49
11.93,2014,37
16.34,2014,38
23.96,2014,44
43.52,2014,48
34.76,2014,41
28.07,2014,47
13.27,2014,39
65.2,2014,50
33.47,2014,42
24.75,2014,43
25.55,2014,40
25,2014,45
22.82,2014,46
34.21,2015,15
152.96,2015,11
107.87,2015,12
23.04,2015,47
76.35,2015,13
237.12,2015,3
38.26,2015,53
44.8,2015,51
631.54,2015,8
160.35,2015,2
48.72,2015,14
19.41,2015,46
38.58,2015,50
30.03,2015,52
450.06,2015,4
25.31,2015,48
368.09,2015,9
797.56,2015,7
20.91,2015,45
28.77,2015,42
821.55,2015,6
25.8,2015,43
221.71,2015,10
22.48,2015,44
33.09,2015,49
705.38,2015,5
34.22,2016,47
418.17,2016,12
24.52,2016,45
23.27,2016,44
19.8,2016,17
31.98,2016,46
64.93,2016,1
21.37,2016,41
74.43,2016,15
117.37,2016,49
318.59,2016,7
6.25,2016,37
142.28,2016,14
19.85,2016,42
262.19,2016,13
467.9,2016,11
288.39,2016,51
38.53,2016,16
20.56,2016,40
344.91,2016,52
62.23,2016,48
16.28,2016,39
9.17,2016,38
402.27,2016,10
301.36,2016,6
194.46,2016,50
68.55,2016,2
299.7,2016,8
14.41,2016,43
353.29,2016,9
228.12,2016,4
274.96,2016,5
115.66,2016,3
91.28,2017,7
409.4,2017,3
11.63,2017,13
392.78,2017,4
15.27,2017,42
14.88,2017,37
399.16,2017,2
11.18,2017,43
57.54,2017,48
19.49,2017,40
13.09,2017,44
17.56,2017,38
22.9,2017,39
38.25,2017,47
391.42,2017,1
19.05,2017,41
21.5,2017,45
20.08,2017,9
97.71,2017,49
20.52,2017,46
45.26,2017,8
0.48,2017,15
143.41,2017,6
18.08,2017,10
458.17,2017,52
1.74,2017,14
351.46,2017,51
11.97,2017,11
13.45,2017,12
198.42,2017,50
296.66,2017,5
24.34,2018,47
30.13,2018,49
12.28,2018,41
59.92,2018,51
17.21,2018,46
267.83,2018,4
211.86,2018,6
29.76,2018,48
57.85,2018,52
11.31,2018,40
142.72,2018,10
215.41,2018,7
42.4,2018,50
240.9,2018,5
11.22,2018,38
34.59,2018,14
10.95,2018,39
10,2018,43
165.67,2018,9
11.89,2018,42
16.89,2018,45
8.57,2018,16
10.05,2018,44
201.27,2018,8
359.42,2018,1
99.45,2018,11
7.5,2018,37
79.48,2018,12
49.9,2018,13
272.18,2018,3
25.09,2018,15
302.32,2018,2
34.03,2019,48
4.83,2019,37
12.94,2019,40
10.84,2019,41
48,2019,11
114.94,2019,2
223.74,2019,3
76.52,2019,1
33.8,2019,12
39.04,2019,49
366.79,2019,4
24.39,2019,46
134.42,2019,9
75.68,2019,10
10.79,2019,39
28.4,2019,47
262.6,2019,8
7.45,2019,38
25.4,2019,13
15.42,2019,45
599.86,2019,6
11.9,2019,44
467.58,2019,7
14.43,2019,43
541.29,2019,5
11.79,2019,42
21.78,2019,14
4.15,2020,32
4.68,2020,31
45.54,2020,42
17.05,2020,47
16.99,2020,48
278.6,2020,7
218.12,2020,8
50.01,2020,45
52.46,2020,44
56.13,2020,43
5.06,2020,33
15.2,2020,49
160.32,2020,10
28.71,2020,46
37.01,2020,41
30.78,2020,38
19.79,2020,37
6.9,2020,34
206.91,2020,11
23.44,2020,39
9.69,2020,36
25.77,2020,40
167.96,2020,9
11.5,2020,35
19.08,2021,35
37.9,2021,41
23.51,2021,7
42.89,2021,42
25.37,2021,6
39.78,2021,40
19.79,2021,34
82.24,2021,52
34.05,2021,12
27.42,2021,13
24.31,2021,3
63.32,2021,48
55.38,2021,47
33.53,2021,39
28.73,2021,11
17.91,2021,9
60.78,2021,49
45.49,2021,46
19.8,2021,2
30.82,2021,45
22.51,2021,10
63.1,2021,51
28.75,2021,44
27.59,2021,4
23.59,2021,32
24.12,2021,1
22.38,2021,8
20.69,2021,37
15.57,2021,36
23.8,2021,5
40.92,2021,43
15.73,2021,33
21.28,2021,15
28.53,2021,31
57.68,2021,50
20.52,2021,14
23.63,2021,38
183.61,2022,48
14.01,2022,35
234.43,2022,52
52.38,2022,44
11.31,2022,34
18.44,2022,32
132.63,2022,10
145.47,2022,47
20,2022,31
66.68,2022,16
70.35,2022,6
42.16,2022,17
21.3,2022,36
32.28,2022,37
43.43,2022,38
75.72,2022,9
11.45,2022,33
73.3,2022,41
374.67,2022,51
152.1,2022,15
185.36,2022,11
68.36,2022,45
234.53,2022,14
353.28,2022,50
250.8,2022,12
71.61,2022,42
63.26,2022,40
102.2,2022,46
46.72,2022,8
67.55,2022,43
95.01,2022,5
108.95,2022,4
84.37,2022,2
60.2,2022,39
52.63,2022,7
112.58,2022,3
86.95,2022,1
289.56,2022,13
246.52,2022,49
135.24,2023,7
146.55,2023,6
56.35,2023,15
57.57,2023,36
143.69,2023,5
222.72,2023,50
72.34,2023,14
42.14,2023,16
112.74,2023,4
109.5,2023,12
23.01,2023,31
87.84,2023,41
85.56,2023,42
73.88,2023,37
46.62,2023,17
104.71,2023,3
47.71,2023,35
40.13,2023,34
222.09,2023,49
28.81,2023,33
117.79,2023,2
22.04,2023,32
75.18,2023,44
97.62,2023,13
183.29,2023,1
166.99,2023,47
223.9,2023,51
173.76,2023,52
186.94,2023,48
108.37,2023,39
112.34,2023,11
103.7,2023,40
126.27,2023,46
67.7,2023,43
108.37,2023,45
114.98,2023,8
93.41,2023,9
114.94,2023,10
95.15,2023,38
