"season","week","rate"
2014,10,51.84
2013,50,11.93
2013,51,16.34
2014,5,23.96
2014,9,43.52
2014,2,34.76
2014,8,28.07
2013,52,13.27
2014,11,65.2
2014,3,33.47
2014,4,24.75
2014,1,25.55
2014,6,25
2014,7,22.82
2014,28,34.21
2014,24,152.96
2014,25,107.87
2014,26,76.35
2014,16,237.12
2014,21,631.54
2014,15,160.35
2014,27,48.72
2014,17,450.06
2014,22,368.09
2014,20,797.56
2014,19,821.55
2014,23,221.71
2014,18,705.38
2016,8,34.22
2016,6,24.52
2016,5,23.27
2016,7,31.98
2016,2,21.37
2016,10,117.37
2016,3,19.85
2016,12,288.39
2016,1,20.56
2016,13,344.91
2016,9,62.23
2016,11,194.46
2016,4,14.41
2016,20,91.28
2016,16,409.4
2016,26,11.63
2016,17,392.78
2017,3,15.27
2016,50,14.88
2016,15,399.16
2017,4,11.18
2017,9,57.54
2017,1,19.49
2017,5,13.09
2016,51,17.56
2016,52,22.9
2017,8,38.25
2016,14,391.42
2017,2,19.05
2017,6,21.5
2016,22,20.08
2017,10,97.71
2017,7,20.52
2016,21,45.26
2016,28,0.48
2016,19,143.41
2016,23,18.08
2017,13,458.17
2016,27,1.74
2017,12,351.46
2016,24,11.97
2016,25,13.45
2017,11,198.42
2016,18,296.66
2018,8,24.34
2018,10,30.13
2018,2,12.28
2018,12,59.92
2018,7,17.21
2017,17,267.83
2017,19,211.86
2018,9,29.76
2018,13,57.85
2018,1,11.31
2017,23,142.72
2017,20,215.41
2018,11,42.4
2017,18,240.9
2017,51,11.22
2017,27,34.59
2017,52,10.95
2018,4,10
2017,22,165.67
2018,3,11.89
2018,6,16.89
2017,29,8.57
2018,5,10.05
2017,21,201.27
2017,14,359.42
2017,24,99.45
2017,50,7.5
2017,25,79.48
2017,26,49.9
2017,16,272.18
2017,28,25.09
2017,15,302.32
2019,9,34.03
2018,50,4.83
2019,1,12.94
2019,2,10.84
2018,24,48
2018,15,114.94
2018,16,223.74
2018,14,76.52
2018,25,33.8
2019,10,39.04
2018,17,366.79
2019,7,24.39
2018,22,134.42
2018,23,75.68
2018,52,10.79
2019,8,28.4
2018,21,262.6
2018,51,7.45
2018,26,25.4
2019,6,15.42
2018,19,599.86
2019,5,11.9
2018,20,467.58
2019,4,14.43
2018,18,541.29
2019,3,11.79
2018,27,21.78
2019,45,4.15
2019,44,4.68
2020,3,45.54
2020,8,17.05
2020,9,16.99
2019,20,278.6
2019,21,218.12
2020,6,50.01
2020,5,52.46
2020,4,56.13
2019,46,5.06
2020,10,15.2
2019,23,160.32
2020,7,28.71
2020,2,37.01
2019,51,30.78
2019,50,19.79
2019,47,6.9
2019,24,206.91
2019,52,23.44
2019,49,9.69
2020,1,25.77
2019,22,167.96
2019,48,11.5
2020,48,19.08
2021,2,37.9
2020,20,23.51
2021,3,42.89
2020,19,25.37
2021,1,39.78
2020,47,19.79
2021,13,82.24
2020,25,34.05
2020,26,27.42
2020,16,24.31
2021,9,63.32
2021,8,55.38
2020,52,33.53
2020,24,28.73
2020,22,17.91
2021,10,60.78
2021,7,45.49
2020,15,19.8
2021,6,30.82
2020,23,22.51
2021,12,63.1
2021,5,28.75
2020,17,27.59
2020,45,23.59
2020,14,24.12
2020,21,22.38
2020,50,20.69
2020,49,15.57
2020,18,23.8
2021,4,40.92
2020,46,15.73
2020,28,21.28
2020,44,28.53
2021,11,57.68
2020,27,20.52
2020,51,23.63
2022,9,183.61
2021,48,14.01
2022,13,234.43
2022,5,52.38
2021,47,11.31
2021,45,18.44
2021,23,132.63
2022,8,145.47
2021,44,20
2021,29,66.68
2021,19,70.35
2021,30,42.16
2021,49,21.3
2021,50,32.28
2021,51,43.43
2021,22,75.72
2021,46,11.45
2022,2,73.3
2022,12,374.67
2021,28,152.1
2021,24,185.36
2022,6,68.36
2021,27,234.53
2022,11,353.28
2021,25,250.8
2022,3,71.61
2022,1,63.26
2022,7,102.2
2021,21,46.72
2022,4,67.55
2021,18,95.01
2021,17,108.95
2021,15,84.37
2021,52,60.2
2021,20,52.63
2021,16,112.58
2021,14,86.95
2021,26,289.56
2022,10,246.52
2022,20,135.24
2022,19,146.55
2022,28,56.35
2022,49,57.57
2022,18,143.69
2023,11,222.72
2022,27,72.34
2022,29,42.14
2022,17,112.74
2022,25,109.5
2022,44,23.01
2023,2,87.84
2023,3,85.56
2022,50,73.88
2022,30,46.62
2022,16,104.71
2022,48,47.71
2022,47,40.13
2023,10,222.09
2022,46,28.81
2022,15,117.79
2022,45,22.04
2023,5,75.18
2022,26,97.62
2022,14,183.29
2023,8,166.99
2023,12,223.9
2023,13,173.76
2023,9,186.94
2022,52,108.37
2022,24,112.34
2023,1,103.7
2023,7,126.27
2023,4,67.7
2023,6,108.37
2022,21,114.98
2022,22,93.41
2022,23,114.94
2022,51,95.15
