"rate","season","week"
NA,2017,34
NA,2017,35
NA,2017,36
NA,2017,37
NA,2017,38
NA,2017,39
0.96,2017,12
0.88,2017,13
0.91,2017,14
0.81,2017,15
NA,2017,47
NA,2017,48
NA,2017,49
NA,2017,22
NA,2017,28
NA,2017,29
NA,2017,30
NA,2017,31
NA,2017,32
NA,2017,33
0.39,2017,1
0.96,2017,2
NA,2017,46
NA,2017,23
0.89,2017,3
0.75,2017,4
0.86,2017,16
NA,2017,27
NA,2017,24
NA,2017,25
NA,2017,26
NA,2017,42
0.96,2017,11
NA,2017,45
NA,2017,41
0.71,2017,19
NA,2017,50
NA,2017,40
NA,2017,44
0.81,2017,17
0.93,2017,10
NA,2017,43
NA,2017,51
0.31,2017,20
1.01,2017,5
NA,2017,52
0.69,2017,18
0.3,2017,21
1.08,2017,9
1.12,2017,8
0.96,2017,7
0.93,2017,6
0.39,2018,38
2.1,2018,25
1.16,2018,12
1.49,2018,26
0.44,2018,35
0.43,2018,36
4.6,2018,24
1.06,2018,10
0.89,2018,45
0.68,2018,39
1.04,2018,11
1.02,2018,23
1.57,2018,28
0.28,2018,37
1.52,2018,27
1.14,2018,9
0.54,2018,52
0.97,2018,29
0.92,2018,30
0.87,2018,22
0.91,2018,48
1.02,2018,44
0.78,2018,50
0.68,2018,51
0.91,2018,21
0.75,2018,49
0.74,2018,32
1.43,2018,1
1.04,2018,13
0.97,2018,43
0.53,2018,34
1.05,2018,40
0.78,2018,47
1.06,2018,16
1.5,2018,31
1.06,2018,15
0.84,2018,41
0.81,2018,42
1.08,2018,14
0.45,2018,17
1.07,2018,18
0.65,2018,33
0.89,2018,46
1.18,2018,8
1.37,2018,3
1.4,2018,2
0.97,2018,20
1.4,2018,6
1.12,2018,7
0.55,2018,19
1.39,2018,5
1.39,2018,4
0.74,2019,35
0.63,2019,47
0.85,2019,24
0.99,2019,23
0.53,2019,39
0.83,2019,34
1.09,2019,48
1.15,2019,25
0.71,2019,46
0.71,2019,27
0.8,2019,10
0.79,2019,11
1.32,2019,26
1.22,2019,2
0.56,2019,16
0.75,2019,40
0.62,2019,36
0.57,2019,37
1.63,2019,38
0.84,2019,9
1.16,2019,45
1.15,2019,32
0.84,2019,12
0.8,2019,13
0.74,2019,14
1,2019,22
0.47,2019,1
0.29,2019,15
0.68,2019,17
0.62,2019,18
0.69,2019,49
0.72,2019,50
0.5,2019,51
0.45,2019,52
0.86,2019,8
13.35,2019,33
1.14,2019,42
0.9,2019,3
0.88,2019,4
0.87,2019,41
0.81,2019,5
1.39,2019,43
1.09,2019,44
0.81,2019,21
1.06,2019,31
0.83,2019,19
1.06,2019,20
1.18,2019,30
0.92,2019,6
1.25,2019,28
1.19,2019,29
0.91,2019,7
0.03,2020,23
0.33,2020,22
0.63,2020,2
0.2,2020,16
0.22,2020,18
0.08,2020,19
0.24,2020,20
0.21,2020,17
1,2020,8
0.44,2020,11
0.4,2020,12
0.33,2020,13
0.18,2020,14
0.28,2020,21
0.48,2020,1
0.31,2020,15
0.52,2020,3
0.56,2020,4
0.71,2020,5
0.73,2020,6
0.76,2020,7
0.56,2020,9
0.45,2020,10
0.9,2021,24
0.55,2021,21
0.83,2021,23
0.37,2021,34
1.08,2021,25
0.57,2021,22
0.27,2021,36
0.25,2021,37
0.54,2021,1
0.12,2021,35
0.61,2021,26
0.6,2021,17
0.34,2021,38
0.34,2021,44
0.6,2021,27
0.25,2021,45
0.18,2021,33
0.37,2021,39
0.23,2021,48
0.22,2021,49
0.28,2021,46
0.24,2021,47
0.31,2021,52
0.42,2021,10
0.31,2021,50
0.52,2021,51
0.26,2021,42
0.03,2021,43
0.42,2021,40
0.35,2021,41
0.39,2021,4
0.46,2021,18
0.4,2021,32
0.51,2021,15
0.62,2021,7
0.54,2021,9
0.22,2021,31
0.59,2021,28
0.58,2021,29
0.4,2021,30
0.4,2021,3
0.4,2021,14
0.38,2021,20
0.42,2021,16
0.52,2021,13
0.42,2021,19
0.42,2021,11
0.67,2021,8
0.47,2021,2
0.69,2021,5
0.51,2021,12
0.5,2021,6
NA,2022,25
NA,2022,26
NA,2022,19
NA,2022,34
NA,2022,24
NA,2022,29
NA,2022,33
NA,2022,27
NA,2022,31
NA,2022,32
NA,2022,14
NA,2022,16
NA,2022,17
NA,2022,18
NA,2022,8
NA,2022,6
NA,2022,7
NA,2022,28
NA,2022,20
NA,2022,13
NA,2022,30
NA,2022,22
NA,2022,23
NA,2022,4
NA,2022,15
NA,2022,2
NA,2022,3
NA,2022,12
NA,2022,9
NA,2022,10
NA,2022,11
NA,2022,1
NA,2022,21
NA,2022,5
