"rate","season","week"
87.88,2011,4
98.39,2012,1
75.54,2012,17
108.74,2012,18
49.33,2012,19
93.55,2012,9
95.97,2012,20
307.81,2012,34
83.2,2012,8
90.6,2012,13
143.02,2012,10
157.67,2012,11
213.05,2012,12
142.21,2012,35
60.22,2012,16
111.97,2012,30
81.72,2012,2
72.99,2012,7
144.9,2012,36
141.81,2012,5
155.65,2012,6
127.83,2012,21
57.93,2012,15
112.64,2012,29
121.78,2012,24
236.84,2012,25
169.5,2012,3
146.78,2012,4
113.58,2012,23
125.01,2012,14
140.46,2012,28
158.88,2012,26
217.21,2012,22
144.36,2012,27
3.78,2024,15
2.07,2024,13
2.93,2024,14
2.44,2024,12
5.61,2024,26
9.39,2024,28
7.08,2024,29
7.81,2024,25
5.61,2024,27
2.81,2024,16
5.73,2024,24
7.2,2024,6
3.9,2024,50
1.22,2024,52
5.37,2024,23
4.03,2024,1
2.2,2024,17
5.37,2024,51
4.76,2024,4
5.25,2024,48
4.39,2024,49
3.9,2024,21
3.17,2024,22
4.64,2024,5
6.34,2024,31
10.86,2024,7
4.76,2024,8
6.95,2024,9
4.03,2024,10
6.47,2024,2
7.69,2024,3
2.81,2024,18
2.68,2024,19
3.17,2024,20
3.9,2024,40
4.76,2024,41
8.42,2024,30
4.64,2024,45
7.81,2024,32
5.12,2024,33
7.2,2024,34
3.9,2024,35
5.25,2024,11
3.9,2024,36
5.12,2024,37
4.88,2024,38
4.76,2024,39
3.78,2024,42
2.93,2024,43
3.78,2024,44
2.07,2024,46
5.12,2024,47
