"rate","season","week"
1.52,2010,46
0.33,2010,23
0.75,2010,21
0.78,2010,20
0.52,2010,22
0.72,2010,18
0.82,2010,19
0.29,2010,24
0.36,2010,25
1.77,2010,45
1.55,2010,44
3.08,2010,9
1.9,2010,47
3.17,2010,48
2.88,2010,10
1.2,2010,42
1.56,2010,43
0.74,2010,17
1.18,2010,15
1.46,2010,14
1.12,2010,16
2.19,2010,11
1.83,2010,12
1.4,2010,13
3.18,2010,8
2.52,2010,49
0.81,2011,16
2.3,2011,12
0.68,2011,17
1.65,2011,13
0.58,2011,42
0.77,2011,44
3.32,2011,11
2.1,2011,49
6.52,2011,9
1.91,2011,48
1.44,2011,14
5.22,2011,10
1.69,2011,47
13.95,2011,7
0.64,2011,43
1.1,2011,15
1.14,2011,45
8.91,2011,8
1.48,2011,46
1.12,2012,15
1.61,2012,13
1.01,2012,14
1.02,2012,16
9.54,2012,8
3.07,2012,11
0.52,2012,17
1.33,2012,47
1.66,2012,48
12.08,2012,7
1.12,2012,46
1.89,2012,49
0.83,2012,43
2.07,2012,12
6.66,2012,9
0.94,2012,45
0.71,2012,44
4.82,2012,10
0.58,2012,42
0.51,2013,43
1.86,2013,48
2.2,2013,49
1.49,2013,15
0.94,2013,16
0.86,2013,45
1.02,2013,46
2.1,2013,14
2.95,2013,13
15.27,2013,8
0.48,2013,42
13.12,2013,9
15.8,2013,7
0.57,2013,44
8.89,2013,10
6.47,2013,11
4.53,2013,12
1.45,2013,47
0.66,2013,17
1.83,2014,48
5.48,2014,10
0.96,2014,16
1.8,2014,49
1.08,2014,45
7.96,2014,8
1.61,2014,15
1.38,2014,47
9.4,2014,7
0.83,2014,44
1.29,2014,46
0.51,2014,17
6.95,2014,9
2.88,2014,13
0.56,2014,42
0.76,2014,43
2.08,2014,14
4.84,2014,11
3.62,2014,12
0.46,2015,42
3.78,2015,13
6.9,2015,10
11.14,2015,8
5.91,2015,11
4.69,2015,12
2.35,2015,53
18.45,2015,5
8.99,2015,9
16.96,2015,6
19.38,2015,4
2.13,2015,15
2.56,2015,14
3.23,2015,52
13.47,2015,7
1.79,2015,47
1.97,2015,50
2.32,2015,49
15.27,2015,3
0.65,2015,43
1.06,2015,45
1.77,2015,48
2.54,2015,51
1,2015,44
10.28,2015,2
1.3,2015,46
4.55,2016,13
6.27,2016,12
1.33,2016,16
10.01,2016,10
9.81,2016,9
3.11,2016,48
2.57,2016,47
2.11,2016,46
2.02,2016,15
11.51,2016,8
2.7,2016,14
10.94,2016,6
8.14,2016,11
0.97,2016,42
10.09,2016,7
1.63,2016,45
1.25,2016,43
1.24,2016,44
1.9,2017,43
0.7,2017,16
1.98,2017,42
2.02,2017,12
2.11,2017,44
2.77,2017,10
0.65,2017,17
7.38,2017,6
3.36,2017,9
1.47,2017,13
1.31,2017,14
0.93,2017,15
2.32,2017,11
5.45,2017,48
2.78,2017,45
5.69,2017,7
4.26,2017,8
4.23,2017,47
3.65,2017,46
4.4,2018,12
13.57,2018,8
4.21,2018,46
1.8,2018,42
5.66,2018,48
3.44,2018,45
15.7,2018,7
19.95,2018,6
5.06,2018,47
2.55,2018,14
2.36,2018,44
7.68,2018,10
2.03,2018,15
3.41,2018,13
2.19,2018,43
10.19,2018,9
1.48,2018,16
5.47,2018,11
0.91,2018,17
2.32,2019,16
8.16,2019,11
10.77,2019,10
5.98,2019,48
2.86,2019,44
1.67,2019,17
4.35,2019,45
2.63,2019,42
3.07,2019,15
15.05,2019,9
20.85,2019,8
5.94,2019,47
4.02,2019,14
5.09,2019,13
5.37,2019,46
2.86,2019,43
31.12,2019,6
26.08,2019,7
6.29,2019,12
1.8,2020,14
20.64,2020,8
2.86,2020,13
15.38,2020,9
5.03,2020,12
29,2020,6
25.44,2020,7
5.08,2020,46
0.8,2020,16
4.21,2020,43
3.24,2020,42
7.7,2020,11
4.87,2020,47
10.81,2020,10
0.52,2020,17
4.48,2020,48
4.84,2020,44
1.11,2020,15
5.29,2020,45
3.82,2021,6
1.64,2021,15
3.98,2021,5
1.36,2021,16
2.14,2021,13
12.22,2021,46
8.31,2021,43
7.15,2021,42
9.36,2021,44
1.86,2021,14
2.6,2021,12
3.21,2021,11
3.93,2021,9
11.17,2021,45
3.98,2021,7
3.7,2021,10
4.07,2021,8
13.09,2021,47
12.63,2022,12
30.84,2022,46
21.76,2022,45
7.37,2022,16
11.73,2022,11
41.85,2022,47
15.78,2022,44
7.25,2022,8
12.67,2022,13
7,2022,7
7.83,2022,9
8.62,2022,15
8.59,2022,5
10.51,2022,14
9.9,2022,10
13.62,2022,43
13.29,2022,42
7.42,2022,6
30.04,2023,46
21.58,2023,10
19.36,2023,44
24.58,2023,45
35.9,2023,47
23.76,2023,9
15.39,2023,13
17.97,2023,43
10.8,2023,16
13.31,2023,14
26.82,2023,6
18.59,2023,11
27.96,2023,5
12.41,2023,15
26.16,2023,7
17.11,2023,42
17.25,2023,12
26.01,2023,8
