"season","week","rate"
2010,7,1.52
2009,36,0.33
2009,34,0.75
2009,33,0.78
2009,35,0.52
2009,31,0.72
2009,32,0.82
2009,37,0.29
2009,38,0.36
2010,6,1.77
2010,5,1.55
2009,22,3.08
2010,8,1.9
2010,9,3.17
2009,23,2.88
2010,3,1.2
2010,4,1.56
2009,30,0.74
2009,28,1.18
2009,27,1.46
2009,29,1.12
2009,24,2.19
2009,25,1.83
2009,26,1.4
2009,21,3.18
2010,10,2.52
2010,29,0.81
2010,25,2.3
2010,30,0.68
2010,26,1.65
2011,3,0.58
2011,5,0.77
2010,24,3.32
2011,10,2.1
2010,22,6.52
2011,9,1.91
2010,27,1.44
2010,23,5.22
2011,8,1.69
2010,20,13.95
2011,4,0.64
2010,28,1.1
2011,6,1.14
2010,21,8.91
2011,7,1.48
2011,28,1.12
2011,26,1.61
2011,27,1.01
2011,29,1.02
2011,21,9.54
2011,24,3.07
2011,30,0.52
2012,8,1.33
2012,9,1.66
2011,20,12.08
2012,7,1.12
2012,10,1.89
2012,4,0.83
2011,25,2.07
2011,22,6.66
2012,6,0.94
2012,5,0.71
2011,23,4.82
2012,3,0.58
2013,4,0.51
2013,9,1.86
2013,10,2.2
2012,28,1.49
2012,29,0.94
2013,6,0.86
2013,7,1.02
2012,27,2.1
2012,26,2.95
2012,21,15.27
2013,3,0.48
2012,22,13.12
2012,20,15.8
2013,5,0.57
2012,23,8.89
2012,24,6.47
2012,25,4.53
2013,8,1.45
2012,30,0.66
2014,9,1.83
2013,23,5.48
2013,29,0.96
2014,10,1.8
2014,6,1.08
2013,21,7.96
2013,28,1.61
2014,8,1.38
2013,20,9.4
2014,5,0.83
2014,7,1.29
2013,30,0.51
2013,22,6.95
2013,26,2.88
2014,3,0.56
2014,4,0.76
2013,27,2.08
2013,24,4.84
2013,25,3.62
2014,26,3.78
2014,23,6.9
2014,21,11.14
2014,24,5.91
2014,25,4.69
2014,18,18.45
2014,22,8.99
2014,19,16.96
2014,17,19.38
2014,28,2.13
2014,27,2.56
2014,20,13.47
2014,16,15.27
2014,15,10.28
2016,9,3.11
2016,8,2.57
2016,7,2.11
2016,3,0.97
2016,6,1.63
2016,4,1.25
2016,5,1.24
2017,4,1.9
2016,29,0.7
2017,3,1.98
2016,25,2.02
2017,5,2.11
2016,23,2.77
2016,30,0.65
2016,19,7.38
2016,22,3.36
2016,26,1.47
2016,27,1.31
2016,28,0.93
2016,24,2.32
2017,9,5.45
2017,6,2.78
2016,20,5.69
2016,21,4.26
2017,8,4.23
2017,7,3.65
2017,25,4.4
2017,21,13.57
2018,7,4.21
2018,3,1.8
2018,9,5.66
2018,6,3.44
2017,20,15.7
2017,19,19.95
2018,8,5.06
2017,27,2.55
2018,5,2.36
2017,23,7.68
2017,28,2.03
2017,26,3.41
2018,4,2.19
2017,22,10.19
2017,29,1.48
2017,24,5.47
2017,30,0.91
2018,29,2.32
2018,24,8.16
2018,23,10.77
2019,9,5.98
2019,5,2.86
2018,30,1.67
2019,6,4.35
2019,3,2.63
2018,28,3.07
2018,22,15.05
2018,21,20.85
2019,8,5.94
2018,27,4.02
2018,26,5.09
2019,7,5.37
2019,4,2.86
2018,19,31.12
2018,20,26.08
2018,25,6.29
2019,27,1.8
2019,21,20.64
2019,26,2.86
2019,22,15.38
2019,25,5.03
2019,19,29
2019,20,25.44
2020,7,5.08
2019,29,0.8
2020,4,4.21
2020,3,3.24
2019,24,7.7
2020,8,4.87
2019,23,10.81
2019,30,0.52
2020,9,4.48
2020,5,4.84
2019,28,1.11
2020,6,5.29
2020,19,3.82
2020,28,1.64
2020,18,3.98
2020,29,1.36
2020,26,2.14
2021,7,12.22
2021,4,8.31
2021,3,7.15
2021,5,9.36
2020,27,1.86
2020,25,2.6
2020,24,3.21
2020,22,3.93
2021,6,11.17
2020,20,3.98
2020,23,3.7
2020,21,4.07
2021,8,13.09
2021,25,12.63
2022,7,30.84
2022,6,21.76
2021,29,7.37
2021,24,11.73
2022,8,41.85
2022,5,15.78
2021,21,7.25
2021,26,12.67
2021,20,7
2021,22,7.83
2021,28,8.62
2021,18,8.59
2021,27,10.51
2021,23,9.9
2022,4,13.62
2022,3,13.29
2021,19,7.42
2023,7,30.04
2022,23,21.58
2023,5,19.36
2023,6,24.58
2023,8,35.9
2022,22,23.76
2022,26,15.39
2023,4,17.97
2022,29,10.8
2022,27,13.31
2022,19,26.82
2022,24,18.59
2022,18,27.96
2022,28,12.41
2022,20,26.16
2023,3,17.11
2022,25,17.25
2022,21,26.01
