"rate","season","week"
1.38,2010,3
0,2010,47
0.2,2010,15
0.79,2010,14
0.39,2010,8
5.12,2010,7
0,2010,18
1.38,2010,1
0.79,2010,10
1.58,2010,9
0.39,2010,49
0.79,2010,48
0.2,2010,19
0.59,2010,6
0.79,2010,13
1.58,2010,5
2.36,2010,4
0.79,2010,11
0.39,2010,17
0.2,2010,40
2.76,2010,52
0.79,2010,50
0.2,2010,51
0,2010,20
1.58,2010,12
0.2,2010,16
0,2011,18
0.58,2011,50
0.19,2011,16
0.96,2011,47
6.75,2011,2
0.19,2011,48
1.74,2011,10
9.83,2011,4
12.34,2011,5
0,2011,17
10.03,2011,3
2.51,2011,1
0.19,2011,14
5.01,2011,7
0.96,2011,49
0.58,2011,51
0.19,2011,40
9.64,2011,6
0,2011,15
1.54,2011,8
0.19,2011,12
0.58,2011,13
0.96,2011,11
2.31,2011,9
0,2011,52
0.94,2012,49
1.7,2012,9
1.32,2012,13
0.75,2012,48
0,2012,52
0.57,2012,4
0,2012,1
0.19,2012,20
3.01,2012,8
0,2012,40
1.51,2012,47
0.75,2012,2
3.96,2012,51
0.94,2012,5
0.94,2012,50
0.38,2012,15
0.19,2012,19
2.64,2012,10
1.51,2012,7
1.13,2012,3
1.32,2012,14
0,2012,16
0.19,2012,17
0,2012,18
2.07,2012,6
2.64,2012,11
2.26,2012,12
9.39,2013,8
0.18,2013,51
0.18,2013,16
3.13,2013,4
0.55,2013,15
0,2013,19
9.75,2013,5
0.74,2013,48
0.18,2013,52
0.74,2013,12
4.6,2013,7
7.36,2013,6
6.81,2013,9
0.18,2013,18
3.5,2013,2
0.18,2013,17
0.37,2013,47
5.15,2013,3
0,2013,14
0.37,2013,50
0.37,2013,49
0,2013,20
0,2013,40
5.89,2013,10
1.1,2013,1
4.05,2013,11
1.98,2014,8
0.18,2014,14
0.18,2014,19
0.18,2014,20
0.36,2014,17
0.72,2014,3
0,2014,18
0.54,2014,48
1.62,2014,7
1.44,2014,4
2.88,2014,10
0.9,2014,12
0,2014,16
0.9,2014,13
0.54,2014,50
0.36,2014,47
0.72,2014,49
1.26,2014,9
0,2014,40
0,2014,52
0.18,2014,1
0,2014,15
2.16,2014,11
0.36,2014,2
1.98,2014,5
3.24,2014,6
0.18,2014,51
1.05,2015,3
0.35,2015,53
0.88,2015,43
0,2015,16
0.35,2015,15
0.18,2015,17
0.18,2015,42
0.53,2015,49
0.35,2015,19
3.34,2015,4
0,2015,18
0.53,2015,52
0,2015,40
0.53,2015,41
0.18,2015,47
0,2015,48
0.18,2015,1
0.88,2015,50
1.05,2015,2
2.46,2015,14
8.6,2015,6
0.18,2015,20
1.05,2015,51
5.79,2015,5
0,2015,44
0,2015,45
1.93,2015,13
0.18,2015,46
2.74,2016,51
1.2,2016,15
0.86,2016,3
1.2,2016,50
0.17,2016,47
1.2,2016,49
0.17,2016,46
0.51,2016,17
0,2016,16
0.69,2016,2
0.17,2016,48
1.2,2016,4
0.51,2016,1
0.17,2016,20
1.54,2016,52
2.91,2016,5
3.26,2016,7
0.17,2016,18
0.17,2016,19
4.46,2016,8
1.2,2016,6
4.02,2017,2
0.5,2017,8
0,2017,20
3.35,2017,1
1.51,2017,7
0,2017,19
0.34,2017,51
0,2017,15
0,2017,52
0,2017,46
0.17,2017,18
0,2017,47
2.68,2017,4
2.68,2017,5
1.84,2017,6
0,2017,17
1.84,2017,3
0.17,2017,48
0,2017,16
0.34,2017,49
0.67,2017,50
0.82,2018,50
1.64,2018,51
0.99,2018,1
0.16,2018,45
1.32,2018,49
0,2018,48
14.96,2018,4
0.33,2018,46
0.66,2018,47
3.45,2018,2
0,2018,15
6.41,2018,3
0.16,2018,16
0,2018,17
7.24,2018,7
0,2018,18
6.08,2018,6
0,2018,52
10.52,2018,8
0,2018,20
8.06,2018,5
0,2018,19
0.32,2019,50
0,2019,19
0,2019,20
5.32,2019,8
0,2019,47
5.8,2019,6
3.06,2019,4
7.09,2019,7
0.16,2019,15
0,2019,17
0,2019,18
4.03,2019,5
0.16,2019,1
0.48,2019,46
2.58,2019,2
0,2019,16
0.32,2019,49
0.48,2019,45
0,2019,48
1.29,2019,3
0.64,2019,51
0.16,2019,52
0.32,2020,45
1.11,2020,2
0.48,2020,51
0.32,2020,46
0.48,2020,1
0.48,2020,47
2.38,2020,16
3.65,2020,8
0.48,2020,15
0.95,2020,50
7.45,2020,7
0.63,2020,52
0.48,2020,49
0.16,2020,53
4.92,2020,5
1.43,2020,3
5.07,2020,4
0,2020,20
0,2020,18
0.32,2020,48
8.72,2020,6
0,2020,19
0,2020,17
0.47,2021,44
0.16,2021,1
0.47,2021,19
1.41,2021,45
0,2021,39
0,2021,38
0.62,2021,17
0.62,2021,22
0,2021,2
0.16,2021,52
1.25,2021,46
0.31,2021,18
0.16,2021,3
0,2021,37
0.31,2021,21
0.47,2021,20
0.31,2021,36
2.03,2021,43
0,2021,15
0,2021,16
0.31,2021,35
0.16,2021,4
1.72,2021,47
0,2021,14
1.09,2021,51
0,2021,25
4.22,2021,48
2.66,2021,49
0.62,2021,23
0,2021,5
0,2021,33
1.41,2021,42
0.16,2021,34
0,2021,32
0.31,2021,6
1.87,2021,41
0,2021,7
1.09,2021,50
0.78,2021,40
0.47,2021,24
0.31,2022,36
1.99,2022,19
5.05,2022,15
2.91,2022,17
0.61,2022,37
1.38,2022,6
0.61,2022,35
1.53,2022,25
3.21,2022,49
2.6,2022,18
0,2022,34
5.36,2022,48
2.3,2022,4
0.15,2022,7
1.07,2022,42
1.99,2022,3
2.6,2022,40
0.15,2022,33
1.68,2022,24
2.91,2022,41
10.71,2022,50
0.92,2022,32
2.6,2022,43
1.07,2022,23
2.3,2022,1
0.77,2022,21
2.76,2022,47
1.53,2022,39
1.53,2022,38
0.46,2022,22
1.07,2022,5
1.84,2022,2
0.92,2022,44
10.26,2022,51
2.3,2022,46
2.14,2022,20
1.84,2022,45
6.12,2022,52
3.61,2023,1
0.6,2023,21
0.45,2023,34
0.75,2023,20
1.95,2023,45
0.6,2023,33
0.3,2023,23
3.01,2023,46
0,2023,32
0.15,2023,22
1.2,2023,17
2.26,2023,14
0.6,2023,36
3.31,2023,16
2.41,2023,6
4.51,2023,5
2.86,2023,47
1.05,2023,7
4.06,2023,48
2.1,2023,39
0.3,2023,18
1.2,2023,19
0.3,2023,25
8.12,2023,50
6.31,2023,49
0.45,2023,35
1.05,2023,44
0.75,2023,15
1.8,2023,40
1.65,2023,52
0.15,2023,37
0.75,2023,38
2.71,2023,3
3.46,2023,4
2.26,2023,51
0.9,2023,24
2.1,2023,2
