"season","week","rate"
2009,16,1.38
2010,8,0
2009,28,0.2
2009,27,0.79
2009,21,0.39
2009,20,5.12
2009,31,0
2009,14,1.38
2009,23,0.79
2009,22,1.58
2010,10,0.39
2010,9,0.79
2009,32,0.2
2009,19,0.59
2009,26,0.79
2009,18,1.58
2009,17,2.36
2009,24,0.79
2009,30,0.39
2010,1,0.2
2010,13,2.76
2010,11,0.79
2010,12,0.2
2009,33,0
2009,25,1.58
2009,29,0.2
2010,31,0
2011,11,0.58
2010,29,0.19
2011,8,0.96
2010,15,6.75
2011,9,0.19
2010,23,1.74
2010,17,9.83
2010,18,12.34
2010,30,0
2010,16,10.03
2010,14,2.51
2010,27,0.19
2010,20,5.01
2011,10,0.96
2011,12,0.58
2011,1,0.19
2010,19,9.64
2010,28,0
2010,21,1.54
2010,25,0.19
2010,26,0.58
2010,24,0.96
2010,22,2.31
2011,13,0
2012,10,0.94
2011,22,1.7
2011,26,1.32
2012,9,0.75
2012,13,0
2011,17,0.57
2011,14,0
2011,33,0.19
2011,21,3.01
2012,1,0
2012,8,1.51
2011,15,0.75
2012,12,3.96
2011,18,0.94
2012,11,0.94
2011,28,0.38
2011,32,0.19
2011,23,2.64
2011,20,1.51
2011,16,1.13
2011,27,1.32
2011,29,0
2011,30,0.19
2011,31,0
2011,19,2.07
2011,24,2.64
2011,25,2.26
2012,21,9.39
2013,12,0.18
2012,29,0.18
2012,17,3.13
2012,28,0.55
2012,32,0
2012,18,9.75
2013,9,0.74
2013,13,0.18
2012,25,0.74
2012,20,4.6
2012,19,7.36
2012,22,6.81
2012,31,0.18
2012,15,3.5
2012,30,0.18
2013,8,0.37
2012,16,5.15
2012,27,0
2013,11,0.37
2013,10,0.37
2012,33,0
2013,1,0
2012,23,5.89
2012,14,1.1
2012,24,4.05
2013,21,1.98
2013,27,0.18
2013,32,0.18
2013,33,0.18
2013,30,0.36
2013,16,0.72
2013,31,0
2014,9,0.54
2013,20,1.62
2013,17,1.44
2013,23,2.88
2013,25,0.9
2013,29,0
2013,26,0.9
2014,11,0.54
2014,8,0.36
2014,10,0.72
2013,22,1.26
2014,1,0
2014,13,0
2013,14,0.18
2013,28,0
2013,24,2.16
2013,15,0.36
2013,18,1.98
2013,19,3.24
2014,12,0.18
2014,16,1.05
2014,29,0
2014,28,0.35
2014,30,0.18
2014,32,0.35
2014,17,3.34
2014,31,0
2014,14,0.18
2014,15,1.05
2014,27,2.46
2014,19,8.6
2014,33,0.18
2014,18,5.79
2014,26,1.93
2016,12,2.74
2016,11,1.2
2016,8,0.17
2016,10,1.2
2016,7,0.17
2016,9,0.17
2016,13,1.54
2016,15,4.02
2016,21,0.5
2016,33,0
2016,14,3.35
2016,20,1.51
2016,32,0
2017,12,0.34
2016,28,0
2017,13,0
2017,7,0
2016,31,0.17
2017,8,0
2016,17,2.68
2016,18,2.68
2016,19,1.84
2016,30,0
2016,16,1.84
2017,9,0.17
2016,29,0
2017,10,0.34
2017,11,0.67
2018,11,0.82
2018,12,1.64
2017,14,0.99
2018,6,0.16
2018,10,1.32
2018,9,0
2017,17,14.96
2018,7,0.33
2018,8,0.66
2017,15,3.45
2017,28,0
2017,16,6.41
2017,29,0.16
2017,30,0
2017,20,7.24
2017,31,0
2017,19,6.08
2018,13,0
2017,21,10.52
2017,33,0
2017,18,8.06
2017,32,0
2019,11,0.32
2018,32,0
2018,33,0
2018,21,5.32
2019,8,0
2018,19,5.8
2018,17,3.06
2018,20,7.09
2018,28,0.16
2018,30,0
2018,31,0
2018,18,4.03
2018,14,0.16
2019,7,0.48
2018,15,2.58
2018,29,0
2019,10,0.32
2019,6,0.48
2019,9,0
2018,16,1.29
2019,12,0.64
2019,13,0.16
2019,15,1.11
2019,14,0.48
2019,29,2.38
2019,21,3.65
2019,28,0.48
2019,20,7.45
2019,18,4.92
2019,16,1.43
2019,17,5.07
2019,33,0
2019,31,0
2019,19,8.72
2019,32,0
2019,30,0
2021,5,0.47
2021,6,1.41
2021,13,0.16
2021,7,1.25
2021,4,2.03
2021,8,1.72
2021,12,1.09
2021,9,4.22
2021,10,2.66
2021,3,1.41
2021,2,1.87
2021,11,1.09
2021,1,0.78
2021,49,0.31
2021,32,1.99
2021,28,5.05
2021,30,2.91
2021,50,0.61
2021,19,1.38
2021,48,0.61
2021,38,1.53
2022,10,3.21
2021,31,2.6
2021,47,0
2022,9,5.36
2021,17,2.3
2021,20,0.15
2022,3,1.07
2021,16,1.99
2022,1,2.6
2021,46,0.15
2021,37,1.68
2022,2,2.91
2022,11,10.71
2021,45,0.92
2022,4,2.6
2021,36,1.07
2021,14,2.3
2021,34,0.77
2022,8,2.76
2021,52,1.53
2021,51,1.53
2021,35,0.46
2021,18,1.07
2021,15,1.84
2022,5,0.92
2022,12,10.26
2022,7,2.3
2021,33,2.14
2022,6,1.84
2022,13,6.12
2022,14,3.61
2022,34,0.6
2022,47,0.45
2022,33,0.75
2023,6,1.95
2022,46,0.6
2022,36,0.3
2023,7,3.01
2022,45,0
2022,35,0.15
2022,30,1.2
2022,27,2.26
2022,49,0.6
2022,29,3.31
2022,19,2.41
2022,18,4.51
2023,8,2.86
2022,20,1.05
2023,9,4.06
2022,52,2.1
2022,31,0.3
2022,32,1.2
2022,38,0.3
2023,11,8.12
2023,10,6.31
2022,48,0.45
2023,5,1.05
2022,28,0.75
2023,1,1.8
2023,13,1.65
2022,50,0.15
2022,51,0.75
2022,16,2.71
2022,17,3.46
2023,12,2.26
2022,37,0.9
2022,15,2.1
