"rate","season","week"
0.15,2015,22
0.37,2015,5
0.4,2015,6
0.11,2015,24
0.13,2015,21
0.15,2015,19
0.15,2015,23
0.13,2015,28
0.12,2015,26
0.46,2015,3
0.4,2015,4
0.18,2015,51
0.17,2015,52
0.16,2015,20
0.29,2015,49
0.39,2015,1
0.41,2015,2
0.11,2015,32
0.17,2015,13
0.11,2015,34
0.13,2015,27
0.14,2015,29
0.1,2015,33
0.16,2015,18
0.23,2015,50
0.13,2015,35
0.15,2015,36
0.19,2015,14
0.12,2015,30
0.1,2015,31
0.13,2015,25
0.17,2015,16
0.11,2015,17
0.15,2015,15
2.96,2016,7
1.56,2016,6
0.6,2016,3
0.28,2016,51
0.29,2016,47
0.15,2016,34
0.19,2016,38
0.66,2016,13
2.2,2016,10
0.16,2016,33
0.71,2016,12
0.4,2016,2
0.95,2016,5
0.25,2016,45
0.31,2016,48
4,2016,8
0.3,2016,50
0.28,2016,52
1.46,2016,11
0.36,2016,16
0.24,2016,17
0.15,2016,35
0.19,2016,36
0.16,2016,37
0.72,2016,4
0.32,2016,49
3.3,2016,9
0.25,2016,46
0.38,2016,15
0.27,2016,1
0.2,2016,18
0.46,2016,14
0.19,2016,20
0.18,2016,19
0.22,2017,34
0.26,2017,36
0.45,2017,2
0.41,2017,46
0.41,2017,16
0.25,2017,35
0.58,2017,51
0.81,2017,13
0.28,2017,37
0.28,2017,38
0.63,2017,14
0.48,2017,45
0.53,2017,3
0.47,2017,47
0.35,2017,1
0.52,2017,49
0.36,2017,15
0.62,2017,50
0.21,2017,33
0.91,2017,12
0.24,2017,18
0.59,2017,52
1.06,2017,7
0.62,2017,4
0.5,2017,48
1.51,2017,9
0.89,2017,6
0.99,2017,11
0.3,2017,17
0.77,2017,5
0.23,2017,20
0.21,2017,19
1.42,2017,10
1.37,2017,8
0.19,2018,33
0.65,2018,10
0.22,2018,19
0.33,2018,13
0.21,2018,35
0.85,2018,7
0.22,2018,34
0.68,2018,9
0.58,2018,45
0.26,2018,17
0.55,2018,11
0.48,2018,12
0.96,2018,6
0.81,2018,48
0.83,2018,49
0.53,2018,46
0.26,2018,18
0.34,2018,15
0.32,2018,16
1.13,2018,3
0.7,2018,47
0.94,2018,2
1.22,2018,4
0.34,2018,14
0.69,2018,1
0.25,2018,36
0.3,2018,37
0.97,2018,5
0.79,2018,52
0.26,2018,20
0.29,2018,38
0.77,2018,8
0.92,2018,51
0.93,2018,50
0.26,2019,19
0.28,2019,20
0.23,2019,38
0.66,2019,49
1.39,2019,6
0.85,2019,50
1.39,2019,5
0.23,2019,37
0.57,2019,45
0.5,2019,46
0.37,2019,17
0.58,2019,48
0.26,2019,18
0.83,2019,51
0.52,2019,47
0.14,2019,33
0.13,2019,34
1.42,2019,7
0.15,2019,35
0.19,2019,36
0.86,2019,52
1.49,2019,4
1.18,2019,9
1.14,2019,10
1.34,2019,3
1.2,2019,2
0.82,2019,14
0.67,2019,15
1.29,2019,8
1.07,2019,11
0.94,2019,12
0.88,2019,13
0.35,2019,16
0.82,2019,1
1.46,2020,7
1.39,2020,6
0.42,2020,1
1.47,2020,5
18.41,2020,32
19.17,2020,42
18.92,2020,33
1.59,2020,4
1.48,2020,3
1.46,2020,8
31.11,2020,50
22.52,2020,27
21.63,2020,28
18.39,2020,41
31.04,2020,49
21.46,2020,29
1.05,2020,2
5.09,2020,15
5.32,2020,16
18.3,2020,35
22.11,2020,43
18.73,2020,34
9.87,2020,20
20.03,2020,31
21.89,2020,30
15.86,2020,38
17.97,2020,40
27.33,2020,48
5.7,2020,17
6.54,2020,18
20.03,2020,44
17.39,2020,39
22.4,2020,46
20,2020,36
7.75,2020,19
22.15,2020,45
16.66,2020,37
25.39,2020,47
14.67,2021,17
14.23,2021,19
14.21,2021,18
38.2,2021,1
26.76,2021,36
15.43,2021,45
15.58,2021,16
16.71,2021,46
16.7,2021,44
29.31,2021,4
15.97,2021,15
38.5,2021,33
14.83,2021,47
16.21,2021,48
18.02,2021,10
28.88,2021,35
14.74,2021,49
22.76,2021,37
33.33,2021,34
43.63,2021,32
19.71,2021,8
20.77,2021,9
37.41,2021,3
21.38,2021,7
14.1,2021,13
27.22,2021,52
22.36,2021,6
38.53,2021,2
25.31,2021,5
16.91,2021,51
18.5,2021,11
17.17,2021,12
18.17,2021,14
13.38,2021,50
11.84,2022,35
11.06,2022,10
5.88,2022,15
11.41,2022,34
11.15,2022,51
8.04,2022,14
82.2,2022,1
6.86,2022,16
14.26,2022,8
9.73,2022,11
10.12,2022,12
6.5,2022,17
22.62,2022,6
10.89,2022,37
9.8,2022,47
16.18,2022,32
13.36,2022,36
52.41,2022,4
18.55,2022,7
13.57,2022,9
98.45,2022,2
13.33,2022,33
8.54,2022,46
6.75,2022,18
7.31,2022,19
11.7,2022,49
35.12,2022,5
10.75,2022,48
12.03,2022,50
9.83,2022,13
8.3,2022,44
78,2022,3
8.73,2022,45
10.37,2023,7
9.37,2023,10
10.54,2023,6
3.12,2023,33
7.3,2023,13
2.31,2023,48
2,2023,50
3.53,2023,34
8.22,2023,12
2.92,2023,32
13.87,2023,1
4.04,2023,35
1.8,2023,46
4.58,2023,36
10.14,2023,5
7.91,2023,11
1.76,2023,51
0.49,2023,52
4.56,2023,37
2.22,2023,45
9.85,2023,9
6.18,2023,15
6.22,2023,16
10.01,2023,8
6.11,2023,18
5.57,2023,19
2.16,2023,47
5.93,2023,17
2.11,2023,49
5.18,2023,14
12.67,2023,2
12.19,2023,3
11.35,2023,4
2.04,2023,44
