"season","week","rate"
2014,35,0.15
2014,18,0.37
2014,19,0.4
2014,37,0.11
2014,34,0.13
2014,32,0.15
2014,36,0.15
2014,41,0.13
2014,39,0.12
2014,16,0.46
2014,17,0.4
2015,12,0.18
2015,13,0.17
2014,33,0.16
2015,10,0.29
2014,14,0.39
2014,15,0.41
2014,45,0.11
2014,26,0.17
2014,47,0.11
2014,40,0.13
2014,42,0.14
2014,46,0.1
2014,31,0.16
2015,11,0.23
2014,48,0.13
2014,49,0.15
2014,27,0.19
2014,43,0.12
2014,44,0.1
2014,38,0.13
2014,29,0.17
2014,30,0.11
2014,28,0.15
2015,20,2.96
2015,19,1.56
2015,16,0.6
2016,12,0.28
2016,8,0.29
2015,47,0.15
2015,51,0.19
2015,26,0.66
2015,23,2.2
2015,46,0.16
2015,25,0.71
2015,15,0.4
2015,18,0.95
2016,6,0.25
2016,9,0.31
2015,21,4
2016,11,0.3
2016,13,0.28
2015,24,1.46
2015,29,0.36
2015,30,0.24
2015,48,0.15
2015,49,0.19
2015,50,0.16
2015,17,0.72
2016,10,0.32
2015,22,3.3
2016,7,0.25
2015,28,0.38
2015,14,0.27
2015,31,0.2
2015,27,0.46
2015,33,0.19
2015,32,0.18
2016,47,0.22
2016,49,0.26
2016,15,0.45
2017,7,0.41
2016,29,0.41
2016,48,0.25
2017,12,0.58
2016,26,0.81
2016,50,0.28
2016,51,0.28
2016,27,0.63
2017,6,0.48
2016,16,0.53
2017,8,0.47
2016,14,0.35
2017,10,0.52
2016,28,0.36
2017,11,0.62
2016,46,0.21
2016,25,0.91
2016,31,0.24
2017,13,0.59
2016,20,1.06
2016,17,0.62
2017,9,0.5
2016,22,1.51
2016,19,0.89
2016,24,0.99
2016,30,0.3
2016,18,0.77
2016,33,0.23
2016,32,0.21
2016,23,1.42
2016,21,1.37
2017,46,0.19
2017,23,0.65
2017,32,0.22
2017,26,0.33
2017,48,0.21
2017,20,0.85
2017,47,0.22
2017,22,0.68
2018,6,0.58
2017,30,0.26
2017,24,0.55
2017,25,0.48
2017,19,0.96
2018,9,0.81
2018,10,0.83
2018,7,0.53
2017,31,0.26
2017,28,0.34
2017,29,0.32
2017,16,1.13
2018,8,0.7
2017,15,0.94
2017,17,1.22
2017,27,0.34
2017,14,0.69
2017,49,0.25
2017,50,0.3
2017,18,0.97
2018,13,0.79
2017,33,0.26
2017,51,0.29
2017,21,0.77
2018,12,0.92
2018,11,0.93
2018,32,0.26
2018,33,0.28
2018,51,0.23
2019,10,0.66
2018,19,1.39
2019,11,0.85
2018,18,1.39
2018,50,0.23
2019,6,0.57
2019,7,0.5
2018,30,0.37
2019,9,0.58
2018,31,0.26
2019,12,0.83
2019,8,0.52
2018,46,0.14
2018,47,0.13
2018,20,1.42
2018,48,0.15
2018,49,0.19
2019,13,0.86
2018,17,1.49
2018,22,1.18
2018,23,1.14
2018,16,1.34
2018,15,1.2
2018,27,0.82
2018,28,0.67
2018,21,1.29
2018,24,1.07
2018,25,0.94
2018,26,0.88
2018,29,0.35
2018,14,0.82
2019,20,1.46
2019,19,1.39
2019,14,0.42
2019,18,1.47
2019,45,18.41
2020,3,19.17
2019,46,18.92
2019,17,1.59
2019,16,1.48
2019,21,1.46
2020,11,31.11
2019,40,22.52
2019,41,21.63
2020,2,18.39
2020,10,31.04
2019,42,21.46
2019,15,1.05
2019,28,5.09
2019,29,5.32
2019,48,18.3
2020,4,22.11
2019,47,18.73
2019,33,9.87
2019,44,20.03
2019,43,21.89
2019,51,15.86
2020,1,17.97
2020,9,27.33
2019,30,5.7
2019,31,6.54
2020,5,20.03
2019,52,17.39
2020,7,22.4
2019,49,20
2019,32,7.75
2020,6,22.15
2019,50,16.66
2020,8,25.39
2020,30,14.67
2020,32,14.23
2020,31,14.21
2020,14,38.2
2020,49,26.76
2021,6,15.43
2020,29,15.58
2021,7,16.71
2021,5,16.7
2020,17,29.31
2020,28,15.97
2020,46,38.5
2021,8,14.83
2021,9,16.21
2020,23,18.02
2020,48,28.88
2021,10,14.74
2020,50,22.76
2020,47,33.33
2020,45,43.63
2020,21,19.71
2020,22,20.77
2020,16,37.41
2020,20,21.38
2020,26,14.1
2021,13,27.22
2020,19,22.36
2020,15,38.53
2020,18,25.31
2021,12,16.91
2020,24,18.5
2020,25,17.17
2020,27,18.17
2021,11,13.38
2021,48,11.84
2021,23,11.06
2021,28,5.88
2021,47,11.41
2022,12,11.15
2021,27,8.04
2021,14,82.2
2021,29,6.86
2021,21,14.26
2021,24,9.73
2021,25,10.12
2021,30,6.5
2021,19,22.62
2021,50,10.89
2022,8,9.8
2021,45,16.18
2021,49,13.36
2021,17,52.41
2021,20,18.55
2021,22,13.57
2021,15,98.45
2021,46,13.33
2022,7,8.54
2021,31,6.75
2021,32,7.31
2022,10,11.7
2021,18,35.12
2022,9,10.75
2022,11,12.03
2021,26,9.83
2022,5,8.3
2021,16,78
2022,6,8.73
2022,20,10.37
2022,23,9.37
2022,19,10.54
2022,46,3.12
2022,26,7.3
2023,9,2.31
2023,11,2
2022,47,3.53
2022,25,8.22
2022,45,2.92
2022,14,13.87
2022,48,4.04
2023,7,1.8
2022,49,4.58
2022,18,10.14
2022,24,7.91
2023,12,1.76
2023,13,0.49
2022,50,4.56
2023,6,2.22
2022,22,9.85
2022,28,6.18
2022,29,6.22
2022,21,10.01
2022,31,6.11
2022,32,5.57
2023,8,2.16
2022,30,5.93
2023,10,2.11
2022,27,5.18
2022,15,12.67
2022,16,12.19
2022,17,11.35
2023,5,2.04
