"rate","season","week"
3.49,2010,41
2.33,2010,21
3.72,2010,42
3.61,2010,43
1.01,2010,30
2.91,2010,46
5.97,2010,51
1.14,2010,27
1.18,2010,29
5.12,2010,50
13.93,2010,4
2.82,2010,47
4.05,2010,48
4.36,2010,49
6.41,2010,9
5.71,2010,10
5.5,2010,11
4.95,2010,12
2.74,2010,40
2.87,2010,17
2.75,2010,18
2.88,2010,19
2.94,2010,20
3.58,2010,44
3.36,2010,45
1.3,2010,31
1.11,2010,32
1.16,2010,33
26.53,2010,1
4.12,2010,13
3.18,2010,15
14.37,2010,3
1.57,2010,24
17.5,2010,2
1.82,2010,22
1.73,2010,23
2.92,2010,16
1.66,2010,25
1.45,2010,26
6.02,2010,52
11.87,2010,5
0.91,2010,34
1.13,2010,35
3.49,2010,14
2.05,2010,39
10.46,2010,6
9.72,2010,7
1.12,2010,36
1.69,2010,38
7.17,2010,8
1.22,2010,37
1.43,2010,28
2.57,2011,46
0.98,2011,29
8.2,2011,3
10.37,2011,4
1.64,2011,20
8.29,2011,7
5.73,2011,8
4.14,2011,47
7.07,2011,2
4.05,2011,13
3.88,2011,14
7.06,2011,52
4.82,2011,48
7.84,2011,1
2.5,2011,17
2.52,2011,18
5.17,2011,12
1.12,2011,28
1.14,2011,30
1.06,2011,31
2.51,2011,19
1.06,2011,33
0.97,2011,27
1.22,2011,34
1.22,2011,32
2.83,2011,15
2.4,2011,16
1.71,2011,24
1.7,2011,21
1.25,2011,22
1.53,2011,23
9.83,2011,5
5.19,2011,49
6.16,2011,50
6.84,2011,51
6.38,2011,11
8.05,2011,6
1.15,2011,35
1.01,2011,36
2.69,2011,41
3.74,2011,42
6.68,2011,9
6.88,2011,10
3.02,2011,45
1.16,2011,26
3.9,2011,43
2.3,2011,40
1.96,2011,38
1.32,2011,25
2.3,2011,39
3.51,2011,44
1.83,2011,37
2.1,2012,28
17.48,2012,2
2.25,2012,29
4.57,2012,20
1,2012,32
18.56,2012,4
2.42,2012,30
2.3,2012,31
14.94,2012,1
11.4,2012,8
14.35,2012,5
12.34,2012,6
12.14,2012,7
18.03,2012,3
4.47,2012,19
2.43,2012,27
5.35,2012,44
6.64,2012,45
7.37,2012,47
9.18,2012,48
11.24,2012,49
1.22,2012,33
5.04,2012,18
3.91,2012,21
4.07,2012,22
4.66,2012,17
6.51,2012,46
10.07,2012,9
9.87,2012,10
4.11,2012,23
14.25,2012,50
6.6,2012,13
6.62,2012,14
7.1,2012,52
0.97,2012,34
0.97,2012,35
3.14,2012,36
3.99,2012,37
4.05,2012,38
3.72,2012,39
5.75,2012,40
3.33,2012,24
3.53,2012,25
7.55,2012,12
2.94,2012,26
13.63,2012,51
4.77,2012,15
5.52,2012,16
6.13,2012,41
5.6,2012,42
7.01,2012,43
8.56,2012,11
2.85,2013,17
1.32,2013,27
2.51,2013,18
2.5,2013,19
3.5,2013,15
2.95,2013,16
1.24,2013,28
3.12,2013,45
1.18,2013,29
3.29,2013,43
1.17,2013,31
1.12,2013,32
4.9,2013,49
1.22,2013,30
4.91,2013,51
2.76,2013,40
3.17,2013,41
4.74,2013,50
2.57,2013,21
3.76,2013,44
NA,2013,1
8.16,2013,2
3.84,2013,46
4.42,2013,47
4.24,2013,48
4.66,2013,12
3.72,2013,13
3.83,2013,14
1.03,2013,33
1.14,2013,34
1.52,2013,42
7.36,2013,3
5.95,2013,4
6.08,2013,5
6.77,2013,6
7.06,2013,7
7.64,2013,8
5.69,2013,52
5.38,2013,11
2.24,2013,23
1.41,2013,35
2.07,2013,36
2.31,2013,20
2.32,2013,22
1.94,2013,24
1.89,2013,25
1.49,2013,26
5.99,2013,10
2.6,2013,38
2.61,2013,39
6.88,2013,9
2.39,2013,37
1.6,2014,28
7.81,2014,6
7.65,2014,7
7.71,2014,8
1.74,2014,29
4.38,2014,44
4.51,2014,45
1.71,2014,27
2.79,2014,20
8.36,2014,52
4.52,2014,13
1.36,2014,30
0.87,2014,31
2.55,2014,22
2.43,2014,23
2.49,2014,24
2.94,2014,19
5.69,2014,2
1.63,2014,32
4.98,2014,12
4.62,2014,1
3.49,2014,15
3.32,2014,16
3.39,2014,17
2.91,2014,18
3.05,2014,21
4.92,2014,3
6.79,2014,4
7.14,2014,5
3.15,2014,39
5.97,2014,10
5.23,2014,11
4.91,2014,46
4.96,2014,47
4.11,2014,14
5.7,2014,49
6.76,2014,50
2.97,2014,40
3.01,2014,41
4.13,2014,42
4.68,2014,43
2.24,2014,37
2.51,2014,38
2.21,2014,25
1.89,2014,26
1.77,2014,36
1.46,2014,33
5.33,2014,48
1.7,2014,35
1.4,2014,34
6.07,2014,9
7.18,2014,51
5.06,2015,50
7.74,2015,53
2.28,2015,36
9.2,2015,1
9.7,2015,2
8.82,2015,4
4.21,2015,48
4.39,2015,49
2.4,2015,35
3.91,2015,13
3.51,2015,14
3.86,2015,15
3.98,2015,51
1.52,2015,38
2.7,2015,39
3.42,2015,40
3.18,2015,41
9.73,2015,3
3.51,2015,17
2.96,2015,18
2.83,2015,19
2.66,2015,20
2.36,2015,21
3.66,2015,42
2.4,2015,22
3.53,2015,16
1.88,2015,29
1.69,2015,30
1.09,2015,31
1.25,2015,32
1.02,2015,33
2.2,2015,23
2.07,2015,24
2.14,2015,25
1.79,2015,26
6.11,2015,11
4.65,2015,12
1.38,2015,28
1.94,2015,37
3.84,2015,44
4,2015,45
4.03,2015,46
4.26,2015,47
8.03,2015,6
1.36,2015,34
6.8,2015,8
8.33,2015,5
3.63,2015,43
7.24,2015,7
6.7,2015,9
1.93,2015,27
6.34,2015,10
7.4,2016,49
2.12,2016,37
6.39,2016,46
4.19,2016,20
6.33,2016,13
7.92,2016,48
6.79,2016,14
7.09,2016,47
5.21,2016,16
4.43,2016,17
4.42,2016,18
5.64,2016,15
2.37,2016,33
2.21,2016,36
1.97,2016,35
5.6,2016,1
5.75,2016,45
6.82,2016,6
7.06,2016,7
4.07,2016,21
3.35,2016,22
3.02,2016,23
2.5,2016,24
2.27,2016,25
4.1,2016,19
2.09,2016,32
2.13,2016,34
6.78,2016,9
7.3,2016,10
6.58,2016,11
6.69,2016,12
4.65,2016,42
5.05,2016,43
5.46,2016,44
8.24,2016,52
7.76,2016,50
1.69,2016,30
2.03,2016,31
3.53,2016,40
7.12,2016,8
1.83,2016,38
2.98,2016,39
6.55,2016,51
3.75,2016,41
2,2016,26
2.07,2016,27
6.23,2016,3
7.12,2016,4
1.64,2016,29
5.8,2016,2
6.68,2016,5
0.93,2016,28
5.45,2017,46
1.36,2017,35
4.91,2017,45
4.05,2017,42
4.36,2017,43
2.6,2017,37
1.58,2017,33
1.89,2017,34
2.74,2017,38
1.66,2017,32
3.87,2017,40
4.2,2017,41
2.88,2017,20
2.48,2017,21
2.66,2017,22
2.14,2017,23
1.98,2017,24
1.83,2017,25
2.97,2017,17
3.03,2017,18
2.83,2017,19
6.04,2017,8
3.55,2017,39
5.15,2017,10
1.9,2017,36
NA,2017,1
4.23,2017,13
6.14,2017,47
6.4,2017,48
7.22,2017,49
5.02,2017,50
1.82,2017,31
8.92,2017,2
9.34,2017,3
11.16,2017,4
5.47,2017,9
6.96,2017,6
4.05,2017,14
3.51,2017,15
8.51,2017,5
1.97,2017,30
1.5,2017,26
6.23,2017,7
3.4,2017,16
4.35,2017,12
4.67,2017,44
2.17,2017,29
4.94,2017,11
8.64,2017,52
8.45,2017,51
2,2017,28
1.95,2017,27
2.05,2018,22
4.23,2018,46
3.54,2018,44
4.02,2018,45
2.34,2018,21
4.52,2018,48
4.98,2018,49
4.5,2018,14
2.85,2018,47
2.44,2018,20
9.65,2018,3
8.06,2018,4
7.69,2018,5
1.81,2018,23
1.56,2018,24
1.65,2018,25
4.67,2018,50
2.78,2018,18
1.35,2018,32
2.3,2018,37
5.45,2018,12
4.51,2018,13
9.53,2018,1
3.93,2018,15
4.44,2018,16
3.92,2018,17
3.2,2018,42
1.74,2018,36
1.03,2018,33
0.31,2018,34
5.52,2018,52
1.46,2018,28
2.51,2018,39
2.79,2018,40
3.01,2018,41
1.38,2018,31
8.44,2018,6
7.94,2018,7
5.31,2018,51
1.5,2018,35
1.99,2018,38
2.27,2018,19
1.26,2018,26
1.31,2018,27
8.6,2018,8
8.69,2018,2
3.67,2018,43
1.29,2018,30
7.53,2018,9
6.3,2018,10
5.83,2018,11
1.41,2018,29
3.53,2019,13
0.77,2019,34
1.48,2019,35
1.55,2019,22
6.46,2019,1
1.61,2019,20
1.74,2019,21
4.21,2019,44
0.98,2019,32
0.47,2019,33
10.9,2019,8
3.21,2019,14
2.09,2019,37
4.46,2019,12
2.89,2019,40
1.44,2019,27
7.16,2019,2
2.86,2019,15
3.71,2019,45
4.65,2019,46
5.14,2019,47
6.03,2019,48
5.32,2019,49
8.04,2019,52
1.41,2019,36
6.65,2019,10
5.1,2019,11
1.38,2019,26
2.65,2019,17
3.05,2019,41
7.93,2019,3
2.68,2019,16
0.9,2019,23
1.85,2019,18
1.81,2019,19
8.78,2019,51
15.38,2019,7
NA,2019,9
2.12,2019,38
2.51,2019,39
1.3,2019,28
1.35,2019,24
1.45,2019,25
3.39,2019,42
18.74,2019,6
3.76,2019,43
7.01,2019,4
7.24,2019,50
1.26,2019,30
1.25,2019,31
1.31,2019,29
9.72,2019,5
2.42,2020,51
0.95,2020,37
2.15,2020,52
7.9,2020,3
6.28,2020,1
2.08,2020,42
7.09,2020,2
2.5,2020,50
0.94,2020,36
5.29,2020,5
6.46,2020,6
2.31,2020,47
6.83,2020,4
2.37,2020,43
2.33,2020,46
1.14,2020,38
2.04,2020,44
2.15,2020,45
1.63,2020,41
2.47,2020,48
5.34,2020,7
0.77,2020,9
0.44,2020,8
2.61,2020,49
1.32,2020,39
1.55,2020,40
2.58,2021,49
1.88,2021,6
0.96,2021,32
1,2021,33
1.11,2021,18
0.89,2021,35
0.93,2021,36
1.56,2021,12
0.98,2021,34
2.01,2021,5
0.94,2021,37
1.13,2021,38
1.3,2021,39
1.53,2021,40
1.61,2021,41
2.06,2021,42
1.69,2021,10
1.55,2021,11
2.1,2021,1
2.64,2021,2
2.24,2021,3
2.23,2021,4
1.03,2021,19
0.89,2021,20
1.33,2021,21
0.91,2021,22
2.47,2021,50
3.43,2021,51
3.34,2021,52
0.86,2021,25
0.7,2021,26
1.45,2021,15
1.32,2021,16
1.32,2021,17
0.9,2021,31
2.01,2021,7
1.76,2021,8
1.79,2021,9
1.16,2021,13
1.43,2021,14
2.35,2021,43
2.02,2021,44
2.13,2021,45
2.31,2021,46
2.29,2021,47
2.44,2021,48
0.88,2021,24
0.72,2021,28
0.7,2021,29
0.87,2021,30
0.83,2021,27
0.83,2021,23
2.14,2022,39
2.07,2022,40
1.73,2022,37
2.03,2022,2
0.08,2022,17
0.2,2022,18
1.85,2022,38
2.99,2022,44
2.77,2022,45
3.17,2022,46
1.4,2022,1
2.99,2022,48
2.35,2022,41
2.41,2022,42
2.92,2022,47
2.46,2022,43
0.08,2022,19
0.05,2022,20
0.15,2022,21
0.14,2022,22
1.85,2022,3
2.56,2022,4
2.04,2022,5
1.36,2022,6
3.84,2022,49
4.28,2022,50
5.03,2022,51
5.33,2022,52
0.22,2022,13
0.1,2022,14
0.06,2022,15
0.08,2022,16
1.66,2022,36
1.17,2022,7
0.6,2022,8
0.38,2022,9
0.31,2022,10
0.25,2022,11
0.22,2022,12
