"rate","season","week"
0.22,2010,16
0.06,2010,31
0.23,2010,48
0.24,2010,49
0.24,2010,10
0.35,2010,9
0.35,2010,5
0.18,2010,15
0.04,2010,30
0.35,2010,2
0.15,2010,14
0.18,2010,12
0.32,2010,3
0.23,2010,11
0.24,2010,50
0.16,2010,41
0.42,2010,4
0.2,2010,40
0.23,2010,38
0.11,2010,17
0.15,2010,51
0.25,2010,52
0.11,2010,23
0.35,2010,7
0.13,2010,21
0.21,2010,22
0.2,2010,13
0.03,2010,34
0.21,2010,8
0.05,2010,28
0.44,2010,6
0.16,2010,19
0.13,2010,24
0.21,2010,37
0.3,2010,1
0.13,2010,20
0.21,2010,39
0.05,2010,32
0.05,2010,33
0.14,2010,36
0.06,2010,29
0.11,2010,18
0.08,2010,35
0.14,2010,25
0.12,2010,26
0.08,2010,27
0.06,2011,22
0.13,2011,13
0.04,2011,21
0.11,2011,37
0.34,2011,8
0.17,2011,52
0.09,2011,16
0.24,2011,48
0.18,2011,14
0.48,2011,6
0.04,2011,28
0.15,2011,15
0.46,2011,7
0.15,2011,49
0.14,2011,50
0.07,2011,19
0.66,2011,5
0.07,2011,36
0.18,2011,12
0.09,2011,27
0.09,2011,20
0.18,2011,38
0.33,2011,9
0.32,2011,11
0.05,2011,29
0.74,2011,3
0.05,2011,33
0.05,2011,34
0.26,2011,51
0.09,2011,18
0.06,2011,17
0.1,2011,26
0.11,2011,23
0.05,2011,25
0.11,2011,39
0.06,2011,32
0.04,2011,35
0.58,2011,1
0.61,2011,4
0.07,2011,30
0.15,2011,40
0.21,2011,41
0.07,2011,31
0.18,2011,10
0.48,2011,2
0.04,2011,24
0.2,2012,1
0.21,2012,2
0.22,2012,3
0.04,2012,34
0.06,2012,32
0.19,2012,17
0.08,2012,33
0.24,2012,4
0.06,2012,31
0.11,2012,26
0.08,2012,27
0.2,2012,16
0.05,2012,24
0.06,2012,28
0.25,2012,11
0.19,2012,41
0.16,2012,23
0.25,2012,52
0.1,2012,25
0.46,2012,10
0.17,2012,40
0.14,2012,20
0.1,2012,38
0.25,2012,19
0.14,2012,15
0.1,2012,30
0.04,2012,35
0.2,2012,14
0.17,2012,39
0.24,2012,5
0.28,2012,9
0.08,2012,37
0.12,2012,18
0.27,2012,13
0.08,2012,21
0.27,2012,8
0.2,2012,49
0.27,2012,51
0.18,2012,48
0.29,2012,6
0.25,2012,12
0.05,2012,29
0.05,2012,22
0.25,2012,50
0.11,2012,36
0.33,2012,7
0.79,2013,9
0.2,2013,37
0.8,2013,8
0.44,2013,12
0.5,2013,13
0.37,2013,14
0.79,2013,7
0.7,2013,10
0.72,2013,4
0.25,2013,48
0.14,2013,19
0.45,2013,1
1,2013,5
0.45,2013,3
0.44,2013,11
0.11,2013,20
0.14,2013,36
0.61,2013,2
0.81,2013,6
0.34,2013,16
0.15,2013,17
0.42,2013,15
0.14,2013,18
0.09,2013,21
0.09,2013,34
0.14,2013,49
0.05,2013,32
0.15,2013,52
0.15,2013,22
0.08,2013,28
0.06,2013,35
0.19,2013,39
0.05,2013,29
0.22,2013,38
0.09,2013,27
0.03,2013,33
0.15,2013,41
0.03,2013,30
0.04,2013,31
0.22,2013,50
0.26,2013,51
0.11,2013,26
0.14,2013,23
0.12,2013,24
0.06,2013,25
0.14,2013,40
0.11,2014,33
0.2,2014,27
0.86,2014,51
0.11,2014,29
0.16,2014,17
0.11,2014,34
