"COUNTRY_CODE","ISO_YEAR","Temperature_variation","GDP_percapita","International_Departure","Air_passenger","Population","medium","N_medium","time_medium","rate_medium","high","N_high","time_high","rate_high","veryhigh","N_veryhigh","time_veryhigh","rate_veryhigh"
"Canada",2019,-0.5078126,56470.46,896.63635,91504000,37294942,1,3,1,0.39,1,2,1,0.48,0,0,52,0.57
"Canada",2020,0.0808839,56713.09,875.1052,93352000,37782884,0,0,52,0.46,0,0,52,0.8,0,0,52,1
"Canada",2021,0.14486949,53274.91,235.01611,27620000,38171851,0,0,52,0.28,0,0,52,0.48,0,0,52,0.53
"Canada",2022,0.9466178,55781.7,128.82921,24951000,38454011,1,43,1,0.07,1,37,1,0.08,0,0,52,0.09
"Canada",2023,0.12674737,56872.605,551.24506,26285500,38821209,0,0,52,0.18,0,0,52,0.23,0,0,52,0.31
"Canada",2024,1.8944861,55918.93,551.24506,26285500,39299053,0,0,52,0.18,0,0,52,0.23,0,0,52,0.31
"Mexico",2017,0.37046942,21836.922,165.42155,53313308,122251299,1,24,1,0.31,1,22,2,0.41,0,0,52,0.51
"Mexico",2018,0.5263314,22038.57,154.51378,58537830,123400004,1,13,2,0.7,1,5,2,0.94,0,0,52,1.23
"Mexico",2019,0.2021048,22261.46,158.52467,64569640,124573671,1,17,1,0.79,1,10,2,0.95,0,0,52,0.98
"Mexico",2020,0.4839848,21964.354,157.5186,69937840,125762928,1,37,2,0.89,1,36,3,1.2,0,0,52,1.23
"Mexico",2021,0.7226882,19964.967,57.926327,34133108,126798998,1,34,1,1.34,1,16,1,18.72,0,0,52,20.03
"Mexico",2022,0.38083363,21031.709,91.540726,54217876,127648107,1,5,1,30.12,1,5,1,32.47,0,0,52,37.66
"Mexico",2023,0.105547905,21643.973,106.90982,44175492,128613066,0,0,52,22.75,0,0,52,30.78,0,0,52,33.38
"Mexico",2024,0.82084066,22142.607,106.90982,44175492,129739713,0,0,52,22.75,0,0,52,30.78,0,0,52,33.38
"United States",2014,-0.3958144,62089.348,191.6337,743171000,320110710,1,2,51,10.29,1,2,51,11.16,0,0,52,12.31
"United States",2015,-0.1438764,63191.246,211.02373,762710000,323115328,1,7,1,7.8,1,2,1,10.19,0,0,52,11.98
"United States",2016,0.74830776,64575.406,227.49152,798222000,326126448,1,1,10,9,0,0,52,9.87,0,0,52,10.38
"United States",2017,1.224122,65275.57,243.70604,824039000,329179362,1,10,3,8.61,1,6,5,9.51,0,0,52,10.02
"United States",2018,0.86791486,66458.02,263.8645,849403000,332204602,1,15,1,8.36,1,10,1,11.03,0,0,52,12.06
"United States",2019,0.49120387,68070.21,277.97525,889024000,335056439,1,15,4,12.69,1,10,5,15.49,0,0,52,21.17
"United States",2020,0.25777173,69511.766,295.28522,926737000,337790020,1,12,1,20.76,1,5,4,26.26,0,0,52,27.59
"United States",2021,0.6810333,67352.39,98.69132,369501000,339436106,1,2,51,22.27,1,1,52,26.85,0,0,52,28.35
"United States",2022,0.62702185,71318.305,98.69132,666153000,340161392,1,11,1,24,1,10,43,29.65,0,0,52,32.22
"United States",2023,0.2750573,72841.92,196.98827,796445000,341533996,1,3,50,37.85,1,2,51,44.05,0,0,52,47.45
"United States",2024,0.76156026,74577.51,196.98827,796445000,343477286,1,3,50,37.85,1,2,51,44.05,0,0,52,47.45
