"rate","season","week"
8.14,2015,11
8.47,2015,12
6.22,2015,13
7.93,2015,14
6.99,2015,15
11.36,2015,16
16.61,2015,26
16.67,2015,27
18.44,2015,28
7.17,2015,10
9.13,2015,22
12.59,2015,35
11.28,2015,36
11.61,2015,37
10.83,2015,38
10.39,2015,39
17.29,2015,40
10.51,2015,43
11.02,2015,44
9.27,2015,45
9.4,2015,46
6.23,2015,9
11.44,2015,19
11.61,2015,20
9.39,2015,21
5.99,2015,1
6.17,2015,2
5.07,2015,3
5.13,2015,4
10.59,2015,47
8.19,2015,48
9.37,2015,49
6.28,2015,50
3.79,2015,51
12.35,2015,34
14.42,2015,33
13.01,2015,24
16.48,2015,25
8.64,2015,7
12.17,2015,23
11.82,2015,18
5.29,2015,5
5.49,2015,6
5.94,2015,8
8.4,2015,41
11.61,2015,17
17.11,2015,29
15.98,2015,31
12.93,2015,32
17.66,2015,30
8.48,2015,42
19.74,2016,29
16.55,2016,36
20.41,2016,13
12.8,2016,42
21.03,2016,37
15.57,2016,47
21.69,2016,34
17.19,2016,35
15.06,2016,10
25.48,2016,19
14.47,2016,12
20.36,2016,41
18.45,2016,3
19.02,2016,11
11.31,2016,46
9.24,2016,8
15.03,2016,9
16.26,2016,39
20.36,2016,30
25.09,2016,31
24.21,2016,18
16.39,2016,1
14.7,2016,43
21.1,2016,33
22.66,2016,32
15.11,2016,14
16.01,2016,15
18.4,2016,16
18.32,2016,17
12.34,2016,49
27.72,2016,20
14.31,2016,4
13.55,2016,5
51.64,2016,24
39.85,2016,25
15.34,2016,44
13.44,2016,45
11.92,2016,48
19.1,2016,40
33.22,2016,28
19.95,2016,38
9.94,2016,51
11.59,2016,6
10.84,2016,7
12.45,2016,50
29.65,2016,27
8.59,2016,52
35.28,2016,23
27.22,2016,26
16.87,2016,2
31.21,2016,22
33.42,2016,21
11.28,2017,52
18.66,2017,33
20.11,2017,34
14.46,2017,50
16.52,2017,44
17.72,2017,45
11.39,2017,8
13.06,2017,51
17.81,2017,36
17.83,2017,37
13.28,2017,9
21.52,2017,35
17.18,2017,42
17.89,2017,43
14.63,2017,3
14.26,2017,4
14.52,2017,5
13.33,2017,6
10.43,2017,7
20.47,2017,32
24.5,2017,14
14.49,2017,15
22.12,2017,16
26.97,2017,19
28.57,2017,18
19.43,2017,40
16.07,2017,41
8.84,2017,1
31.44,2017,20
36.69,2017,21
21.49,2017,13
35.99,2017,24
34.18,2017,25
24.86,2017,28
14.66,2017,10
23.71,2017,11
24.26,2017,17
17.48,2017,39
14.19,2017,49
20.12,2017,29
29.6,2017,22
11.28,2017,2
31.82,2017,26
15.09,2017,48
20.77,2017,30
30.13,2017,23
20.46,2017,12
19.51,2017,38
28.87,2017,27
21.16,2017,31
18.03,2017,47
18.93,2017,46
9.17,2018,50
10.37,2018,51
21.74,2018,37
14.6,2018,19
37.84,2018,33
35.49,2018,34
29.07,2018,35
22.85,2018,31
10.83,2018,13
17.82,2018,40
17.49,2018,41
18.67,2018,42
7.59,2018,6
6.46,2018,3
32.11,2018,32
13.92,2018,14
16.16,2018,15
25.11,2018,36
15.58,2018,18
14.43,2018,17
10.6,2018,7
18.61,2018,43
12.06,2018,10
12.63,2018,11
9.5,2018,5
8.27,2018,4
18.56,2018,44
16.73,2018,45
18.16,2018,46
15.18,2018,47
14.84,2018,48
20.27,2018,39
13.41,2018,49
7.59,2018,1
10.4,2018,8
10.34,2018,9
14.56,2018,20
22.94,2018,29
8.21,2018,2
22.22,2018,25
25.33,2018,28
21.08,2018,26
20.94,2018,30
13.18,2018,12
16.16,2018,16
22.21,2018,38
18.34,2018,21
23.95,2018,24
21.95,2018,23
22.77,2018,27
21.28,2018,22
9.94,2019,6
17.58,2019,28
8.84,2019,5
20.9,2019,33
21.42,2019,34
17.44,2019,29
21.91,2019,36
17.46,2019,37
33.09,2019,24
22.57,2019,35
19.86,2019,27
7.64,2019,4
18.36,2019,39
27.07,2019,25
15.53,2019,31
16.32,2019,38
11.16,2019,2
15.3,2019,30
21.59,2019,32
10.15,2019,3
11.81,2019,15
11.82,2019,1
12.76,2019,17
13.25,2019,14
13.87,2019,19
12.76,2019,16
14.85,2019,40
21.3,2019,18
13.03,2019,42
23.12,2019,21
26.81,2019,22
29.59,2019,23
24.78,2019,26
8.85,2019,7
7.27,2019,8
10.77,2019,9
12.3,2019,10
13.19,2019,11
14.69,2019,12
14.3,2019,13
13.48,2019,41
19.34,2019,20
1.87,2020,20
3.46,2020,21
8.57,2020,51
9.37,2020,52
10.27,2020,31
2.86,2020,23
3.58,2020,24
3.6,2020,16
9.16,2020,37
7.36,2020,39
4.05,2020,22
7.9,2020,46
9.47,2020,1
8.84,2020,53
6.5,2020,28
9.16,2020,29
9.35,2020,30
8.16,2020,38
8.84,2020,36
5.7,2020,40
2.16,2020,19
8.31,2020,47
2.31,2020,18
6.93,2020,45
10.71,2020,5
5.14,2020,6
3.26,2020,25
10.74,2020,4
8.81,2020,50
8.48,2020,7
9.07,2020,9
6.12,2020,14
7.03,2020,44
4.31,2020,15
6.69,2020,8
9.25,2020,48
5.23,2020,26
2.57,2020,17
7.19,2020,3
8.39,2020,35
6.51,2020,33
6.81,2020,2
5.98,2020,13
5.12,2020,34
5.33,2020,43
5.64,2020,12
5.54,2020,41
5.38,2020,42
7.15,2020,49
4.87,2020,27
15.03,2020,10
13.87,2020,11
10.55,2020,32
10.62,2021,30
17.99,2021,11
10.86,2021,28
14.74,2021,10
13.86,2021,18
9.41,2021,29
9.74,2021,3
17.38,2021,21
14.74,2021,19
18.66,2021,20
11.41,2021,25
12.2,2021,26
10.68,2021,8
13.62,2021,27
15.02,2021,17
12.16,2021,1
8.04,2021,4
16.65,2021,9
15.63,2021,22
17.38,2021,15
6.58,2021,34
10.53,2021,2
15.44,2021,16
9.05,2021,5
14.81,2021,13
8.76,2021,32
13.66,2021,7
14.23,2021,14
9.98,2021,31
10.37,2021,24
11.23,2021,6
16.01,2021,12
16.02,2021,23
7.55,2021,35
8.58,2021,33
1.87,2022,8
15.9,2022,17
10.75,2022,16
9.36,2022,15
12.03,2022,44
27.55,2022,26
13.94,2022,45
6.86,2022,13
17,2022,47
10.93,2022,12
4.72,2022,7
16.69,2022,29
10.1,2022,52
15.23,2022,48
19.58,2022,28
23.14,2022,25
21.47,2022,24
17.03,2022,18
8.7,2022,14
25.53,2022,27
17.36,2022,23
11.69,2022,6
14.97,2022,34
12.37,2022,42
4.1,2022,9
15.49,2022,35
18.71,2022,46
10.31,2022,30
12,2022,43
12.09,2022,51
16.25,2022,50
11.27,2022,41
17.03,2022,36
20.88,2022,22
13.76,2022,49
13.66,2022,33
13.15,2022,40
28.43,2022,21
16.87,2022,37
15.22,2022,38
7.6,2022,10
25.57,2022,20
9.14,2022,5
11.56,2022,32
13.58,2022,39
17.92,2022,19
8.21,2022,4
11.86,2022,11
28.55,2022,1
22.25,2022,3
11.78,2022,31
28.93,2022,2
27.41,2023,23
25.49,2023,21
7.21,2023,4
24.18,2023,24
13.13,2023,39
7.55,2023,3
22.94,2023,22
18.09,2023,40
11.78,2023,49
12.18,2023,50
7.46,2023,2
16.63,2023,41
13.38,2023,38
22.55,2023,20
11.47,2023,52
16.8,2023,34
14.5,2023,32
6.6,2023,5
15.8,2023,18
7.49,2023,1
10.76,2023,12
11.11,2023,13
14.12,2023,36
13.03,2023,43
13.69,2023,37
13.09,2023,17
14.21,2023,19
12.81,2023,30
11.16,2023,15
13.99,2023,31
13.76,2023,33
17.69,2023,35
10.26,2023,11
8.88,2023,51
14.44,2023,45
10.78,2023,14
20.67,2023,25
11.27,2023,16
9.23,2023,10
13.04,2023,29
9.25,2023,9
13.74,2023,47
10.7,2023,48
16.41,2023,42
7.33,2023,8
5.49,2023,6
16.38,2023,26
14.71,2023,28
12.08,2023,44
5.74,2023,7
17.85,2023,27
12.91,2023,46
9.33,2024,52
11.7,2024,16
11.63,2024,51
19.07,2024,29
18.48,2024,31
17.69,2024,28
27.59,2024,25
21.19,2024,27
15.21,2024,17
9.41,2024,15
5.84,2024,9
22.41,2024,26
9.76,2024,14
5.48,2024,8
10.54,2024,50
8.09,2024,10
5.6,2024,7
12.67,2024,49
13.89,2024,45
10.77,2024,12
15.32,2024,18
16.6,2024,44
24.77,2024,33
17.13,2024,46
6.33,2024,6
20.68,2024,32
15.89,2024,41
37.09,2024,24
15.82,2024,47
8.85,2024,13
12.77,2024,48
19.14,2024,30
15.57,2024,42
6.75,2024,5
31.19,2024,21
32.56,2024,22
36.03,2024,23
7.33,2024,4
16.39,2024,43
21.92,2024,38
11.49,2024,11
18.22,2024,19
20.41,2024,20
26.07,2024,34
21.29,2024,39
17.92,2024,40
27.19,2024,36
24.84,2024,35
8.16,2024,1
7.76,2024,2
6.79,2024,3
26.77,2024,37
