"rate","season","week"
0.04,2016,16
0.01,2016,1
0.02,2016,21
0.04,2016,15
0.03,2016,19
0.04,2016,14
0.03,2016,20
0.03,2016,10
0.04,2016,11
0.04,2016,12
0.06,2016,13
0.04,2016,17
0.03,2016,18
0.02,2016,2
0.02,2016,3
0.02,2016,4
0.03,2016,5
0.03,2016,6
0.02,2016,7
0.02,2016,8
0.02,2016,9
0.02,2017,38
0.02,2017,39
0.03,2017,40
0.02,2017,41
0.01,2017,42
0.02,2017,43
0.01,2017,44
0.04,2017,5
0.01,2017,6
0.01,2017,7
0.01,2017,51
0.01,2017,52
0.01,2017,47
0.02,2017,48
0.03,2017,49
0.02,2017,50
0.05,2017,17
0.03,2017,18
0.02,2017,19
0.01,2017,3
0.05,2017,4
0.02,2017,35
0.01,2017,36
0.02,2017,37
0,2017,45
0.03,2017,46
0.03,2017,29
0.02,2017,14
0.04,2017,15
0.04,2017,16
0.02,2017,13
0.03,2017,2
0.01,2017,32
0.01,2017,33
0.02,2017,34
0.06,2017,28
0.03,2017,20
0.04,2017,1
0.03,2017,27
0.02,2017,12
0.02,2017,24
0.02,2017,30
0.03,2017,31
0.03,2017,26
0.04,2017,22
0.03,2017,23
0,2017,10
0.04,2017,25
0.01,2017,11
0.02,2017,21
0.02,2017,8
0.01,2017,9
0.02,2018,7
0,2018,52
0,2018,48
0.01,2018,50
0.06,2018,16
0.06,2018,18
0.04,2018,19
0.01,2018,49
0.02,2018,15
0.02,2018,1
0.01,2018,51
0.01,2018,47
0.02,2018,43
0.06,2018,38
0.05,2018,17
0.05,2018,39
0.04,2018,46
0.05,2018,6
0.05,2018,5
0.02,2018,45
0.01,2018,11
0.03,2018,14
0.04,2018,31
0.01,2018,13
0.05,2018,41
0,2018,42
0.01,2018,2
0.06,2018,40
0.11,2018,27
0.1,2018,28
0.06,2018,29
0.01,2018,4
0.02,2018,12
0.02,2018,37
0.03,2018,32
0.07,2018,30
0.03,2018,44
0.16,2018,25
0.09,2018,22
0.04,2018,33
0.19,2018,24
0.05,2018,34
0.03,2018,36
0.11,2018,23
0.01,2018,8
0.01,2018,9
0.02,2018,10
0.14,2018,26
0.05,2018,20
0.06,2018,21
0.01,2018,3
0.03,2018,35
0.11,2021,16
0.13,2021,24
0.16,2021,13
0.1,2021,15
0.07,2021,17
0.1,2021,23
0.04,2021,21
0.21,2021,50
0.12,2021,14
0.07,2021,22
0.11,2021,33
0.96,2021,35
1.01,2021,36
0.06,2021,18
0.08,2021,31
0.02,2021,20
0.19,2021,6
0.14,2021,32
0.12,2021,9
0.05,2021,48
0.08,2021,34
0.07,2021,45
0.19,2021,44
0.13,2021,10
0.04,2021,19
0.12,2021,30
0.25,2021,28
0.08,2021,46
0.05,2021,47
0.25,2021,5
0.15,2021,7
0.06,2021,8
0.06,2021,1
0.12,2021,49
0.08,2021,12
0.06,2021,43
0.21,2021,40
0.1,2021,11
0.08,2021,29
0.22,2021,3
2.24,2021,37
0.05,2021,41
0.08,2021,2
0.07,2021,42
0.19,2021,27
0.15,2021,39
0.15,2021,26
0.12,2021,25
0.32,2021,4
1.71,2021,38
0.48,2022,52
0.37,2022,23
0.16,2022,49
0.06,2022,51
0.38,2022,24
0.33,2022,22
0.08,2022,35
0.08,2022,36
0.54,2022,17
0.53,2022,18
0.51,2022,21
0.35,2022,6
0.16,2022,50
0.56,2022,16
0.13,2022,33
0.11,2022,34
0.14,2022,30
0.32,2022,28
0.26,2022,15
0.51,2022,19
0.65,2022,20
0.38,2022,13
0.17,2022,8
0.23,2022,32
0.2,2022,48
0.26,2022,29
0.11,2022,43
0.94,2022,10
0.68,2022,11
0.28,2022,7
0.05,2022,42
0.51,2022,14
0.06,2022,31
0.43,2022,4
0.4,2022,12
0.38,2022,5
0.79,2022,9
0.2,2022,47
0.21,2022,46
0.4,2022,27
0.07,2022,44
2.2,2022,1
0.08,2022,40
1.4,2022,2
0.07,2022,37
0.12,2022,45
0.07,2022,38
0.11,2022,41
0.28,2022,26
0.03,2022,39
0.4,2022,25
1.21,2022,3
0.15,2023,6
0.19,2023,49
0.41,2023,24
0.15,2023,5
0.11,2023,4
0.55,2023,16
0.15,2023,50
0.33,2023,23
0.1,2023,3
1.32,2023,13
1.03,2023,15
0.17,2023,51
0.91,2023,18
0.22,2023,36
0.16,2023,30
0.56,2023,17
0.36,2023,22
0.12,2023,2
0.12,2023,43
1.09,2023,14
0.65,2023,32
0.48,2023,33
0.16,2023,35
0.27,2023,28
0.24,2023,44
0.33,2023,21
0.66,2023,20
0.13,2023,1
0.26,2023,8
0.46,2023,31
0.14,2023,47
0.14,2023,34
0.14,2023,37
0.27,2023,9
0.3,2023,10
0.19,2023,7
0.21,2023,48
0.14,2023,39
0.2,2023,45
0.56,2023,19
0.37,2023,11
0.64,2023,12
0.13,2023,38
0.16,2023,46
0.15,2023,41
0.22,2023,29
0.27,2023,42
0.15,2023,40
0.43,2023,25
0.34,2023,26
0.29,2023,27
0.11,2024,15
0.18,2024,2
0.24,2024,1
0.04,2024,13
0.08,2024,14
0.46,2024,24
0.31,2024,23
0.1,2024,5
0.07,2024,6
0.11,2024,3
0.08,2024,4
0.26,2024,22
0.18,2024,43
0.18,2024,44
0.37,2024,31
0.14,2024,16
0.16,2024,17
0.16,2024,18
0.4,2024,35
0.44,2024,36
0.1,2024,7
0.31,2024,20
0.25,2024,39
0.16,2024,45
0.27,2024,21
0.33,2024,32
0.3,2024,33
0.3,2024,34
0.19,2024,46
0.24,2024,19
0.07,2024,8
0.1,2024,9
0.38,2024,30
0.2,2024,41
0.39,2024,37
0.34,2024,38
0.31,2024,40
0.07,2024,10
0.18,2024,42
0.14,2024,47
0.04,2024,48
0.38,2024,25
0.05,2024,11
0.1,2024,12
0.48,2024,28
0.44,2024,29
0.28,2024,26
0.5,2024,27
