"rate","season","week"
0.97,2011,34
0.33,2011,35
1.03,2011,36
1.24,2011,40
1.39,2011,37
1.5,2011,38
1.72,2011,39
0.3,2011,47
1.66,2011,41
1.17,2011,42
1.36,2011,46
1.02,2011,45
1.19,2011,48
0.28,2011,52
1.03,2011,44
0.49,2011,49
1.33,2011,43
0.63,2011,51
0.85,2011,50
0.56,2012,30
0.24,2012,41
0.61,2012,12
0.44,2012,11
0.43,2012,33
0.31,2012,34
0.46,2012,31
0,2012,32
0.69,2012,26
0.5,2012,27
0.49,2012,28
0.4,2012,13
0.31,2012,14
0.31,2012,15
0.5,2012,16
0.24,2012,35
0.31,2012,19
0.21,2012,20
0.21,2012,21
0.26,2012,22
0.52,2012,23
0.29,2012,10
0.79,2012,40
0.24,2012,45
0.31,2012,29
0.4,2012,47
0.37,2012,48
0.24,2012,49
0.44,2012,17
0.18,2012,52
0.69,2012,9
0.32,2012,6
0.84,2012,24
1.18,2012,25
0.12,2012,46
0.43,2012,39
0.4,2012,44
0.43,2012,42
0.14,2012,18
0.64,2012,4
0.67,2012,5
0.06,2012,50
0.21,2012,8
0,2012,37
0.24,2012,38
0.75,2012,7
0.64,2012,2
0.24,2012,51
0.35,2012,3
0.31,2012,43
0.43,2012,36
0.46,2012,1
0.34,2013,13
0.4,2013,14
0.34,2013,26
0.28,2013,27
0.34,2013,12
0.64,2013,31
0.28,2013,32
0.31,2013,30
0.51,2013,35
0.34,2013,19
0.34,2013,20
0.18,2013,24
0.36,2013,21
0.61,2013,25
0.43,2013,23
0.18,2013,10
0.46,2013,11
0.25,2013,28
0.22,2013,46
0.13,2013,47
0.49,2013,33
0.3,2013,34
0.25,2013,18
0.24,2013,49
0,2013,50
0.07,2013,51
0.28,2013,22
0.24,2013,8
0.24,2013,9
0.39,2013,38
0.63,2013,40
0.48,2013,29
0.13,2013,1
0.28,2013,15
0.57,2013,16
0.36,2013,17
0.3,2013,5
0.19,2013,36
0.69,2013,6
0,2013,52
0.36,2013,7
0.49,2013,45
0.51,2013,37
0.6,2013,39
0.37,2013,41
0.33,2013,44
0.37,2013,2
0.13,2013,48
0.18,2013,4
0.42,2013,3
0.28,2013,43
0.6,2013,42
0.44,2014,6
0.48,2014,7
0.2,2014,13
0.17,2014,14
0.16,2014,12
0,2014,3
0.41,2014,4
0.25,2014,5
0.12,2014,2
0.12,2014,9
0.29,2014,10
0.19,2014,11
0.29,2014,8
0.19,2016,47
0,2016,2
0.57,2016,46
0,2016,32
0,2016,3
0,2016,1
0,2016,31
0,2016,42
0.22,2016,43
0,2016,30
0,2016,41
0.01,2016,24
0,2016,25
0,2016,26
0.67,2016,45
0,2016,48
0,2016,49
0,2016,50
0,2016,4
0,2016,34
0,2016,18
0.44,2016,19
0.36,2016,44
0.11,2016,21
0,2016,22
0.62,2016,10
0.22,2016,14
0,2016,29
0,2016,28
0,2016,16
0,2016,35
0,2016,33
0,2016,51
0,2016,5
0.42,2016,6
0,2016,20
0,2016,8
0,2016,23
0,2016,9
0.58,2016,13
0.44,2016,15
0,2016,27
0,2016,17
0,2016,52
0,2016,36
0,2016,40
0.28,2016,11
0,2016,37
0.17,2016,39
0.11,2016,38
0,2016,7
0.61,2016,12
0,2017,24
0,2017,25
0,2017,23
0,2017,34
0,2017,9
0.33,2017,41
0.16,2017,42
0.2,2017,43
0,2017,29
0.61,2017,10
0.22,2017,45
0,2017,32
0,2017,33
0,2017,18
0,2017,5
0.43,2017,19
0,2017,8
0.11,2017,21
0.54,2017,44
0.57,2017,13
0.22,2017,14
0,2017,26
0,2017,30
0,2017,31
0,2017,3
0,2017,4
0,2017,17
0,2017,37
0,2017,6
0,2017,20
0.27,2017,11
0.6,2017,12
0,2017,22
0,2017,2
0.35,2017,46
0,2017,27
0,2017,28
0.2,2017,48
0,2017,35
0.38,2017,47
0.15,2017,51
0,2017,52
0.04,2017,49
0.42,2017,50
0.43,2017,15
0,2017,1
0,2017,16
0.11,2017,38
0,2017,36
0.19,2017,40
0,2017,7
0.16,2017,39
NA,2018,34
0,2018,3
0,2018,24
0,2018,25
NA,2018,29
0,2018,2
NA,2018,28
NA,2018,37
NA,2018,38
NA,2018,27
0,2018,1
NA,2018,47
NA,2018,48
0,2018,4
NA,2018,50
NA,2018,51
NA,2018,30
NA,2018,26
NA,2018,32
NA,2018,35
NA,2018,33
0,2018,5
NA,2018,39
NA,2018,40
0,2018,8
0,2018,9
0,2018,10
0,2018,14
0,2018,15
NA,2018,52
NA,2018,31
0,2018,18
NA,2018,41
NA,2018,36
0.04,2018,17
NA,2018,44
NA,2018,45
NA,2018,42
NA,2018,43
0,2018,11
0,2018,12
NA,2018,46
0.04,2018,16
0.03,2018,19
0,2018,20
0,2018,6
0,2018,7
0.04,2018,22
NA,2018,49
0,2018,13
0.04,2018,21
NA,2019,3
NA,2019,2
NA,2019,9
NA,2019,4
NA,2019,8
NA,2019,15
NA,2019,10
NA,2019,5
NA,2019,14
NA,2019,7
NA,2019,1
NA,2019,12
NA,2019,6
NA,2019,16
NA,2019,13
NA,2019,11
