"COUNTRY_CODE","ISO_YEAR","Population","Air_passenger","Rate_poverty","International_Departure","GDP_percapita","Temperature_variation","Temperature","Vaccination_coverage","medium","high","veryhigh","N_medium","time_medium","rate_medium","N_high","time_high","rate_high","N_veryhigh","time_veryhigh","rate_veryhigh"
"Argentina",2012,41261490,8590840,0.006436801,16150834.6666667,28056.258,-0.030955477,14.485295,98,1,1,0,31,3,47.867803124,6,31,78.58406306,0,52,84.35517790625
"Argentina",2013,41733271,9375670,0.005838938,17319644,29425.76,0.245487422,14.761898,68,1,1,0,31,9,43.13633637,6,9,92.390019794,0,52,113.045099835
"Argentina",2014,42202935,11951277,0.005680576,15914781,28825.967,0.342065947,15.185525,98,1,0,0,1,27,84.97,0,52,105.61,0,52,115.2
"Argentina",2015,42669500,12121913,0.00559655,15218079,29227.66,0.036709908,15.062551,90.2,1,0,0,1,27,84.07,0,52,105.61,0,52,115.2
"Argentina",2016,43131966,14245183,0.006436801,18047919,28200.814,0.03592793,14.981773,100,1,1,1,8,22,77.53,7,23,84.81,7,23,85.99
"Argentina",2017,43590368,15076354,0.006116558,23854868,28669.207,0.096319726,15.12271,98,1,1,1,4,39,103.14,3,40,109.01,3,40,110.24
"Argentina",2018,44044811,16749271,0.003890402,27722406,27802.105,0.161223729,14.622075,37,0,0,0,0,52,108.33,0,52,110.86,0,52,115.54
"Argentina",2019,44494502,18084552,0.007050759,25059895,28334.904,-0.23909623,15.129823,100,0,0,0,0,52,71.27,0,52,105.89,0,52,119.24
"Argentina",2020,44938712,19461376,0.007212156,20368521,27367.115,0.116684055,14.943974,0,0,0,0,0,52,61.99,0,52,64.32,0,52,64.62
"Argentina",2021,45376763,3680874,0.009899406,6308282,26629.553,0.324405624,15.001052,0,0,0,0,0,52,52.4,0,52,61.22,0,52,64.36
"Argentina",2022,45376763,8590840,0.0064158947,18421597,23877.094,-0.030955477,15.251496,98,1,1,1,46,1,25.97,40,3,32.91,40,3,32.91
"Argentina",2023,45376763,8590840,0.0064158947,11321509,26300.273,-0.030955477,15.234355,98,1,1,1,25,9,44.23,1,39,85.94,1,39,85.94
"Argentina",2024,45376763,8590840,0.0064158947,14871553,27627.963,-0.030955477,14.760689,98,1,1,1,5,37,82.75,5,37,85.97,5,37,86.84
"Bolivia",2016,11090085,4115271,0.046299645,8701463,8851.712,0.418794847,20.513966,71,1,1,0,1,52,4.78,1,52,4.78,0,52,4.78
"Bolivia",2018,11435533,4053427.2,0.049333599,8718438,9390.791,0.361996042,20.647768,63,1,1,0,52,1,0,52,1,0,0,52,0.01
"Bolivia",2022,11435533,8590840,0.047816622,3157157,9000.976,-0.030955477,21.083227,98,1,1,1,51,1,0,39,1,0.03,33,1,0.06
"Bolivia",2023,11435533,8590840,0.047816622,6801356,9454.198,-0.030955477,20.473646,98,1,1,1,24,1,0.03,17,6,0.21,15,7,0.38
"Brazil",2015,203459650,100403630,0.033259484,47267357,19241.506,0.173381485,25.060377,86,1,1,0,28,10,8.21,5,19,10.324,0,52,11.185
"Brazil",2016,205188205,102039360,0.038774729,46191740,19183.172,0.389170641,25.171837,89,1,1,0,31,11,8.46,6,15,12.106,0,52,12.54175
"Brazil",2017,206859578,94142376,0.047061925,42888996,18357.068,0.44834347,25.683662,96,1,1,1,15,11,11.93,3,13,12.91,3,13,12.91
"Brazil",2018,208504960,96395710,0.052690492,50886078,17620.928,0.382904848,25.5642,88,1,1,1,52,1,13.3,52,1,14.2,52,1,14.2
"Brazil",2019,210166592,102109976,0.053017622,50569412,17724.48,0.094108739,25.381369,97,0,0,0,0,52,49.76,0,52,132.72,0,52,132.72
"Chile",2015,17687108,14347893,0.006436801,17917004,27300.996,-0.023597527,9.271553,98,1,1,0,31,16,0.494,6,33,1.896,0,52,2.299
