"COUNTRY_CODE","ISO_YEAR","Air_passenger_1year","Air_passenger_2year","rate_poverty_1year","rate_poverty_2year","Departure_1year","Departure_2year","GDP_percapita_1year","GDP_percapita_2year","temperature_anommaly_1year","temperature_anommaly_2year","temperature_1year","temperature_2year","vaccine_coverage_1year","vaccine_coverage_2year","population_1year","population_2year","medium","high","veryhigh"
"Argentina",2012,8590840,9025035,0.006436801,0.006807588,16102797,1291237,29425.76,28056.258,-0.030955477,-0.246546655,14.761898,14.485295,98,100,41261490,40788453,1,0,0
"Argentina",2013,9375670,8590840,0.005838938,0.006436801,17319644,16102797,28825.967,29425.76,0.245487422,-0.030955477,15.185525,14.761898,68,98,41733271,41261490,1,1,1
"Argentina",2014,11951277,9375670,0.005680576,0.005838938,15914781,17319644,29227.66,28825.967,0.342065947,0.245487422,15.062551,15.185525,98,68,42202935,41733271,1,0,0
"Argentina",2015,12121913,11951277,0.00559655,0.005680576,15218079,15914781,28200.814,29227.66,0.036709908,0.342065947,14.981773,15.062551,90.2,98,42669500,42202935,1,0,0
"Argentina",2016,14245183,12121913,0.00559655,0.00559655,18047919,15218079,28669.207,28200.814,0.03592793,0.036709908,15.12271,14.981773,100,90.2,43131966,42669500,1,1,1
"Argentina",2017,15076354,14245183,0.006116558,0.00559655,23854868,18047919,27802.105,28669.207,0.096319726,0.03592793,14.622075,15.12271,100,100,43590368,43131966,1,1,1
"Argentina",2018,16749271,15076354,0.003890402,0.006116558,27722406,23854868,28334.904,27802.105,0.161223729,0.096319726,15.129823,14.622075,37,100,44044811,43590368,0,0,0
"Argentina",2019,18084552,16749271,0.007050759,0.003890402,25059895,27722406,27367.115,28334.904,-0.23909623,0.161223729,14.9439745,15.129823,100,37,44494502,44044811,0,0,0
"Argentina",2020,19461376,18084552,0.007212156,0.007050759,20368521,25059895,26629.553,27367.115,0.116684055,-0.23909623,15.001052,14.9439745,0,100,44938712,44494502,0,0,0
"Argentina",2021,3680874,19461376,0.009899406,0.007212156,6308282,20368521,23877.094,26629.553,0.324405624,0.116684055,15.251496,15.001052,0,0,45376763,44938712,0,0,0
"Argentina",2022,8590840,9025035,0.006436801,0.006807588,16102797,1291237,26300.273,23877.094,-0.030955477,-0.246546655,15.234355,15.251496,98,100,41261490,40788453,1,1,1
"Argentina",2023,8590840,9025035,0.006436801,0.006807588,16102797,1291237,27627.963,26300.273,-0.030955477,-0.246546655,14.760689,15.234355,98,100,41261490,40788453,1,1,1
"Argentina",2024,8590840,9025035,0.006436801,0.006807588,16102797,1291237,27104.98,27627.963,-0.030955477,-0.246546655,15.652064,14.760689,98,100,41261490,40788453,1,1,1
"Bolivia",2016,8590840,9025035,0.006436801,0.006807588,16102797,1291237,9141.929,8851.712,-0.030955477,-0.246546655,20.933418,20.513966,98,100,41261490,40788453,1,1,1
"Bolivia",2018,8590840,9025035,0.006436801,0.006807588,16102797,1291237,9642.813,9390.791,-0.030955477,-0.246546655,20.689133,20.647768,98,100,41261490,40788453,1,1,1
"Bolivia",2022,8590840,9025035,0.006436801,0.006807588,16102797,1291237,9454.198,9000.976,-0.030955477,-0.246546655,20.473646,21.083227,98,100,41261490,40788453,1,1,1
"Bolivia",2023,8590840,9025035,0.006436801,0.006807588,16102797,1291237,9681.707,9454.198,-0.030955477,-0.246546655,20.415648,20.473646,98,100,41261490,40788453,1,1,1
