"rate","season","week"
0.76,2010,50
0.26,2010,49
0.07,2010,22
0.16,2010,40
0.02,2010,35
0.4,2010,48
0.1,2010,21
0.05,2010,38
0.13,2010,15
1.38,2010,51
2.08,2010,52
0.03,2010,26
0.32,2010,4
0.02,2010,29
0.17,2010,11
0.44,2010,1
0.25,2010,7
0.51,2010,2
0.01,2010,36
0.02,2010,37
0.11,2010,16
0.01,2010,34
0.09,2010,14
0.02,2010,25
0.03,2010,23
0.03,2010,24
0.02,2010,27
0.18,2010,10
0.35,2010,5
0.29,2010,6
0.12,2010,17
0.4,2010,3
0.38,2010,47
0.1,2010,20
0.01,2010,33
0.1,2010,13
0.2,2010,8
0.02,2010,28
0.11,2010,19
0.02,2010,30
0.2,2010,9
0.11,2010,18
0,2010,32
0.01,2010,31
0.15,2010,12
0.09,2011,17
4.34,2011,3
2.85,2011,1
0.2,2011,40
0.07,2011,18
0.48,2011,48
4.42,2011,2
0.09,2011,19
0.4,2011,13
0.17,2011,14
2.24,2011,7
0.26,2011,49
0.07,2011,20
0.4,2011,47
1.52,2011,8
2.91,2011,6
0.06,2011,16
0.69,2011,10
0.96,2011,9
0.89,2011,52
0.17,2011,15
0.52,2011,50
0.59,2011,11
0.75,2011,51
0.4,2011,12
3.44,2011,5
3.95,2011,4
0.14,2012,18
0.73,2012,1
0.25,2012,49
0.19,2012,17
0.27,2012,47
0.65,2012,12
0.33,2012,48
0.15,2012,40
0.37,2012,50
2.53,2012,9
0.43,2012,51
1.54,2012,10
0.24,2012,16
0.1,2012,20
1.06,2012,11
0.13,2012,19
0.24,2012,14
2.7,2012,3
0.3,2012,52
0.42,2012,13
1.78,2012,2
4.25,2012,5
0.25,2012,15
3.94,2012,8
3.85,2012,4
4.97,2012,6
5.05,2012,7
4.39,2013,8
0.17,2013,17
0.45,2013,14
0.34,2013,15
0.12,2013,40
0.09,2013,20
0.66,2013,51
1.76,2013,3
0.3,2013,1
3.15,2013,9
0.08,2013,18
0.09,2013,19
0.3,2013,47
0.32,2013,48
4.42,2013,7
1.63,2013,12
0.66,2013,52
0.26,2013,16
3.19,2013,10
3.8,2013,5
4.19,2013,6
0.33,2013,49
0.59,2013,13
0.53,2013,50
2.86,2013,4
2.06,2013,11
0.84,2013,2
0,2014,36
0,2014,32
0,2014,38
0,2014,35
0.07,2014,16
0.32,2014,12
0.38,2014,50
0,2014,37
0,2014,23
0.62,2014,10
0,2014,33
0.61,2014,51
0.9,2014,9
0.06,2014,19
0,2014,39
0.11,2014,40
0,2014,30
0,2014,31
4.35,2014,5
0.34,2014,49
0.24,2014,13
0.04,2014,18
0,2014,25
0.38,2014,11
0,2014,21
2.92,2014,2
0,2014,22
0.03,2014,20
0.32,2014,48
0,2014,29
1.37,2014,8
0.16,2014,15
3.02,2014,6
0.07,2014,17
0,2014,28
0,2014,34
5.68,2014,3
1.23,2014,1
0.35,2014,52
0,2014,24
5.96,2014,4
0.22,2014,47
2.01,2014,7
0,2014,27
0.24,2014,14
0,2014,26
0.27,2015,49
0.21,2015,50
1,2015,11
0.15,2015,14
0.4,2015,51
0.21,2015,53
1.75,2015,10
0.1,2015,41
5.05,2015,6
2.57,2015,9
0.4,2015,13
0.32,2015,48
0.42,2015,1
0.18,2015,15
0.04,2015,20
0.26,2015,52
0.06,2015,18
0.19,2015,43
0.25,2015,47
3.82,2015,3
0.07,2015,17
0.08,2015,40
6.25,2015,5
3.27,2015,8
0.13,2015,42
1.33,2015,2
0.19,2015,46
0.71,2015,12
0.14,2015,16
4.41,2015,7
0.2,2015,44
0.04,2015,19
5.41,2015,4
0.21,2015,45
3.13,2016,7
0.44,2016,49
3.33,2016,6
0.57,2016,47
0.64,2016,48
0.19,2016,42
0.1,2016,40
1.82,2016,52
2.99,2016,5
1.57,2016,51
0.83,2016,2
2.59,2016,4
1.18,2016,50
1.51,2016,3
0.14,2016,41
0.17,2016,43
0.18,2016,44
3.68,2016,8
0.37,2016,1
0.09,2016,20
0.45,2016,46
0.34,2016,45
0.25,2016,17
0.11,2016,19
0.55,2016,15
0.4,2016,16
0.18,2016,18
0.04,2017,19
4.21,2017,3
0.31,2017,45
0.07,2017,17
0.03,2017,18
2.62,2017,52
0.15,2017,43
0.15,2017,44
2.22,2017,51
0.03,2017,20
0.12,2017,42
0.57,2017,8
0.05,2017,16
0.45,2017,49
0.07,2017,40
2.22,2017,1
3.5,2017,4
1.4,2017,50
0.34,2017,46
0.09,2017,41
0.03,2017,15
0.92,2017,7
0.43,2017,47
0.61,2017,48
4.06,2017,2
1.59,2017,6
2.5,2017,5
2.76,2018,6
2.91,2018,1
0.51,2018,50
0.31,2018,49
0.08,2018,16
0.1,2018,40
2.47,2018,7
0.26,2018,46
4.52,2018,2
0.39,2018,52
0.29,2018,47
0.14,2018,15
0.27,2018,48
1.91,2018,8
0.68,2018,51
4.57,2018,4
3.62,2018,5
0.05,2018,19
0.08,2018,41
0.04,2018,17
0.05,2018,18
0.13,2018,42
0.18,2018,43
0.26,2018,45
5.27,2018,3
0.03,2018,20
0.16,2018,44
0.02,2019,20
0.03,2019,18
0.03,2019,19
0.63,2019,1
0.21,2019,45
0.18,2019,44
0.59,2019,51
