"season","week","rate"
2010,11,0.76
2010,10,0.26
2009,35,0.07
2010,1,0.16
2009,48,0.02
2010,9,0.4
2009,34,0.1
2009,51,0.05
2009,28,0.13
2010,12,1.38
2010,13,2.08
2009,39,0.03
2009,17,0.32
2009,42,0.02
2009,24,0.17
2009,14,0.44
2009,20,0.25
2009,15,0.51
2009,49,0.01
2009,50,0.02
2009,29,0.11
2009,47,0.01
2009,27,0.09
2009,38,0.02
2009,36,0.03
2009,37,0.03
2009,40,0.02
2009,23,0.18
2009,18,0.35
2009,19,0.29
2009,30,0.12
2009,16,0.4
2010,8,0.38
2009,33,0.1
2009,46,0.01
2009,26,0.1
2009,21,0.2
2009,41,0.02
2009,32,0.11
2009,43,0.02
2009,22,0.2
2009,31,0.11
2009,45,0
2009,44,0.01
2009,25,0.15
2010,30,0.09
2010,16,4.34
2010,14,2.85
2011,1,0.2
2010,31,0.07
2011,9,0.48
2010,15,4.42
2010,32,0.09
2010,26,0.4
2010,27,0.17
2010,20,2.24
2011,10,0.26
2010,33,0.07
2011,8,0.4
2010,21,1.52
2010,19,2.91
2010,29,0.06
2010,23,0.69
2010,22,0.96
2011,13,0.89
2010,28,0.17
2011,11,0.52
2010,24,0.59
2011,12,0.75
2010,25,0.4
2010,18,3.44
2010,17,3.95
2011,31,0.14
2011,14,0.73
2012,10,0.25
2011,30,0.19
2012,8,0.27
2011,25,0.65
2012,9,0.33
2012,1,0.15
2012,11,0.37
2011,22,2.53
2012,12,0.43
2011,23,1.54
2011,29,0.24
2011,33,0.1
2011,24,1.06
2011,32,0.13
2011,27,0.24
2011,16,2.7
2012,13,0.3
2011,26,0.42
2011,15,1.78
2011,18,4.25
2011,28,0.25
2011,21,3.94
2011,17,3.85
2011,19,4.97
2011,20,5.05
2012,21,4.39
2012,30,0.17
2012,27,0.45
2012,28,0.34
2013,1,0.12
2012,33,0.09
2013,12,0.66
2012,16,1.76
2012,14,0.3
2012,22,3.15
2012,31,0.08
2012,32,0.09
2013,8,0.3
2013,9,0.32
2012,20,4.42
2012,25,1.63
2013,13,0.66
2012,29,0.26
2012,23,3.19
2012,18,3.8
2012,19,4.19
2013,10,0.33
2012,26,0.59
2013,11,0.53
2012,17,2.86
2012,24,2.06
2012,15,0.84
2013,49,0
2013,45,0
2013,51,0
2013,48,0
2013,29,0.07
2013,25,0.32
2014,11,0.38
2013,50,0
2013,36,0
2013,23,0.62
2013,46,0
2014,12,0.61
2013,22,0.9
2013,32,0.06
2013,52,0
2014,1,0.11
2013,43,0
2013,44,0
2013,18,4.35
2014,10,0.34
2013,26,0.24
2013,31,0.04
2013,38,0
2013,24,0.38
2013,34,0
2013,15,2.92
2013,35,0
2013,33,0.03
2014,9,0.32
2013,42,0
2013,21,1.37
2013,28,0.16
2013,19,3.02
2013,30,0.07
2013,41,0
2013,47,0
2013,16,5.68
2013,14,1.23
2014,13,0.35
2013,37,0
2013,17,5.96
2014,8,0.22
2013,20,2.01
2013,40,0
2013,27,0.24
2013,39,0
2014,24,1
2014,27,0.15
2014,23,1.75
2014,19,5.05
2014,22,2.57
2014,26,0.4
2014,14,0.42
2014,28,0.18
2014,33,0.04
2014,31,0.06
2014,16,3.82
2014,30,0.07
2014,18,6.25
2014,21,3.27
2014,15,1.33
2014,25,0.71
2014,29,0.14
2014,20,4.41
2014,32,0.04
2014,17,5.41
2016,10,0.44
2016,8,0.57
2016,9,0.64
2016,3,0.19
2016,1,0.1
2016,13,1.82
2016,12,1.57
2016,11,1.18
2016,2,0.14
2016,4,0.17
2016,5,0.18
2016,7,0.45
2016,6,0.34
2016,32,0.04
2016,16,4.21
2017,6,0.31
2016,30,0.07
2016,31,0.03
2017,13,2.62
2017,4,0.15
2017,5,0.15
2017,12,2.22
2016,33,0.03
2017,3,0.12
2016,21,0.57
2016,29,0.05
2017,10,0.45
2017,1,0.07
2016,14,2.22
2016,17,3.5
2017,11,1.4
2017,7,0.34
2017,2,0.09
2016,28,0.03
2016,20,0.92
2017,8,0.43
2017,9,0.61
2016,15,4.06
2016,19,1.59
2016,18,2.5
2017,19,2.76
2017,14,2.91
2018,11,0.51
2018,10,0.31
2017,29,0.08
2018,1,0.1
2017,20,2.47
2018,7,0.26
2017,15,4.52
2018,13,0.39
2018,8,0.29
2017,28,0.14
2018,9,0.27
2017,21,1.91
2018,12,0.68
2017,17,4.57
2017,18,3.62
2017,32,0.05
2018,2,0.08
2017,30,0.04
2017,31,0.05
2018,3,0.13
2018,4,0.18
2018,6,0.26
2017,16,5.27
2017,33,0.03
2018,5,0.16
2018,33,0.02
2018,31,0.03
2018,32,0.03
2018,14,0.63
2019,6,0.21
2019,5,0.18
2019,12,0.59
2018,30,0.04
2019,3,0.12
2018,16,3.72
2018,21,1.89
2018,15,1.88
2019,8,0.36
2019,4,0.15
2018,20,2.79
2019,13,0.38
2019,11,0.49
2018,18,4.39
2018,19,3.64
2019,7,0.25
2018,17,4.44
2019,2,0.11
2018,29,0.02
2019,10,0.31
2019,1,0.08
2018,28,0.12
2019,9,0.31
2019,18,4.79
2019,31,0
2019,19,4.06
2019,28,0
2019,17,4.55
2019,32,0
2019,29,0.01
2019,30,0
2019,33,0
2019,15,1.65
2019,21,1.7
2019,14,0.64
2019,20,2.87
2019,16,3.72
2023,3,0
2023,8,0
2023,7,0
2023,2,0
2023,4,0
2023,5,0
2023,13,0
2023,6,0
2023,1,0
2023,11,0
2023,9,0
2023,12,0
2023,10,0
