"rate","season","week"
6.89,2021,31
11.63,2021,1
6.08,2021,36
9,2021,5
6.68,2021,40
13.1,2021,14
6.66,2021,27
8.29,2021,9
9.24,2021,45
10.63,2021,18
14.04,2021,49
5.85,2021,23
39.95,2022,27
54.82,2022,40
76.23,2022,45
10.62,2022,9
18.89,2022,5
13.7,2022,1
57.84,2022,36
33.34,2022,31
92.4,2022,49
13.82,2022,14
17.34,2022,18
35.02,2022,23
107.9,2023,27
64.61,2023,9
78.21,2023,45
73.13,2023,36
99.46,2023,23
81.89,2023,14
72.17,2023,1
84.09,2023,31
69.55,2023,18
75.46,2023,5
76.35,2023,40
