"rate","season","week"
0.02,2010,12
0.04,2010,14
0.03,2010,16
0.04,2010,17
0.02,2010,15
0.06,2010,11
0.04,2010,45
0.01,2010,13
0.02,2010,18
0.17,2010,2
0.15,2010,49
0.04,2010,3
0.1,2010,4
0.12,2010,5
0.06,2010,6
0.04,2010,8
0.05,2010,9
0.06,2010,10
0.07,2010,1
0.07,2010,40
0.05,2010,41
0.01,2010,19
0.15,2010,47
0.2,2010,48
0.28,2010,50
0,2010,20
0.05,2010,7
0.17,2010,51
0.29,2010,52
0.11,2010,46
0.09,2010,44
0.13,2010,43
0.09,2010,42
0.31,2011,3
0.25,2011,46
0.23,2011,47
0.31,2011,50
0.35,2011,45
0.58,2011,2
0.58,2011,4
0.16,2011,48
0.2,2011,49
0.08,2011,52
0.08,2011,15
0.52,2011,9
0.01,2011,19
0.26,2011,12
0.16,2011,13
0.03,2011,16
0.34,2011,11
0.52,2011,10
0.54,2011,8
0.01,2011,18
0.08,2011,44
0.08,2011,14
0.03,2011,17
0,2011,20
0.22,2011,51
0.42,2011,1
0.18,2011,43
0.06,2011,42
0.58,2011,6
0.66,2011,7
0.43,2011,5
0.01,2011,40
0.08,2011,41
0.04,2012,52
1.08,2012,11
0.19,2012,50
0.61,2012,12
0.4,2012,13
1.15,2012,10
0.18,2012,44
0.06,2012,45
0.06,2012,19
0.12,2012,15
0.15,2012,16
0.06,2012,17
0.17,2012,1
1.22,2012,9
0.25,2012,51
0.29,2012,14
0.12,2012,3
0.26,2012,4
0.22,2012,5
0.03,2012,18
0.54,2012,7
0.15,2012,46
0.15,2012,47
0.07,2012,48
0.98,2012,8
0.16,2012,2
0.02,2012,40
0.07,2012,41
0.08,2012,42
0.28,2012,6
0.13,2012,43
0.19,2012,49
0.01,2012,20
0.24,2013,50
0.12,2013,51
1.15,2013,7
0.11,2013,48
1.27,2013,8
0.85,2013,11
0.2,2013,47
0.47,2013,12
0.33,2013,13
0.03,2013,52
0.18,2013,15
0.42,2013,1
0.22,2013,44
0.19,2013,45
0.31,2013,46
0,2013,19
0.21,2013,49
0.7,2013,10
0.95,2013,9
0.18,2013,16
0.1,2013,17
1.16,2013,5
1.69,2013,6
0.04,2013,18
0.29,2013,14
0.75,2013,2
0.17,2013,40
0.22,2013,41
0.84,2013,4
0.02,2013,20
0.3,2013,42
0.28,2013,43
0.64,2013,3
0.11,2014,13
0.01,2014,19
0.19,2014,12
0.11,2014,1
0.02,2014,18
0.68,2014,8
0.34,2014,9
0.3,2014,10
0.32,2014,11
0.02,2014,17
0.35,2014,6
0.57,2014,7
0.07,2014,16
0.07,2014,14
0.08,2014,15
0.18,2014,2
0.21,2014,3
0.04,2014,20
0.29,2014,5
0.25,2014,4
0,2023,51
0,2023,52
0,2023,49
0,2023,50
0,2023,44
0,2023,45
0,2023,46
0,2023,47
0,2023,48
0,2023,42
0,2023,43
0,2023,40
0,2023,41
