"season","week","rate"
2009,25,0.02
2009,27,0.04
2009,29,0.03
2009,30,0.04
2009,28,0.02
2009,24,0.06
2010,6,0.04
2009,26,0.01
2009,31,0.02
2009,15,0.17
2010,10,0.15
2009,16,0.04
2009,17,0.1
2009,18,0.12
2009,19,0.06
2009,21,0.04
2009,22,0.05
2009,23,0.06
2009,14,0.07
2010,1,0.07
2010,2,0.05
2009,32,0.01
2010,8,0.15
2010,9,0.2
2010,11,0.28
2009,33,0
2009,20,0.05
2010,12,0.17
2010,13,0.29
2010,7,0.11
2010,5,0.09
2010,4,0.13
2010,3,0.09
2010,16,0.31
2011,7,0.25
2011,8,0.23
2011,11,0.31
2011,6,0.35
2010,15,0.58
2010,17,0.58
2011,9,0.16
2011,10,0.2
2011,13,0.08
2010,28,0.08
2010,22,0.52
2010,32,0.01
2010,25,0.26
2010,26,0.16
2010,29,0.03
2010,24,0.34
2010,23,0.52
2010,21,0.54
2010,31,0.01
2011,5,0.08
2010,27,0.08
2010,30,0.03
2010,33,0
2011,12,0.22
2010,14,0.42
2011,4,0.18
2011,3,0.06
2010,19,0.58
2010,20,0.66
2010,18,0.43
2011,1,0.01
2011,2,0.08
2012,13,0.04
2011,24,1.08
2012,11,0.19
2011,25,0.61
2011,26,0.4
2011,23,1.15
2012,5,0.18
2012,6,0.06
2011,32,0.06
2011,28,0.12
2011,29,0.15
2011,30,0.06
2011,14,0.17
2011,22,1.22
2012,12,0.25
2011,27,0.29
2011,16,0.12
2011,17,0.26
2011,18,0.22
2011,31,0.03
2011,20,0.54
2012,7,0.15
2012,8,0.15
2012,9,0.07
2011,21,0.98
2011,15,0.16
2012,1,0.02
2012,2,0.07
2012,3,0.08
2011,19,0.28
2012,4,0.13
2012,10,0.19
2011,33,0.01
2013,11,0.24
2013,12,0.12
2012,20,1.15
2013,9,0.11
2012,21,1.27
2012,24,0.85
2013,8,0.2
2012,25,0.47
2012,26,0.33
2013,13,0.03
2012,28,0.18
2012,14,0.42
2013,5,0.22
2013,6,0.19
2013,7,0.31
2012,32,0
2013,10,0.21
2012,23,0.7
2012,22,0.95
2012,29,0.18
2012,30,0.1
2012,18,1.16
2012,19,1.69
2012,31,0.04
2012,27,0.29
2012,15,0.75
2013,1,0.17
2013,2,0.22
2012,17,0.84
2012,33,0.02
2013,3,0.3
2013,4,0.28
2012,16,0.64
2013,26,0.11
2013,32,0.01
2013,25,0.19
2013,14,0.11
2013,31,0.02
2013,21,0.68
2013,22,0.34
2013,23,0.3
2013,24,0.32
2013,30,0.02
2013,19,0.35
2013,20,0.57
2013,29,0.07
2013,27,0.07
2013,28,0.08
2013,15,0.18
2013,16,0.21
2013,33,0.04
2013,18,0.29
2013,17,0.25
2023,12,0
2023,13,0
2023,10,0
2023,11,0
2023,5,0
2023,6,0
2023,7,0
2023,8,0
2023,9,0
2023,3,0
2023,4,0
2023,1,0
2023,2,0
