"rate","season","week"
138.68,2011,28
128.45,2011,43
121.62,2011,44
149.78,2011,29
152.16,2011,27
126.62,2011,48
215.88,2011,36
207.61,2011,37
128.23,2011,45
142.51,2011,46
137.92,2011,47
167.79,2011,41
136.03,2011,50
209.25,2011,38
144.66,2011,26
92.53,2011,17
147.73,2011,12
90.56,2011,20
197.03,2011,39
190.32,2011,40
219.7,2011,6
102.82,2011,14
110.38,2011,21
153.86,2011,42
156.55,2011,11
188.17,2011,7
138.57,2011,51
129.16,2011,52
142.59,2011,22
142.83,2011,23
91,2011,13
154.56,2011,25
152.92,2011,24
103.11,2011,16
110.27,2011,49
173.08,2011,9
168.53,2011,10
61.99,2011,19
174.17,2011,31
179.94,2011,32
160.21,2011,30
34.97,2011,15
225.42,2011,35
231.31,2011,34
75.43,2011,18
209.08,2011,33
140.04,2012,28
145.71,2012,27
127.85,2012,10
130.12,2012,26
82.11,2012,16
113.76,2012,44
120.18,2012,11
140.45,2012,25
158.53,2012,29
142.47,2012,6
187.72,2012,36
175.8,2012,38
77.26,2012,15
126,2012,43
69.12,2012,18
187.65,2012,37
135.07,2012,9
162.52,2012,41
129.72,2012,47
178.55,2012,39
182.3,2012,40
94.85,2012,14
141.1,2012,1
117.31,2012,24
153.43,2012,8
141.1,2012,42
144.5,2012,4
146.2,2012,5
65.95,2012,19
67.21,2012,20
125.43,2012,46
142.96,2012,49
123.36,2012,48
137.67,2012,52
112.05,2012,13
167.18,2012,30
153.61,2012,2
79.21,2012,17
152.32,2012,3
165.49,2012,33
179.96,2012,34
182.92,2012,35
118.69,2012,12
117.04,2012,45
106.14,2012,22
144.73,2012,50
146.54,2012,7
103.11,2012,23
170.07,2012,31
63.54,2012,21
142.91,2012,51
172.59,2012,32
141.35,2013,8
93.2,2013,45
64.79,2013,20
73.23,2013,21
67.28,2013,19
147.39,2013,7
128.33,2013,26
69.88,2013,18
148.39,2013,6
82.75,2013,38
96.2,2013,46
112.31,2013,51
89.4,2013,44
118.21,2013,24
139.82,2013,25
121.16,2013,50
152.79,2013,5
120,2013,52
114.54,2013,32
113.94,2013,36
110.49,2013,31
111.49,2013,37
114.23,2013,1
230.17,2013,2
161.12,2013,3
105.62,2013,47
96.51,2013,48
114.36,2013,49
113.81,2013,30
116.35,2013,12
102.58,2013,13
110.16,2013,23
128.29,2013,27
94.71,2013,22
96.06,2013,43
154.91,2013,4
128.46,2013,29
137.75,2013,39
135.22,2013,40
128.03,2013,28
126.66,2013,11
116.08,2013,33
121.19,2013,34
127.25,2013,9
80.23,2013,17
131.77,2013,10
82.54,2013,14
68.81,2013,15
131.79,2013,41
59.52,2013,16
117.01,2013,35
103.12,2014,45
108.94,2014,1
84.75,2014,44
129.01,2014,32
122.98,2014,46
143.36,2014,47
71.97,2014,18
154.53,2014,37
143.7,2014,38
136.14,2014,39
85.8,2014,43
133.61,2014,31
125.58,2014,24
134.96,2014,33
132.28,2014,40
161.68,2014,36
158.26,2014,6
179.04,2014,7
124.57,2014,30
175.89,2014,9
164.36,2014,10
139.62,2014,2
177.63,2014,8
146.7,2014,3
131.6,2014,12
108.49,2014,13
92.9,2014,14
147.43,2014,34
99.12,2014,42
154.63,2014,35
113.99,2014,28
117.61,2014,29
124.71,2014,23
129.74,2014,51
121.1,2014,41
147.72,2014,11
79.19,2014,15
92.85,2014,16
117.32,2014,27
79.57,2014,17
110.23,2014,21
119.38,2014,22
130.38,2014,50
132.92,2014,52
76.44,2014,20
124.83,2014,25
124.08,2014,26
70.43,2014,19
157.15,2014,5
143.47,2014,48
126.56,2014,49
153.75,2014,4
