"rate","season","week"
2.84,2012,18
4.24,2012,46
2.54,2012,20
5.09,2012,8
3.38,2012,15
3.19,2012,16
3.42,2012,43
2.96,2012,17
1.99,2012,36
5.21,2012,9
2.72,2012,19
1.93,2012,24
4.98,2012,10
5.41,2012,11
4.58,2012,12
4.1,2012,13
3.77,2012,14
3.22,2012,41
3.35,2012,42
11.52,2012,52
3.47,2012,44
4.58,2012,5
2.33,2012,37
2.41,2012,38
2.45,2012,39
2.96,2012,40
2.48,2012,21
2.26,2012,22
1.67,2012,27
1.64,2012,28
9.21,2012,50
10.79,2012,51
5.03,2012,7
2.14,2012,23
4.17,2012,4
4.61,2012,6
1.82,2012,26
1.63,2012,31
1.91,2012,25
4.55,2012,47
1.93,2012,34
1.99,2012,35
3.64,2012,2
7.86,2012,49
4,2012,45
1.61,2012,30
3.78,2012,1
3.76,2012,3
1.55,2012,29
1.59,2012,33
1.58,2012,32
5.85,2012,48
1.39,2013,27
4.75,2013,12
4.28,2013,13
2.19,2013,38
5.43,2013,11
2.08,2013,21
1.52,2013,26
5.88,2013,10
1.92,2013,22
1.7,2013,25
1.95,2013,37
3.42,2013,15
2.86,2013,16
4.35,2013,46
6.01,2013,9
2.69,2013,17
2.48,2013,18
2.38,2013,39
1.76,2013,36
6.4,2013,8
6.97,2013,7
1.7,2013,24
10.63,2013,1
3.83,2013,14
3.27,2013,41
3.34,2013,42
3.77,2013,43
3.91,2013,44
4.23,2013,45
1.56,2013,35
2.4,2013,19
3.04,2013,40
9.29,2013,5
7.8,2013,6
1.75,2013,23
1.31,2013,30
12.31,2013,3
1.39,2013,28
4.72,2013,47
4.37,2013,48
5.92,2013,49
6.07,2013,50
7.74,2013,51
8.4,2013,52
2.27,2013,20
12.53,2013,2
1.29,2013,33
1.32,2013,29
1.32,2013,34
1.21,2013,31
10.13,2013,4
1.27,2013,32
4.37,2014,46
2.57,2014,38
12.58,2014,52
1.83,2014,36
3.5,2014,41
3.75,2014,42
4.33,2014,11
4.62,2014,12
2.45,2014,37
1.77,2014,35
3.86,2014,43
3.87,2014,44
2.47,2014,39
3.21,2014,40
2.79,2014,20
2.72,2014,21
2.36,2014,22
4.54,2014,13
4.52,2014,14
4.4,2014,15
3.63,2014,16
4.36,2014,45
3.35,2014,17
7.19,2014,49
9.17,2014,50
3,2014,18
11.7,2014,51
4.93,2014,9
4.65,2014,10
1.86,2014,26
1.65,2014,27
8.89,2014,1
8.71,2014,2
8.86,2014,3
7.88,2014,4
5.25,2014,47
5.54,2014,48
1.46,2014,30
7.27,2014,5
3.01,2014,19
1.56,2014,29
1.63,2014,34
1.52,2014,31
1.46,2014,32
1.63,2014,28
1.54,2014,33
6.56,2014,6
5.64,2014,7
5.33,2014,8
1.97,2014,25
2.25,2014,23
2.09,2014,24
1.88,2015,26
1.85,2015,36
3.42,2015,44
1.66,2015,27
1.88,2015,37
1.45,2015,31
1.86,2015,25
3.28,2015,42
3.55,2015,43
5.56,2015,11
3.83,2015,45
5.04,2015,13
3.36,2015,19
3.89,2015,46
5.21,2015,12
11.42,2015,1
2.85,2015,21
2.51,2015,22
4.14,2015,47
2.16,2015,24
1.63,2015,34
1.73,2015,35
3.77,2015,16
3.38,2015,17
3.47,2015,18
7.84,2015,7
4.6,2015,50
4.72,2015,51
1.62,2015,28
1.54,2015,29
1.5,2015,30
2.22,2015,23
3.13,2015,41
4.68,2015,14
4.29,2015,15
10.31,2015,4
9.49,2015,5
8.76,2015,6
5.76,2015,10
4.8,2015,53
3.03,2015,20
3.73,2015,48
4.48,2015,49
9.69,2015,3
2.17,2015,40
1.49,2015,33
9.77,2015,2
4.54,2015,52
2.36,2015,39
6.58,2015,8
5.98,2015,9
2.18,2015,38
1.5,2015,32
1.53,2016,27
4.71,2016,2
1.69,2016,26
4.75,2016,1
4.33,2016,45
4.73,2016,3
1.79,2016,25
1.52,2016,28
4.94,2016,15
5.75,2016,5
6.6,2016,6
7.48,2016,7
4.69,2016,16
8.02,2016,8
8.58,2016,9
3.83,2016,43
4.18,2016,44
2.62,2016,21
1.5,2016,29
9.21,2016,10
7.54,2016,11
6.65,2016,12
5.94,2016,13
5.08,2016,14
5.51,2016,4
2.39,2016,22
2.15,2016,23
2.01,2016,24
7.56,2016,52
2.94,2016,20
3.62,2016,42
4.32,2016,47
5.04,2016,48
5.15,2016,49
5.61,2016,50
6.55,2016,51
1.56,2016,33
3.32,2016,40
3.34,2016,41
1.83,2016,34
4.2,2016,17
1.92,2016,36
1.46,2016,30
1.35,2016,31
1.87,2016,35
4.61,2016,46
3.6,2016,18
3.24,2016,19
1.44,2016,32
2.11,2016,39
2.17,2016,37
2.36,2016,38
8.65,2017,3
5.74,2017,45
13.62,2017,52
8.43,2017,10
1.47,2017,30
5.14,2017,44
3.92,2017,16
1.43,2017,29
9.38,2017,4
1.47,2017,31
1.99,2017,34
2.13,2017,35
2.1,2017,36
2.45,2017,37
2.42,2017,38
2.4,2017,39
8.23,2017,12
7.33,2017,13
10.96,2017,5
2.33,2017,22
1.89,2017,25
1.68,2017,26
1.6,2017,27
4.77,2017,43
4.31,2017,42
7.49,2017,2
