"season","week","rate"
2011,31,2.84
2012,7,4.24
2011,33,2.54
2011,21,5.09
2011,28,3.38
2011,29,3.19
2012,4,3.42
2011,30,2.96
2011,49,1.99
2011,22,5.21
2011,32,2.72
2011,37,1.93
2011,23,4.98
2011,24,5.41
2011,25,4.58
2011,26,4.1
2011,27,3.77
2012,2,3.22
2012,3,3.35
2012,13,11.52
2012,5,3.47
2011,18,4.58
2011,50,2.33
2011,51,2.41
2011,52,2.45
2012,1,2.96
2011,34,2.48
2011,35,2.26
2011,40,1.67
2011,41,1.64
2012,11,9.21
2012,12,10.79
2011,20,5.03
2011,36,2.14
2011,17,4.17
2011,19,4.61
2011,39,1.82
2011,44,1.63
2011,38,1.91
2012,8,4.55
2011,47,1.93
2011,48,1.99
2011,15,3.64
2012,10,7.86
2012,6,4
2011,43,1.61
2011,14,3.78
2011,16,3.76
2011,42,1.55
2011,46,1.59
2011,45,1.58
2012,9,5.85
2012,40,1.39
2012,25,4.75
2012,26,4.28
2012,51,2.19
2012,24,5.43
2012,34,2.08
2012,39,1.52
2012,23,5.88
2012,35,1.92
2012,38,1.7
2012,50,1.95
2012,28,3.42
2012,29,2.86
2013,7,4.35
2012,22,6.01
2012,30,2.69
2012,31,2.48
2012,52,2.38
2012,49,1.76
2012,21,6.4
2012,20,6.97
2012,37,1.7
2012,14,10.63
2012,27,3.83
2013,2,3.27
2013,3,3.34
2013,4,3.77
2013,5,3.91
2013,6,4.23
2012,48,1.56
2012,32,2.4
2013,1,3.04
2012,18,9.29
2012,19,7.8
2012,36,1.75
2012,43,1.31
2012,16,12.31
2012,41,1.39
2013,8,4.72
2013,9,4.37
2013,10,5.92
2013,11,6.07
2013,12,7.74
2013,13,8.4
2012,33,2.27
2012,15,12.53
2012,46,1.29
2012,42,1.32
2012,47,1.32
2012,44,1.21
2012,17,10.13
2012,45,1.27
2014,7,4.37
2013,51,2.57
2014,13,12.58
2013,49,1.83
2014,2,3.5
2014,3,3.75
2013,24,4.33
2013,25,4.62
2013,50,2.45
2013,48,1.77
2014,4,3.86
2014,5,3.87
2013,52,2.47
2014,1,3.21
2013,33,2.79
2013,34,2.72
2013,35,2.36
2013,26,4.54
2013,27,4.52
2013,28,4.4
2013,29,3.63
2014,6,4.36
2013,30,3.35
2014,10,7.19
2014,11,9.17
2013,31,3
2014,12,11.7
2013,22,4.93
2013,23,4.65
2013,39,1.86
2013,40,1.65
2013,14,8.89
2013,15,8.71
2013,16,8.86
2013,17,7.88
2014,8,5.25
2014,9,5.54
2013,43,1.46
2013,18,7.27
2013,32,3.01
2013,42,1.56
2013,47,1.63
2013,44,1.52
2013,45,1.46
2013,41,1.63
2013,46,1.54
2013,19,6.56
2013,20,5.64
2013,21,5.33
2013,38,1.97
2013,36,2.25
2013,37,2.09
2014,39,1.88
2014,49,1.85
2014,40,1.66
2014,50,1.88
2014,44,1.45
2014,38,1.86
2014,24,5.56
2014,26,5.04
2014,32,3.36
2014,25,5.21
2014,14,11.42
2014,34,2.85
2014,35,2.51
2014,37,2.16
2014,47,1.63
2014,48,1.73
2014,29,3.77
2014,30,3.38
2014,31,3.47
2014,20,7.84
2014,41,1.62
2014,42,1.54
2014,43,1.5
2014,36,2.22
2014,27,4.68
2014,28,4.29
2014,17,10.31
2014,18,9.49
2014,19,8.76
2014,23,5.76
2014,33,3.03
2014,16,9.69
2014,46,1.49
2014,15,9.77
2014,52,2.36
2014,21,6.58
2014,22,5.98
2014,51,2.18
2014,45,1.5
2016,6,4.33
2016,4,3.83
2016,5,4.18
2016,13,7.56
2016,3,3.62
2016,8,4.32
2016,9,5.04
2016,10,5.15
2016,11,5.61
2016,12,6.55
2016,1,3.32
2016,2,3.34
2016,7,4.61
2016,16,8.65
2017,6,5.74
2017,13,13.62
2016,23,8.43
2016,43,1.47
2017,5,5.14
2016,29,3.92
2016,42,1.43
2016,17,9.38
2016,44,1.47
2016,47,1.99
2016,48,2.13
2016,49,2.1
2016,50,2.45
2016,51,2.42
2016,52,2.4
2016,25,8.23
2016,26,7.33
2016,18,10.96
2016,35,2.33
2016,38,1.89
2016,39,1.68
2016,40,1.6
2017,4,4.77
2017,3,4.31
2016,15,7.49
2016,34,2.58
2017,7,6.59
2016,24,7.67
2016,45,1.48
2016,46,1.56
2016,27,5.92
2016,28,4.68
2017,12,12.88
2016,19,12.88
2016,20,12.33
2016,21,12.04
2016,22,9.06
2016,41,1.49
2017,9,7.15
2017,10,7.51
2017,11,9.48
2017,8,5.96
2016,36,2.27
2016,37,2
2017,1,3.86
2017,2,3.99
2016,14,7.28
2016,33,2.95
2016,30,3.6
2016,31,3.24
2016,32,3.07
2017,18,25.66
2017,19,26.21
2017,23,8.69
2017,38,2.2
2017,17,23.08
2017,36,2.59
2017,39,2.07
2017,47,2.19
2017,48,2.42
2017,41,1.94
2017,42,1.73
2017,43,1.64
2017,44,1.67
2017,35,2.87
2017,28,4.97
2018,12,11.42
2017,31,3.97
2017,32,3.47
2017,20,22.75
2017,49,2.84
2017,50,3
2017,14,14.11
2017,45,1.75
2017,46,1.95
2017,52,3.51
2017,25,7.1
2017,26,6.18
2017,27,5.69
2017,29,4.44
2017,37,2.26
2018,1,5.36
2017,40,1.87
2017,21,15.83
2017,22,10.76
2018,13,13.14
2017,16,18.81
2017,51,3.34
2017,24,7.74
2017,30,4.34
2018,11,9.88
2018,7,7.29
2018,8,7.35
2018,5,6.91
2018,6,7.19
2018,10,8.47
2018,4,6.46
2017,33,3.3
2018,9,8.68
2018,3,5.95
2017,15,16.94
2017,34,3.18
2018,2,5.57
2018,42,2.4
2018,44,2.33
2018,41,2.49
2018,16,12.2
2018,25,13.52
2018,51,4.73
2018,45,2.39
2018,19,20.64
2018,38,3.16
2018,30,6.1
2018,17,13.69
2018,18,16.36
2018,43,2.3
2018,20,20.74
2018,21,19.68
2018,22,17.41
2018,47,2.99
2019,6,10.24
2018,24,15.74
2018,52,5.15
2018,46,2.66
2018,29,6.85
2018,35,4.37
2018,31,5.58
2018,32,5.06
2018,33,4.87
2018,48,3.52
2018,49,3.9
2018,50,4.39
2019,13,28.35
2019,3,7.37
2018,27,9.75
2018,23,16.41
2018,14,12.47
2018,26,11.23
2018,34,4.66
2018,36,3.98
2018,37,3.58
2018,39,2.97
2019,11,16.71
2018,40,2.58
2019,4,8.12
2019,5,8.56
2019,2,6.8
2019,12,21.19
2018,28,8.25
2019,10,14.48
2019,7,11.17
2019,8,13.07
2019,9,13.04
2019,1,6.49
2018,15,11.49
2019,42,5.66
2019,17,26.56
2019,18,31.91
2019,41,5.9
2019,21,23.73
2019,29,5.38
2019,19,32.81
2019,20,28.11
2019,16,23.5
