"rate","season","week"
0.32,2018,34
0.03,2018,30
0.12,2018,38
0.09,2018,24
0.12,2018,27
0.32,2018,32
0.03,2018,42
0.12,2018,33
0.12,2018,26
0.03,2018,21
0.03,2018,49
0.06,2018,29
0.03,2018,25
0.24,2018,35
0.03,2018,22
0.03,2018,48
0.15,2018,31
0.24,2018,37
0.03,2018,43
0.27,2018,36
0.03,2018,19
0.03,2018,20
0.03,2018,8
0.03,2019,40
0.03,2019,39
0.03,2019,21
0.03,2019,22
0.03,2019,30
0.15,2019,31
0,2020,49
0,2020,50
0,2020,51
0,2020,18
0,2020,43
0,2020,26
0,2020,27
0,2020,29
0,2020,30
0,2020,23
0,2020,24
0,2020,15
0,2020,12
0,2020,13
0,2020,14
0,2020,47
0,2020,48
0,2020,20
0,2020,46
0,2020,22
0.03,2020,11
0,2020,42
0,2020,33
0,2020,39
0,2020,19
0,2021,44
0,2021,19
0,2021,14
0,2021,45
0,2021,16
0,2021,17
0,2021,5
0,2021,15
0,2021,18
0,2021,24
0,2021,25
0,2021,8
0,2021,9
0,2021,12
0,2021,11
0,2021,46
0.09,2021,49
0,2021,10
0.03,2021,51
0,2021,52
0,2021,20
0.15,2021,50
0,2021,6
0,2021,13
0,2021,42
0,2021,43
0.03,2021,36
0,2021,37
0,2021,4
0,2021,47
0,2021,41
0,2021,35
0,2021,30
0,2021,32
0,2021,33
0,2021,2
0,2021,28
0,2021,7
0,2021,1
0,2021,40
0,2021,3
0,2021,22
0,2021,39
0,2021,26
0,2021,27
0,2021,21
0,2021,23
0.03,2022,43
0.29,2022,14
0.03,2022,12
0.12,2022,16
0,2022,32
0,2022,33
0.03,2022,15
0,2022,35
0,2022,6
0.24,2022,13
0,2022,34
0,2022,9
0.06,2022,10
0,2022,11
0,2022,8
0,2022,30
0.03,2022,31
0.06,2022,18
0.41,2022,19
0.21,2022,20
0.21,2022,21
0.09,2022,28
0,2022,7
0.29,2022,42
0.03,2022,39
0.03,2022,44
0.15,2022,46
0.12,2022,47
0,2022,2
0,2022,3
0.38,2022,24
0.12,2022,25
0.06,2022,26
0.09,2022,27
0.15,2022,50
0,2022,29
0.18,2022,23
0.09,2022,52
0,2022,49
0.03,2022,40
0.06,2022,17
0.03,2022,48
0,2022,4
0,2022,5
0.09,2022,51
0.38,2022,22
0,2022,1
0.09,2023,33
0.15,2023,44
0.15,2023,30
0.18,2023,32
0.53,2023,26
0.06,2023,34
0.27,2023,23
0.03,2023,12
0.03,2023,16
0.12,2023,45
0.03,2023,47
0.3,2023,31
0.53,2023,25
0.03,2023,19
0.41,2023,27
0.35,2023,21
0.21,2023,22
0.18,2023,43
0.03,2023,39
0,2023,41
0.27,2023,24
0.03,2023,18
0,2023,1
0,2023,2
0.06,2023,20
0.03,2023,35
0,2023,6
0,2023,9
0.09,2023,17
0.03,2023,11
0.27,2023,28
0.03,2023,48
0.03,2023,50
0.03,2023,29
0,2023,38
0,2023,4
0.06,2023,36
0.06,2023,37
0,2023,3
0.76,2024,23
0.53,2024,21
0.12,2024,42
0,2024,47
0.03,2024,45
0.61,2024,22
0.23,2024,12
0.09,2024,43
0.09,2024,17
0.73,2024,20
0.03,2024,40
0.09,2024,14
0,2024,8
0,2024,10
0,2024,48
0.23,2024,41
0.09,2024,11
0,2024,9
0,2024,5
0,2024,6
0.23,2024,19
0,2024,3
0.26,2024,30
0.03,2024,50
0.44,2024,29
0.12,2024,39
0.2,2024,33
0.26,2024,35
0.12,2024,18
0.35,2024,32
0.35,2024,25
0.06,2024,34
0.38,2024,28
0.09,2024,38
0.56,2024,26
0.5,2024,31
0.38,2024,24
0,2024,1
0.44,2024,27
0.09,2024,37
0.03,2024,2
0.2,2024,36
